к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС6;;;
;;;
N;Неисправность;Возможная причина;Способ устранения
"Примечание - следует учитывать, что при отключении ТЭД 1, 2 из силовой цепи выводится: Неподвижный контакт контактора К27, контакты 1-6 реверсора QP1, обмотка якоря М1, М2, обмотка возбуждения М1, М2, контакты 1-6 переключателя QP3, подвижный контакт контактора К37, К35, переходные диоды VD18-26, контактор К30, неподвижный контакт контактора К29, СТПР 1000 А7, А12.
При отключении ТЭД 3, 4 из силовой цепи выводятся: Неподвижный контакт контактора К28, контакты реверсора 1-6 QP2, обмотки якоря М3, М4, обмотки возбуждения М3, М4, контактор К32, контакты 1-6 переключателя QP4, подвижный контакт контактора К34, неподвижный контакт контактора К30, СТПР 1000 А8, А13.
При переводе переключателя SA32 в положение ""прицепная"" отключаются пусковые сопротивления и земляная цепь тяговых двигателей головной секции только на последовательном соединении.";;;
Повреждение линейных контакторов;;;
6;В режиме тяги или торможения отключает БВ со срабатывание дифференциального реле КА1 на одной из секций с появлением дыма, вспышек в зоне расположения линейных контакторов на блоках-аппаратов 1 или 2. После постановки первой позиции отключает БВ со срабатыванием дифференциального реле КА1 на секции, где включены пусковые сопротивления.;"Наличие короткого замыкания в следующем оборудовании электровоза:
-силовые диоды VD3- VD5 и VD6- VD8;
- двигатели охлаждения ПТР М11 или М12;
- контакторы К5, К6, К7, К8, подключения двигателей охлаждения ПТР;
- элементы пусковых сопротивлений R3 или R4;
- реостатные контакторы К2, К21, К22, К23 включенные на первой позиции;
- тяговые двигатели М1, М2, М3, М4;
- линейные контактора К27, К29, К30, К31, К32, К34, К36, К39, К40;
- быстродействующие контакторы К41, К42;
- силовые переходные диоды VD9- VD17 и; VD17- VD26;
- составляющие элементы преобразователя СТПР 1000 А7, А8, А12, А13;
- межсекционные соединения.";"Переключателем SA32 отключить пусковые сопротивления секции, где произошло отключение. Осмотреть состояние контакторов и шин на блоках аппаратов 1 и 2. Если следов повреждения нет, то в кабине управления переключателем SA28 отключить двигатели 1 и 2 собрать первую позицию, проконтролировав из машинного отделения работу аппаратов на блоках 1 и 2. Если защита сработает, короткое замыкание в цепи двигателей второй тележки.
Выход из положения: отключить двигатели 3 и 4
Дальнейшее следование:
С соединение-6-10 двигателей;
СП соединение двигатели исправных секции;
П соединение-6-10 двигателей.
Если при отключении двигателей 1 и 2 защита не сработает, то короткое замыкании в цепи двигателей первой тележки."
7;В режиме тяги отключает БВ со срабатывание дифференциаль-ного реле КА1 на одной из секций с появлением дыма, вспышек в зоне расположения двигателей охлаждения ПТР.;Короткое замыкание в цепи двигателей охлаждения ПТР М11 или М12, возможно заклинивание одного из вентиляторов.;Осмотреть состояние контакторов К3, К4, К5, К6, К7, К8 на блоке аппаратов N 3, если следов перекрытия контакторов не обнаружено в кабине управления тумблером SA32 вывести ПТР неисправной секции. При необходимости перехода на СП или П соединения переключателем SA28 вывести двигатели неисправной секции.
Повреждение силовых диодов;;;
8;В процессе движения при сборе первой позиции большое значение тока якоря, а при трогании с места или малой скорости движения срабатывание защиты.;"- сбой в программном обеспечении;
-заклинивание, во включенном положении, реостатных контакторов;
-пробой силовых диодов VD3- VD5 и VD6- VD8.";"Проверить порядок включения контакторов на секции, где происходят недопустимые броски тока. Если нарушений нет перевести тумблер SA32 в положение включения пусковых сопротивлений на этой секции и собрать схему первой позиции. Если наблюдается недопустимый бросок тока на первой позиции- неисправны диоды VD3- VD5 и VD6- VD8.
Выход из положения: Отключить неисправную секцию переключателем SA28 и следовать исправными секциями."
9;Недопустимые броски тока при переходе с одного соединен ия двигателей на другое, возможно отключение защиты через дифферениадьное реле КА1.;"Пробой силовых диодов
VD9- VD17 и; VD18- VD26
VD9- VD17 VD18- VD26";Отключить неисправную секцию переключателем SA28 и следовать исправными секциями.
Цепь питания ПСН-200;;;
10;Отключает БВ на одной из секций со срабатыванием дифференциального реле КА2;"Короткое замыкание в цепи ПСН-200
РН3000 А2-1";"Для определения места короткого замыкания в шкафу МПСУ и Д выключить тумблер ПСН SA17, включить БВ. Если защита сработает, то короткое замыкание в цепи от БВ до контактора КМ1 (пр 800).
Выход из положения: В шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателем SA28.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения.
Если защита не сработает, дополнительно на блоке аппаратов N 3 все ножи QR1 - QR6 поставить в среднее положение и включить БВ. Если после включения контакторов КМ1 и КМ2 сработает защита, то короткое замыкание в цепи от контакторов до ""Шкафа защиты"" (провод 803)
Выход из положения: В шкафу МПСУ и Д отключить ПСН неисправной секции тумблером SA17. В кабине управления отключить двигатели неисправной секции выключателями SA28 или SA29.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения.
Если после отключения QR1 - QR6 защита не сработает, то короткое замыкание в преобразователях. Необходимо последовательным включением ножей QR1 - QR6 определить место короткого замыкания.
Если срабатывание защиты произошло после включения QR1 - несправен РН3000 А2-1.
Выход из положения: QR1 поставить в нижнее положение(отключить РН3000 А2-1) в кабине управления тумблер SB14 переставить в положение ""последовательное"", дальнейшее следование на последовательном возбуждении тяговых двигателей."
;;"Короткое замыкание в цепи ПСН-200
РН3000 А2-2";"Если срабатывание защиты произошло после включения QR2 - неисправен РН3000 А2-2.
Выход из положения: QR2 поставить в нижнее положение.
(отключить РН3000 А2-2) в кабине управления тумблер SB14 переставить в положение ""последовательное"", дальнейшее следование на последовательном возбуждении тяговых двигателей."
Примечание - при отключении РН3000 А2-1 или А2-2 по причине неисправности, управление электровозом производится только на последовательном возбуждении ТЭД (автоматически по команде МПСУ и Д при резервировании РН3000 или путем переключения выключателя SA19).;;;
11;Отключает БВ на одной из секций со срабатыванием дифференциального реле КА2;"Короткое замыкание в цепи ПСН-200
СТПР-600(А2-3)";"Срабатывание защиты при включении QR4.
Разъединитель устанавливается в среднее положение.
Не будет включаться вентилятор охлаждения тяговых двигателей 1-2 и не работает система микроклимата.
Выход из положения: Переключателем SA28 отключить двигатели 1-2, тумблер SB14 переставить в положение ""последовательное"", дальнейшее следование на шести или десяти тяговых двигателях при последовательном возбуждении ТЭД."
;;"Короткое замыкание в цепи ПСН-200
СТПР-600(А2-4)";"Срабатывание защиты при включении QR5.
Разъединитель устанавливается в среднее положение
Не будет включаться вентилятор охлаждения тяговых двигателей 3-4 и компрессор.
Выход из положения: Переключателем SA28 отключить двигатели 3-4, тумблер SB14 переставить в положение ""последовательное"", дальнейшее следование на шести или десяти тяговых двигателях при последовательном возбуждении ТЭД и компрессоре исправной секции."
"Примечание - при неисправности СТПР600 возможен сбор аварийной схемы с резервированием преобразователей. Для этого QR4 или QR5 переводится в крайнее нижнее положение. Вывод ТЭД не требуется
При неисправности СТПР600 А2-3 необходимо учитывать, что при сборе аварийной схемы без резервирования инвертора исключается и работы 1, 2 ТЭД из-за отсутствия охлаждения, МВ1 и система микроклимата. При неисправности СТПР600 А2-4 исключается из работы схемы электровоза 3,4 ТЭД из-за отсутствия охлаждения, МВ2, МК. Следовать на аварийной схеме с использованием последовательного возбуждения оставшихся в работе ТЭД с включенной системой их охлаждения и работающем одном МК.";;;
12;Отключает БВ на одной из секций со срабатыванием дифференциального реле КА2;"Короткое замыкание в цепи ПСН-200
СТПР1000(А7)";"Срабатывание защиты при включении QR3.
QR3 отключить неисправный СТПР1000, разъединителем QR1 отключить РН3000 (А2-1). Переключатель SB14 переставить в положение ""последовательное"", дальнейшее следование на всех тяговых двигателях при последовательном возбуждении ТЭД."
;;"Короткое замыкание в цепи ПСН-200
СТПР1000(А8)";"Срабатывание защиты при включении QR6.
QR6 отключить неисправный СТПР1000, разъединителем QR2 отключить РН3000 (А2-2). Тумблер SB14 переставить в положение ""последовательное"", дальнейшее следование на всех тяговых двигателях при последовательном возбуждении ТЭД."
13;Неисправность шкафа ПЧ и ЗУ;Не запускаются двигатели вентиляторов охлаждения ТЭД, двигатель компрессора.;"Если не запустились двигатели вентиляторов охлаждения ТЭД переключателем SA28 отключить двигатели, которые не охлаждаются. Дальнейшее следование:
С соединение-6-10двигателей;
СП соединение двигатели исправных секций;
П соединение-6-10 двигателей.
Если не запустился двигатель компрессора дальнейшее следование на одном компрессоре исправной секции."
14;При поднятом токоприемнике отсутствует индикация на мониторе МСУЛ величины напряжения в контактной сети. При поднятии второго токоприемника индикация на мониторе величины напряжения контактной сети отображается.;"- обрыв в цепи от токоприемника до шины 003:
- отсутствие контакта в блокировках крышевого разъединителя QS1.";"На мониторе МСУЛ и в машинном отделении по рычагам привода проконтролировать включенное положение разъединителя, выключенное положение заземлителя, проконтролировать давление воздуха в цепях управления по монитору и по манометру в машинном отделении.
На аварийной секции в шкафу МПСУ и Д отключить тумблер SA1 ""токоприемник"" дальнейшее следование на токоприемниках с которых поступает индикация на монитор."
15;При наличии напряжения в контактной сети и включенном БВ (на мониторе световая индикация БВ и ПСН не горит) не работают двигатели вспомогательных машин.;"- не проходит ток через силовые контакты БВ вследствие механического заедания;
- обрыв: в катушке дифференциального реле КА2;
- обрыв: сопротивления R10, не включение контакторов КМ1, КМ2;
- обрыв в кабелях 800, 801, 802, 803.";По монитору в кабине управления проверить наличие напряжения на преобразователях, в ВВК на блоке аппаратов N 3 проверить замыкание контакторов КМ1 и КМ2, включенное положение разъединителя QR1 и QR2 (ножи в верхнем положении). Если обрыв не обнаружен в шкафу МПСУ и Д тумблер SA2 отключить БВ неисправной секции. Дальнейшее следование на исправных секциях.
16;При наличии напряжения в контактной сети, включенных БВ, работающих вспомогательных машинах отсутствует ток в силовой цепи на 1 позиции, по монитору проходит набор позиций.;Обрыв в цепи ПТР и ТЭД;"Проконтролировать в кабине управления включение линейных и реостатных контакторов согласно развертке, положение реверсоров согласно направлению движения тумблер SA32 поставить на ПТР другой секции, тумблер SB14 в положение ""последовательное"". Собрать схему первой позиции.
Если ток якоря появился, то обрыв в ПТР секции или реостатных контакторах. Во избежание недопустимых бросков тока, при необходимости перехода на СП перед началом набора позиций переключателем SA28 отключать секцию с обрывом.
Если после переключения SA32 и набора позиций ток якоря не появился:
1) переключателем SA28 отключить двигатели 1,2 и дать первую позицию, при появлении тока обрыв в линейных контакторах К27 или К29.
2) переключателем SA28 отключить двигатели 3,4 и дать первую позицию, при появлении тока обрыв в линейных контакторах К29 или К34.
Дальнейшее следование:
С - соединение-6-10 двигателей;
СП - соединение двигатели исправных секций;
П - соединение-6-10 двигателей."
Неисправности цепей ПСН-210-3 на электровозах N 015 и с N N 027;;;
17;Отключает БВ на одной из секций со срабатыванием дифференциального реле КА2.;Короткое замыкание в цепи ПСН-200-3.;"Для определения места короткого замыкания в шкафу МПСУ и Д выключить тумблер ПСН SA17, включить БВ. Если защита сработает, то короткое замыкание в цепи от БВ до контактора КМ1 (пр. 800)
Выход из положения:
В шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателем SA28.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения.
Если после отключения ПСН тумблером SA17 и включения БВ защита не сработает, на блоке аппаратов N 3 осмотреть состояние ножей QR1, QR2, QR3, QR4, QR5, QS6 и кабелей подходящих к ним. При наличии видимых повреждений в шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателем SA28. Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения.
Если следов повреждения на блоке аппаратов N 3 не обнаружено ножи QR1 и QR2 поставить в среднее положение (не замкнуты силовые контакты) и включить БВ. Срабатывание защиты указывает на короткое замыкание в шкафу защиты.
Выход из положения: В шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателем SA28.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения.
Если после постановки ножей QR1 и QR2 в среднее положение и включения БВ защита не срабатывает короткое замыкание в шкафах преобразователей А2, А4 и А5 (СТПР1000, СТПР600, ПЧ) и ножа QS6. Необходимо на блоке аппаратов осмотреть состояние ножа QS6 и подводящих проводов поставить нож QR2 в верхнее положение и включить БВ. Срабатывание защиты показывает на короткое замыкание в шкафах А4 или А5.
Выход из положения:
В шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателем SA28.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения.
Если после включения ножа QR2 защита не сработает, то короткое замыкание в шкафу А2. Необходимо ножом QR1 отключить шкаф А2, в кабине управления перевести тумблер SB14 в положение ""последовательное"", дальнейшее следование установленным порядком на последовательном возбуждении ТЭД.
Если после включения ножа QR2 защита сработает, то короткое замыкание в шкафу А4. Необходимо нож QR2 перевести в нижнее положение, нож QR1 поставить в положение включено. В кабине управления перевести тумблер SB14 в положение ""последовательное"", дальнейшее следование установленным порядком на последовательном возбуждении ТЭД. Отключение защиты в этом случае указывает на короткое замыкание в шкафу ПЧ и минусовой цепи ПСН.
Выход из положения:
В шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателем SA28.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения."
Примечание: отключение защиты электровоза со срабатыванием КА2 происходит при наличии короткого замыкания в высоковольтных проводах преобразователей на корпус шкафа, в остальных случаях происходит срабатывание защиты преобразователя с потерей цепи питания аппарата электровоза.;;;
18;В режиме тяги теряется ток возбуждения ТЭД;Отключился СТПР1000;"На мониторе в кабине управления в окне СТПР1000 появляется индикация: неуправляемый ток, защита по току, защита по температуре.
В кабине управления перевести тумблер SB14 в положение ""последовательное"", дальней шее следование установленным порядком на последовательном возбуждении ТЭД."
19;Не запускаются вентиляторы охлаждения ТЭД, компрессор, нет цепи заряда АБ.;Отключился СТПР600;"На мониторе в кабине управления в окне СТПР600 появляется индикация: неуправляемый ток, защита по току, защита по температуре.
В кабине управления перевести тумблер SB14 в положение ""последовательное"",.в ВВК на блоке аппаратов N 3 нож QR2 перевести в нижнее положение. Дальней шее следование обеими секциями на последовательном возбуждении ТЭД."
20;"На мониторе в кабине управления загорается ""окно"" МВ.";Отключился канал ПЧ.;"По монитору на пульте управления проверить какой канал ПЧ отключился. В машинном проверить остановку двигателя МВ
(отсутствие напора воздуха в канал охлаждения ТЭД). При невозможности остановки поезда переключателем SA28 отключить двигатели без охлаждения. На стоянке через отключение БВ перезапустить ПСН, если питание МВ не восстановилось в ВВК на блоке аппаратов N 3 переставить нож QR4 (для ТЭД 1-2) или QR5 (для ТЭД 3-4) в нижнее положение. Убедиться в запуске МВ, дальней шее следование обычным порядком."
21;"На мониторе в кабине управления загорается ""окно"" МК.";Отключился канал ПЧ.;По монитору на пульте управления убедиться в отключении канала ТК и наличии сигнала готовности к запуску компрессора. На стоянке через отключение БВ перезапустить ПСН, если питание МК не восстановилось в ВВК на блоке аппаратов N 3 переставить нож QR3 в нижнее положение. Проконтролировать запуск и работу компрессора.
Внимание! При наличии короткого замыкания запрещается проводить резервирование каналов ПЧ.;;;
"Примечание: при работе необходимо по монитору в кабине постоянно контролировать параметры работы СТПР600, показания входного и выходного напряжения. При обнаружении нарушений в работе переключением ножа QR2 производить резервирование СТПР600. Тумблер SB14 устанавливается в положение ""последовательное"", использование независимого возбуждения ТЭД запрещается.";;;
Обрыв цепей управления или не включение аппаратов в них;;;
Примечание - включение АЗВ МСУЛ SF13 и SF14 в том числе и перезагрузка производится в выключенном положении ключа ВЦУ;;;
22;В пути следования повышенное значение тока заряда АБ;Обрыв в элементах АБ;В кабине управления неисправной секции проверить значение напряжения бортовой сети, на исправной секции проверить включенное положение АЗВ SF34 и SF35 и отключить АЗВ SF19 АБ неисправной секции.
23;Не выключается заземлитель;Неисправность отключающей катушки вентиля привода заземлителя QS2-2.;"Для отключения перекрыть кран КН32 к вентилю привода и с помощью изоляционной рукоятки перевести крышевой заземлитель QS2 в положение ""выключено""."
24;Не включается разъединитель;Неисправность включающей катушки вентиля привода заземлителя QS1-1;"Для включения перекрыть кран КН31 к вентилю привода и с помощью изоляционной рукоятки перевести крышевой разъединитель QS1 в положение ""включено""."
25;Токоприемники не поднимаются;"- не замкнулась блокировка SP1 (давление воздуха в цепях управления ниже 0,35МПа)
- блокировки разъединителя и заземлителя;
- цепь блокировок ВВК и крышевого люка;
- блокировка разъединителя ввода под низким напряжением Q1.
- контакт тумблера SA1;
- отсутствие сигнала с блока управления системой пожаротушения.";"1) Проверить давление воздуха в магистрали цепей управления (показания на мониторе в кабине управления и манометре в машинном отделении).
2) Закрытое положение ограждений ВВК и крышевого люка по монитору в кабине управления. На секции где не замкнута блокировка горит сигнальная ячейка ВВК
3) Проверить на обеих секциях включенное положение разъединителя и выключенное положение заземлителя (показания на мониторе в кабине управления и положение привода в машинном отделении)
4) В обеих секциях на блоке аппаратов N 3 положение разъединителя Q1 ввода под низким напряжением.
5) Не подсоединен разъем к блоку управления системой пожаротушения (контакт реле KL21)."
26;БВ не включается;"- остался включенным контактор КМ1;
- не замкнулся контактор КМ17;
- не замкнулась блокировка в модуле управления защиты ПСН (А1);
- не сработали на включение реле дифференциальной защиты;
- после срабатывания защиты не включились БК.";"-в кабине управления проверить наличие напряжения в контактной сети и включение БК и РДФ;
-на блоке аппаратов N 3 проверить выключенное положение КМ1;
- В шкафу МПСУ и Д проконтролировать порядок включения КМ17 (включается на 2 секунды).
Выход из положения:
-если не включается БК - включить .принудительно вручную.
-если не включается КМ17 - кратковременно (не более 2секунд) включить контактор принудительно."
27;Срабатывает БВ при переходе с одного соединения ТЭД на другое.;При переходах не включается реле KL2;Следование на последовательном соединении на 8 ТЭД, для перехода на СП и П перед набором позиций отключить БВ неисправной секции выключателем SA2 и следовать на ТЭД исправных секций.
Внимание! Принудительное включение KL2 отключает дифференциальную защиту цепи тяговых двигателей.;;;
28;Не запускаются вентиляторы охлаждения ТЭД;"-нет сигнала с пульта управления в ПСН на запуск МВ;
-ошибка ПЧ.";"Перезагрузить МСУЛ
Перезапустить ПСН"
29;Не запускаются компрессора;Нет сигнала с пульта управления в ПСН на запуск компрессора;Перезагрузить МСУЛ
;;Ошибка ПЧ;Перезапустить ПСН
;;На мониторе нет сигнала о готовности компрессора;"-на пульте управления компрессора нажата кнопка ""Авария"": отжать кнопку;
- температура масла в компрессоре выше 105°С: выждать время для охлаждения масла до 90°С, перед запуском проверить уровень масла в компрессоре и работу термостатического клапана компрессора;
- остаточное давление в винтовом блоке. что вызвало срабатывание датчика обратного хода: принудительно разгрузить винтовой блок через предохранительный клапан компрессора, в момент запуска проверить направления вращения привода компрессора;"
;;"Не открылся впускной клапан компрессора (на пульте управления компрессора не загорается сигнальная лампа ""впускной клапан"").";"компрессор работает на ""холостом ходу"" из-за пониженной температуры масла (ниже 5°С): при работе компрессора на ""холостом ходу"" выждать время нагрева масла до температуры выше 5°С;"
;;Нет сигнала от датчика давления питательной магистрали;"по монитору проверить наличие показаний давления питательной магистрали и перейти на управление компрессорами через кнопку ""компрессора принудительно"", контролируя давление питательной магистрали по манометру в кабине управления."
"Примечание: перед проверкой цепи управления компрессором проверить включенное положение АЗВ SF3 ""Вспомогательный компрессор"".";;;
30;"После постановки джойстика SA45 в положение ""+1"" нет набора позиций";"не развернуты реверсора в положение направления движения;";"По монитору в кабине управления проверить соответствие положения реверсоров (разворачиваются вручную нажатием на грибок электропневматического вентиля привода);"
;;"не развернуты режимные переключатели в положение ""последовательное"" или ""независимое"";";"по монитору в кабине управления проверить соответствие положения режимных переключателей (разворачиваются вручную нажатием на грибок электропневматического вентиля привода);"
;;давление в тормозной магистрали ниже 0,40МПа;по монитору в кабине управления проверить наличие давления в тормозной магистрали, если сигнал не соответствует действительности снять разъем с датчика давления тормозной магистрали в шкафу УКТОЛ
;;напряжение в контактной сети менее 2200 В или более4000 В;сбор схемы тягового режима при напряжении контактной сети в пределах 2200 - 4000 В
31;"После постановки джойстика SA45 в положение ""+1"" набор позиций происходит, но через малый промежуток времени происходит разбор тяги";Не включился контактор К30;Если не включился контактор К30 необходимо по монитору проверить состояние линий связи и БУК, для работы схемы переключателем SA28 вывести любую пару двигателей головной секции.
;;Не включился контактор К36;Если не включился контактор К36 необходимо по монитору проверить состояние линий связи и БУК, отключить тяговые двигатели неисправной секции. дальнейшее следование на ТЭД исправных секций
;;"Не включился контактор К39 в положении тумблера SA32 ""головная""";"Если не включился контактор К39 необходимо по монитору проверить состояние линий связи и БУК, тумблер SA32 перевести в положение ""прицепная"""
;;"Не включился контактор К40 в положении тумблера SA32 ""прицепная"".";"Если не включился контактор К40 необходимо по монитору проверить состояние линий связи и БУК, тумблер SA32 перевести в положение ""головная""."
;;Не открылись жалюзи.;"Тумблер SA32 перевести в положение ""прицепная"" и следовать до станции на последовательном соединении ТЭД. На стоянке с помощью изоляционной рукоятки перевести все жалюзи в открытое положение, проверить замкнутое состояние блокировок жалюзи в ВВК и по мониторам в кабине управления."
32;При переходе с С на СП через 2-5 секунд происходит разбор тяги;Задержка по времени включения или не включение контакторов К37 и К38 на .какой-либо секции.;По мониторам в обеих кабинах проверить состояние линий связи и БУК, проверить включение контакторов К37 и К38 на обеих секциях. Если контактора на включаются следование на последовательном соединении всеми двигателями, при необходимости перехода на высшее соединение ТЭД переключателем SA28 отключить двигатели неисправной секции.
32;При переходе с СП на П через 2-5 секунд происходит разбор тяги;Задержка по времени включения или не включение контактора К28;По мониторам в обеих кабинах проверить состояние линий связи и БУК, проверить включение контактора К28 на обеих секциях. Если контактор не включается дальнейшее следование на С и СП соединениях ТЭД.
Короткое замыкание в цепи питания цепей управления и приводов аппаратов;;;
