к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ80Р;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
23;Не запускаются МВ-3 (или МВ-4) всех секций.;Обрыв в проводе Э23 (или Э24).;Следовать на 4-х (6-ти) ТЭД.
24;Не запускается МВ-3 (или МВ-4) одной секции.;Обрыв в проводе Н131 (или Н132) одной секции.;Следовать на 6-ти (10-ти) ТЭД.
25;Не запускаются МВ-1, МВ-2, МВ-3 или МВ-4 всех секций;"Неисправность кнопки ""Вентилятор 1"", ""Вентилятор 2"", ""Вентилятор 3"" или ""Вентилятор 4""";Вскрыть защитную крышку кнопочного пульта вспомогательных машин и осмотреть состояние неисправной кнопки (устранить механическую неисправность)
26;Нет запуска всех компресоров;Не включен АК-11Б;Проверить включение АК-11Б
27;Не запускается МК одной секции.;Обрыв цепи контактора 124.;Следовать далее с исправным компрессором (исправными компрессорами).
28;"Отключается автомат ВА-3 при включении кнопки ""Вентилятор 1"" на пульте машиниста.";КЗ в цепи управления МВ1.;"На ЩПР 227 всех секций выключить тумблер ""Вентилятор 1"" и ""Маслонасос"", восстановить автомат ВА-3, включить кнопку ""Вентилятор 1"" на пульте управления, и если автомат отключится кнопку больше не включать.
Если автомат ВА-3 не отключился, поочередно включая тумблеры ""Вентилятор 1"" и ""Маслонасос"" на ЩПР 227 определить неисправную секцию. На ЩПР 227 неисправной секции отключить тумблер ""Маслонасос"" или ""Вентилятор 1"" (тот который дает отключение автомата ВА-3) и если отключили ""Вентилятор 1"" отключить и тумблер ""ВИП-61. Далее следовать с учетом оставшихся в работе ТЭД."
29;"Отключается автомат ВА-3 при включении кнопки ""Вентилятор 2"" на пульте машиниста.";КЗ в цепи управления МВ2.;"На ЩПР 226 всех секций выключить тумблер ""Вентилятор 2"", восстановить автомат ВА-3, включить кнопку ""Вентилятор 2"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат ВА-3 не отключился, поочередно включая тумблеры ""Вентилятор 2"" на ЩПР 226 определить неисправную секцию. На ЩПР 226 неисправной секции отключить тумблер ""Вентилятор 2"" и на ЩПР 227 отключить тумблер ""ВИП-62 Далее следовать с учетом оставшихся в работе ТЭД."
30;"Отключается автомат ВА-3 при включении кнопки ""Вентилятор 3"" на пульте машиниста.";КЗ в цепи управления МВ3.;"На ЩПР 227 всех секций выключить тумблер ""Вентилятор 3"", восстановить автомат ВА-3, включить кнопку ""Вентилятор 3"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат ВА-3 не отключился, поочередно включая тумблеры ""Вентилятор 3"" на ЩПР 227 определить неисправную секцию. На ЩПР 227 неисправной секции отключить тумблер ""Вентилятор 1"" и следовать далее с учетом оставшихся в работе ТЭД."
31;"Отключается автомат ВА-3 при включении кнопки ""Вентилятор 4"" на пульте машиниста.";КЗ в цепи управления МВ4.;"На ЩПР 226 всех секций выключить тумблер ""Вентилятор 4"", восстановить автомат ВА-3, включить кнопку ""Вентилятор 4"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат ВА-3 не отключился, поочередно включая тумблеры ""Вентилятор 4"" на ЩПР 226 определить неисправную секцию. На ЩПР 226 неисправной секции отключить тумблер ""Вентилятор 4"" и следовать далее с учетом оставшихся в работе ТЭД."
32;"Автомат ВА-3 срабатывает при включении кнопки ""Компрессор"".";КЗ в цепи управления МК.;"На ЩПР 226 всех секций выключить тумблер ""Компрессор"", восстановить автомат, включить кнопку ""Компрессор"" на пульте и поочередно включая тумблеры на ЩПР определить неисправную секцию. В неисправной секции на ЩПР отключить тумблер ""Компрессор"". Следовать с оставшимся в работе компрессором (компрессорами)."
33;Вспышка на крыше электровоза, снятие напряжения в контактной сети.;Пробой опорных изоляторов, изолированных воздушных шлангов, излом токоприемника.;При изломе токоприемника действовать согласно требованию инструкции ЦТ-ЦЭ-860. Неисправный токоприемник отключить разъединителем сх.N2, и перекрыть разобщительный кран В1 к клапану неисправного токоприемника. Поднять исправный токоприемник
;;Неисправность крышевого оборудования (излом изоляторов, перекрытие ГВ) на одной секции одиночного локомотива.;Отключить разъединитель сх.N6 (только в секции N 1). На неисправной секции перекрыть разобщительный кран В1 к клапану токоприемника и выключить переключатель режимов. Токоприемник поднять на исправной секции. Следовать на одной секции.
;;Неисправность крышевого оборудования (излом изоляторов, перекрытие ГВ) на крайней секции целого электровоза, при работе с прицепной секцией. (По схеме 1-2-2 или 1-2-1);На неисправной секции отключить разъединитель сх.N6 перекрыть разобщительный кран В1 к клапану токоприемника и выключить переключатель режимов. Токоприемник поднять на исправной секции. Следовать на двух секциях.
;;;
