к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ65;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
6;"При постановке штурвала в положение ""П"" не гаснет лампа ""ВИП"", при переводе штурвала в ""НР"" отпадают ВБ QF11, QF12, QF13 одной группы.";Не включился один из контакторов КМ41, или КМ42.;Далее следовать с учетом оставшихся в работе ТЭД, и веса поезда.
;;Неисправность блокировок контакторов КМ41, или КМ42.;
7;Тормозные переключатели QT1 не переводятся в режим тяги.;Отсутствует питание в проводе Н37 при переходе в режим тяга.;"Перевести тормозные переключатели QT1 в режим ""Тяга"" вручную, нажав на шток вентиля ""Тяга"" каждого переключателя."
8;Один тормозной переключатель QT1 не переводится в режим тяги;"Механическое заедание, или неисправность вентиля ""тяга""";"Перевести тормозной переключатель QT1 блока А11 или А12 в режим ""Тяга"" вручную, или нажав на шток вентиля ""Тяга""."
9;"Схема тяги собирается лампа ""ВИП"" гаснет, нагрузки на ТЭД нет.";Неисправность БУ или перегорела одна из вставок F45, F47 (БУ1), или F46, F48 (БУ2);Переключиться на другой блок управления.
10;"Схема тяги собирается лампа ""ВИП"" гаснет, нагрузки на ТЭД одной группы нет.";"Неисправность блока питания ВИП (А61, или А62) или перегорание в нем вставки ""сеть""";"При повторном перегорании вставки ""Сеть"" следовать на 3х ТЭД."
11;Не запускаются компрессоры.;Сработали ТРТ КК15, КК16;Восстановить ТРТ
;;Неисправность регулятора давления SP9(SP10).;"Управлять работой компрессоров кнопкой ""Компрессор"" S23(S23)."
;;Неисправна цепь контактора КМ15(КМ16);"Выключить на ЩПР тумблер ""компрессор 1"" S15. (или при работе из кабины 2 ""компрессор 2"" S16.) для работы другим компрессором."
12;"При включении кнопки ""Вентилятор 1"" на пульте машиниста, не запускается МВ1.";Сработало ТРТ КК11;Восстановить ТРТ.
;;Неисправна цепь контактора КМ11 (или контактор КМ11);Следовать далее на 3-х ТЭД.
13;"При включении кнопки ""Вентилятор 2"" на пульте машиниста, не запускается МВ2.";Сработало ТРТ КК12;Восстановить ТРТ.
;;Неисправна цепь контактора КМ12 (или контактор КМ12);Следовать далее на 3-х ТЭД.
14;"Отключается автомат SF29(SF30) при включении кнопки ""Вентилятор 1"" на пульте машиниста.";КЗ в цепях управления контактора КМ11;"Кнопку ""Вентилятор 1"" на пульте управления не включать.
Если позволяет вес поезда следовать на 3х ТЭД."
15;"Отключается автомат SF29(SF30) при включении кнопки ""Вентилятор 2"" на пульте машиниста.";КЗ в цепях управления контактора КМ12;"Кнопку ""Вентилятор 2"" на пульте управления не включать.
Следовать на 3х ТЭД."
16;Вспышка на крыше электровоза, снятие напряжения в контактной сети.;Пробой опорных изоляторов, изолированных воздушных шлангов, излом токоприемника, изоляторов;При изломе токоприемника действовать согласно требований инструкции ЦТ-ЦЭ-860. Неисправный токоприемник отключить разъединителем QS1 (QS1), и перекрыть разобщительный кран КН41 к клапану токоприемника.
;;;
