11;"Надпись ""ЗАПРЕТ ТЯГИ"" появляется при наборе первой позиции и после автоматического сброса на нулевую позицию пропадает.";Пониженное давление в ТМ или неисправность в цепи РП-943.;Проверить давление в тормозной магистрали. При нормальном зарядном давлении в тормозной магистрали, реле РП 345 включить принудительно. При необходимости вывода из схемы ТЭД, работу реле 345 восстановить.
12;"Надпись ""Запрет тяги"" на левом мониторе отсутствует, но при наборе позиций на правом мониторе появляется надпись ""К1,...,19"" (реостатные контактора), нет набора позиций.";Нарушение низковольтных цепей включения или контроля реостатных контакторов;"Примечание. При неисправностях в работе реостатных контакторов ЕСАУП выдаёт следующие сервисные сообщения:
- К1,...,19 вне нормы - контактор включается, но замедленно - на работу схемы влияния не оказывает.
- К1,...,19 - контактор не включается или приварился.
1. На пульте машиниста включить кнопку ""Резерв"" бортовой компьютер ЕСАУП перейдет на резервный комплект (канал-2 МСУЛ).
2. Произвести отключение с выдержкой не менее 1 минуты АЗВ308, 309 с дальнейшим одновременным включением.
3. Перейти на управление от ""МАП"" в режиме ""Авария"" на электровозах ЕСАУП.
На электровозах МСУЛ, выключить ПБЗ, при отсутствии набора позиций перейти на управление от аварийного пульта."
13;"Надпись ""Запрет тяги"" на левом мониторе отсутствует, но при наборе позиций на правом мониторе появляется надпись ""К34...49"" (ослабление поля), нет набора позиций.";Нарушение низковольтных цепей включения или контроля контакторов ослабления поля.;"- проверить включение АЗВ 317;
- перейти на управление от ""МАП"" в режиме ""Авария"";
- на электровозах МСУЛ выключить ПБЗ."
14;"На левом мониторе надпись ""Запрет тяги"", на правом мониторе надпись ""Отказ К23, К24, К30"" (МСУЛ ""ШК""), нет набора позиций.";Нарушение цепи включения шунтирующих контакторов.;"Надписи ""Запрет тяги"", ""Отказ К23, К24, К30"" исчезнут после отключения БВ или нажатия кнопки ""Восстановление защиты"".
Для устранения неисправности визуально определить не включившийся контактор.
При не включении К23 отключить 3 ТЭД;
При не включении К24 отключить 1-2 ТЭД;
При не включении К30 отключить 5-6 ТЭД или 4 ТЭД;"
15;Аварийное снятие напряжения в КС.;КЗ на крыше электровоза.;Устранить поочередным отключением крышевых разъединителей.
16;БВ отключает в момент включения с возможным снятием напряжения в КС, с надписью на правом мониторе РП.;Неисправность силовой цепи контакторов отопления поезда 706,707.;Отключить аварийный нож 701 (вниз).
Неисправности силовой схемы тяговых двигателей;;;
Примечание: при взятии поезда с места на аварийной схеме с отключенными ТЭД на подъёмах до 8  допускается не более четырех вагонов на один исправный ТЭД.;;;
17;"В пути следования отключает БВ с появлением надписи ""Дифреле силовых цепей"".";КЗ в цепи тяговых электродвигателей или пусковых сопротивлений.;"Восстановить БВ. Дать первую позицию.
При повторном отключении защиты со срабатыванием дифференциального реле 015 поочерёдным выводом ТЭД отключателями 360-367 исключить из работы поврежденный ТЭД. Дальнейшее следование возможно только на ""С"" с ""ОП"".
Если при поочередном отключении ТЭД к.з. не устранено, то необходимо вывести из схемы 3-ю (нижнюю) или 2-ю (среднюю) группы пусковых сопротивлений (на электровозах ЕСАУП).
Вывод 3-ей (нижней) группы пусковых сопротивлений.
Выключить БВ, опустить токоприемники, на правом мониторе нажать кнопку ""Перезапуск"", курсором выделить ""Карта пусковых сопротивлений"" и нажать ""Ввод"". Откроется схема пусковых сопротивлений. Курсором выделить третью (нижнюю) группу пусковых сопротивлений и дважды нажать ""Ввод"". На мониторе контактора обслуживающие третью группу пусковых сопротивлений станут на чёрном фоне - сопротивление выведено, одновременно выведены из работы контакторы К1, К2, КЗ, К4, К5, К17. Заправить электровоз. Дать первую позицию. При срабатывании РДФ - 015 третью (нижнюю) группу ввести (дважды нажать ""Ввод""), вывести вторую (среднюю) группу сопротивлений.
Вывод 2-ой (средней) группы пусковых сопротивлений.
Выключить БВ, опустеть токоприемники. Дальнейший вывод аналогичен предыдущему. Курсором выделить вторую (среднюю) группу сопротивлений и дважды нажать ""Ввод"". Из работы будет выведена вторая (средняя) группа пусковых сопротивлений и с ней контакторы К17, К6, К7, К8, К9, К10, К18.
В случае возвращения с аварийной схемы вывода пусковых сопротивлений на нормальную схему ток тяги на первой позиции может появится только после включения кнопки ""Резерв"" на пульте или кратковременного отключения АЗВ308, АЗВ309 на панели автоматов в коридоре."
18;При постановке первой позиции нет тока нагрузки, причем на слух контакторы включаются.;Обрыв в силовой цепи ТЭД или пусковых сопротивлениях.;"Поочередным выводом ТЭД 1-2, 3, 4, 5-6 и набором позиций проверить отсутствие обрыва по ТЭД и линейным контакторам. При отсутствии тока нагрузки - обрыв в пусковых сопротивлениях. На электровозах ЕСАУП поочередно вывести нижнюю или среднюю группу пусковых сопротивлений с правого монитора.
На электровозах МСУЛ выключить ПБЗ, набрать первую позицию, визуально проверить включение линейных контакторов, при их не включении принудительно включить РП-3."
;;;
