к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на тепловозе серии ТЭМ7А;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
13;"После пуска дизеля и установки контроллера на первую позицию не включаются контакторы КВГ и КВВ, горит сигнализация ""Сброс нагрузки""";Открыты двери ВВК, разомкнуты блокировки дверей БД1-БД8.;Закрыть двери ВВК.
14;"Стрелка манометра топливоподкачивающего насоса ""вибрирует""";Попадание воздуха в топливную систему.;Открыть пробку на фильтре тонкой очистки топлива и выпустить воздух.
15;3.9 Топливоподкачивающий насос не создает нормального давления (1,5...2,5кгс/см2);Низкая температура топлива (топливо загустело, плохо проходит через фильтры).;Включить топливоподогреватель.
16;"При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки. Не включаются КП1-КП8, КВВ, КВГ.";Отключены выключатели моторов Тб11-Тб18;Включить выключатели.
;;Нет разрешения на тягу от КЛУБ-У или включено экстренное торможение от КЛУБ-У, КПД-3ПВ.;Включить ключ ЭПК, восстановить работу КЛУБ-У, КПД-3ПВ.
;;Отсутствует контакт в блокировках поездных контакторов КП1-КП8.;Проверить состояние блокировок поездных контакторов КП1-КП8.
17;"Включаются все аппараты: КВВ, КВГ, РВ4, КП1-КП8, но тепловоз с места не трогается (""Сброс нагрузки"" не горит)";Сгорел предохранитель ПРВГ в цепи возбудителя.;Заменить предохранитель ПРВГ.
;;Нет контакта в силовых контактах КВГ или КВВ.;Восстановить контакт.
18;"Дизель перегружается, наблюдается ""просадка"" оборотов";Исчезновение питания датчиков тока Iм1-Iм8 и датчика напряжения Ur.;Проверить напряжение на датчиках.
;;Обрыв цепей датчиков тока и напряжения Iм1-Iм8, Ur или нарушена их целостность.;Проверить их показания на стойке управления и целостность их цепей.
19;"Дизель ""сбрасывает"" нагрузку при переводе контроллера с пятой на шестую позицию";Неисправность датчика давления масла ДДМ2, его регулировки или его цепей.;При отсутствии напряжения проверить цепи, проверить датчик.
20;При переводе контроллера обороты дизеля не изменяются или резко изменяются;Обрыв катушки одного из электромагнитов регулятора оборотов или нарушен контакт в клеммной коробке дизеля.;Произвести визуальный осмотр регулятора на предмет целостности подводящих разъёмов и механической части.
21;"Наблюдается ""просадка"" оборотов дизеля, особенно на высших позициях";Подсос воздуха в топливную систему.;Отвернуть пробку на фильтре тонкой очистки и выпустить воздух.
При следовании тепловоза произошел сброс нагрузки;;;
22;Сработало реле заземления Р3;"В силовой цепи имеется пробой на корпус или частичное разрушение изоляции.
Замыкание в силовой цепи.";"Произвести осмотр всей силовой цепи для выявления неисправности. При обнаружении неисправности восстановить изоляцию или устранить касание токоведущих частей корпуса тепловоза. Если повреждение не обнаружено, восстановить контакт реле от руки в нормальное положение и попытаться продолжать движение. Если реле срабатывает и после повторного тщательного осмотра место повреждения все же не обнаружено, вновь восстановить реле в нормальное положение
рубильником реле заземления и продолжать движение до основного или оборотного депо. При обнаружении неисправного тягового электродвигателя отключить его выключателем и следовать до основного депо."
23;Произошел перегрев воды или масла дизеля;Неисправность автоматики.;При неисправности автоматики охлаждения дизеля перейти на ручное управление.
24;Не происходит включение контакторов шунтировки поля тяговых электродвигателей;Не включен тумблер ТОП или нарушен его контакт.;Включить тумблер ТОП или восстановить его контакт.
;;Нарушены замыкающие контакты реле РОП1, РОП2.;Восстановить контакт.
25;Недостаточное количество воды (результат контроля по водомерному стеклу, не сработал датчик реле уровня воды);Утечка воды из системы.;Немедленно снять нагрузку и остановить дизель.
26;Дизель работает с дымным выхлопом - темный цвет отработанных газов;Плохой распыл топлива форсункой, негерметичность нагнетательных клапанов топливных насосов высокого давления или неправильная регулировка фаз газораспределения.;Отключить ТНВД неисправной форсунки.
27;Дизель работает неустойчиво, резкое колебание оборотов (определяется по тахометру);Попадание воздуха в топливную систему.;Выпустить воздух из топливной системы, устранить подсос воздуха
;;Тугой ход или заклинивание реек топливных насосов и привода управления.;Отключить поводок рейки топливного насоса.
28;Течь топлива по соединению с форсункой дизеля, течь по трубе высокого давления топлива;Трещина топливной трубки высокого давления.;Снять трубку и установить заглушку, отключить ТНВД.
29;Повышенная течь топлива на сливной трубке форсунки дизеля;Выход форсунки из строя.;Выключить соответствующий топливный насос.
30;Мощность дизеля недостаточна. Шток сервомотора объединенного регулятора перемещается нормально, а рейки топливных насосов не перемещаются на увеличение подачи топлива;Задир плунжерной пары одного или нескольких топливных насосов, или общей тяги подачи топлива.;"Отключить поводок рейки насосов или ""расходить"" рейку топливного насоса. Отключить вышедший из строя насос."
При повышении температуры воды и масла дизеля;;;
31;Привод жалюзи холодильной камеры не включается;Отключены термодатчики воды или масла (закрыты краны).;Открыть краны.
;;Перекрыт воздушный трубопровод привода жалюзи.;Открыть вентиль.
;;Неисправен переключатель ПЖ (привода жалюзи).;Открыть жалюзи в ручную.
32;Не включается привод вентилятора холодильника;Неисправен терморегулятор.;Перейти на ручное управление тумблером ТВО1 (ТВО2).
;;;
