к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС6, ЧС200;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
;;КЗ во 2-ом МК.;Следовать на 1-ом МК.
;;КЗ в цепи МВ.;Следовать на исправной секции, аварийный переключатель АБ N 578 перевести на неисправную секцию.
;;КЗ в цепи МВ-214.;"При помощи 200-го переключателя собрать аварийную схему без МВ-214.
Собрать аварийную схему без 1-2-го ТЭД. Переключатель ""ход-тормоз"" 071 поставить в положение ""отключено""."
;;КЗ в цепи МВ-215.;"При помощи 200-го переключателя собрать аварийную схему без МВ-215.
Собрать аварийную схему без 3-4-го ТЭД. Переключатель ""ход-тормоз"" 072 поставить в положение ""отключено""."
;;КЗ в цепи пусковых сопротивлениях МВ, контакторах МВ 211, 212.;"Изъять высоковольтный предохранитель 209.
Собрать аварийную схему без 1-2-го, 3-4-го ТЭД. Переключатели ""ход-тормоз"" 071 и 072 поставить в положение ""отключено"".
Аварийный переключатель АБ N 578 перевести на неисправную секцию."
9;Не включаются МК.;Неисправности цепи МК-1.;"Осмотреть 25А высоковольтный предохранитель N 202.
Заменить неисправный 25А высоковольтный предохранитель N 202."
;;;"Проверить включение контактора N 203 на слух.
При не включении контактора N 203, следовать на 2-ом МК."
;;Неисправности цепи МК-2.;"Осмотреть 25А высоковольтный предохранитель N 202.
Заменить неисправный 25А высоковольтный предохранитель N 202."
;;;"Проверить включение контактора N 203 на слух.
При не включении контактора N 203, следовать на 1-ом МК."
10;Не включаются МВ.;Неисправности цепи МВ.;"Осмотреть 40А высоковольтный предохранитель N 204.
Заменить неисправный 40А высоковольтный предохранитель N 204."
;;;"Проверить включение контакторов N 211, N 212 на слух.
При не включении контакторов N 211, N 212, следовать на исправной секции. Аварийный переключатель АБ N 578 перевести на неисправную секцию."
;;;Проверить включение 462 АЗВ(ЧС200-004 И ЧС6-010) и 465 АЗВ (ЧС6 011-029 и ЧС200 003, 006-009, 011,12) При повторном срабатывании 462 АЗВ или465 АЗВ необходимо выключить БВ на обеих секциях и восстановить его (462 АЗВ). 465 АЗВ.
;;;"Проверить положение 217 теплового реле.
При срабатывании 217 теплового реле восстановить его."
;;;"Проверить высоковольтные предохранители 209-1 и 209-2. Неисправные предохранители 209-1 и 209-2 заменить.
На неисправной секции 200 переключатель вспомогательных приводов переключить в положение заправка без батареи."
"Примечание: категорически запрещается переводить 200-ый переключатель в положение ""заправка без АБ""";;;
Низковольтные цепи;;;
11;Токоприемники не поднимаются.;Нет воздуха в резервуаре токоприемника.;Наполнить резервуар токоприемника при помощи вспомогательных компрессоров.
;;Не разворачивается разъединитель (заземлитель).;Переключить разъединитель (заземлитель) вручную.
;;Неисправность цепи управления токоприёмниками.;"Проверить включение 1200 АЗВ.
Выключить и снова включить 1200 АЗВ. По горению красной сигнальной лампы в поперечном коридоре убедиться, что заземлители отключены, а разъединители включены."
;;;"Проверить включение реле контроля закрытия сеток ВВК 1209.
Проверить и закрыть двери ВВК, закрепить сетки ВВК."
;;;"Проверить правильность установки включателей индивидуальной работы токоприемников 1232 и 1233 (в обеих кабинах).
Поставить включатели индивидуальной работы токоприемников 1232 и 1233 (в обеих кабинах) в положение ""0""."
;;;Проверить наличие напряжения на 1622 проводе.
12;Не включаются БВ на обеих секциях.;Неисправность цепи управления БВ.;"Проверить цепь питания 300 АЗВ:
выключить и снова включить 300 АЗВ, набрать 1-2 позиции ПК-330."
;;;"Проверить цепь питания 810 АЗВ:
выключить и снова включить 810 АЗВ, по положению сигнализатора отопления поезда (горизонтальное)."
;;;"Проверить цепь питания 462 АЗВ:
выключить и снова включить 462 АЗВ, при включении обогрева масла в картере компрессора на АБ идёт падение напряжения (по вольтметру)."
;;Отсутствует воздух цепи управления БВ.;Проверить наличие воздуха в цепях управления.
;;;Проверить положение крана 1017
13;Не включаются БВ на одной из секций.;Неисправность электрических цепей одной из секций.;Следовать на исправной секции, аварийный переключатель АБ 578 перевести на неисправную секцию.
14;После отключения БВ на данной секции - БВ не восстанавливается.;"Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.";"Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
15;Не работает МК на одной из секций.;Неисправность цепи питания МК.;"Проверить работу компрессоров в положении ""ручное""."
;;;"Проверить положение 208 теплового реле.
При срабатывании 208 теплового реле восстановить его."
;;;"Проверить включение контактора 203-1 на 1 секции или 203-2 на 2 секции.
Убедиться во включении контактора 203-1 на 1 секции или 203-2 на 2 секции на слух."
;;;Проверить высоковольтные предохранители 202-1 и 202-2. Неисправные заменить.
;;;Проверить включение 462 АЗВ (ЧС200-004 и ЧС6-010) и 465 АЗВ (ЧС6 011-029 и ЧС200 003, 006-009, 011,12) При повторном срабатывании 462 АЗВ или465 АЗВ необходимо выключить БВ на обеих секциях и восстановить его (462 АЗВ, 465 АЗВ).
16;Не работают МВ на одной из секций.;Неисправность цепи питания МВ.;"Проверить положение 217 теплового реле.
При срабатывании 217 теплового реле восстановить его."
;;;Проверить включение контактора 211-1 на 1 секции или 211-2 на 2 секции.
;;;Убедиться во включении контактора 211-1 на 1 секции или 211-2 на 2 секции на слух.
;;;"Проверить высоковольтные предохранители 209-1 и 209-2.
Неисправные предохранители 209-1 и 209-2 заменить."
17;"При выключении вентиляторов после перевода пакетника 418 (419) из положения ""выкл."" в положение ""СТ"" или ""А"" на секции, где 323 реле не включено, вентиляторы самопроизвольно запускаются вновь.";"Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.";"Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
18;Отсутствует набор позиций ПК-330 с пульта.;Неисправность цепи питания ПК-330.;"Проверить положение переключателя 362 на ПК-330, убедиться в открытом положении крана 1004-1 к ПК-330.
Переключатель 362 на ПК-330 поставить в вертикальное положение, кран 1004-1 к ПК-330 открыть."
;;;"Проверить включение 324 АЗВ.
Выключить и снова включить 324 АЗВ."
;;;"Проверить включение 333 контакторов перехода на обеих секциях.
Проверить правильность установки реверсоров (на головной секции замкнуты нижние силовые контакты, а на ведомой верхние)."
;;;"Проверить правильность установки переключателей Х-Т 071 и 072 в положении ""ход"" на обеих секциях (замкнуты нижние силовые контакты)."
;;;На электровозах ЧС6 001-010 и ЧС200 004, 005, 010 перейти на управление ПК-330 переключателем аварийного управления 365.
;;;На электровозах ЧС6 011-029 и ЧС200 003, 006-009, 011, 012 перейти на управление аварийным контроллером 386 (387), предварительно открыть жалюзи при помощи переключателя 590 (591).
19;"Переключатель ""ход-тормоз"" из положения ""тормоз"" в положение ""ход"" не переходит, а также не происходит смена направления движения.";"Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.";"Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
Неисправности низковольтных цепей из-за обрыва или пробоя диодов;;;
20;Нет сброса позиций ПК-330 от кнопок 303(308) и 325(327).;Обрыв 862 диода в цепи промежуточного реле сброса 313.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
21;"При нажатии кнопок 303(308) в положение ""-1"" происходит автоматический сброс до отпуска данной кнопки.";Пробой 315 или 369 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
22;"При нажатии на кнопку 304(309) или 326(328) положение ""+1"" происходит автоматический набор до отпуска данных кнопок.";Пробой 316 диода в цепи самоудержания промежуточного реле набора 314.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
23;"При нажатии на кнопку 304(309) в положение ""+"" отсутствует автоматический набор позиций.";Обрыв 317 диода в цепи питания 318 провода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
24;"При нажатии на кнопку 304(309) в положение ""+"" ПК-330 переходит на одну позицию и дальше не идет.
При нажатии на кнопку 304(309) в положение ""+1"" происходит звонковая работа ПК-330 между ""0"" и первой позицией.";Пробой 368 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
25;"На 27-ой позиции ПК-330, при нажатии на кнопку 304(309) в положение ""+1"" или ""+"", (кнопка ""ШП"" 305(306) в выключенном положении) не происходит автоматического перехода на 34-ю позицию. ПК-330 дальше 32-ой позиции не идет.";Обрыв 316 или 317 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
26;"При переходе с ""СП"" на ""С""-соединение нет автоматического перехода ПК-330 с 34-ой на 27-ю позицию.";Обрыв 317 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
27;"На 32-ой позиции ПК-330 при включении кнопки ""ШП"" 305(310) не происходит автоматического сброса с 32-ой на 27-ю позицию.";Обрыв 317 или 318 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
28;"При сбросе кнопкой ""-1"" 303(308) с ""СП"" на ""С""-соединение ПК-330 не переходит с 34-ой на 27-ю позицию.";Обрыв 315 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
29;"При нажатии кнопки ""ШП"" 305(310) ПК-330 дальше 27-ой позиции не идет.";Пробой 317 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
30;"При переходе на ""СП""-соединение не работают 3-4 ТЭД на 1-ой секции. Не включается 40-ой контактор (5-6 ТЭД на 2-ой секции 41-й контактор).";Обрыв 860 диода на первой секции или 861 диода на второй секции.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
31;Нет автоматического сброса позиций ПК-330 при боксовании.;Обрыв 791 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
32;При нажатии кнопки подачи песка происходит сброс позиций ПК-330 и звуковая сигнализация зуммера.;Пробой 792 или 793 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
33;Нет автоматического сброса позиций ПК-330 при боксовании или при выключении ключа ЭПК в рабочей кабине.;Обрыв 369 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
34;При выключенном ключе ЭПК в рабочей кабине работает зуммер.;Пробой диода 791.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
35;"При торможении ЭПТ в положении ""П"" происходит наполнение тормозных цилиндров до максимального значения.";Пробой 377 диода.;Заменить неисправный диод, на 863 диод или на один из резервных диодов, расположенные в релейном шкафу 2-ой секции.
Особенности в цепях управления отоплением поезда на электровозах ЧС200 N 003, 006-009, 011, 012 и ЧС6 с N 011;;;
36;Срабатывание БВ на 1-ой секции (при исправной работе отопления поезда).;Неисправность БВ 1-ой секции, повреждение силовой цепи БВ 1-ой секции.;"Изъять нож 226 на первой секции.
Вставить нож 226 в гнездо на второй секции.
После включения контактора отопления поезда 701 на 1 секции, питание получают пинчи на обеих секциях от БВ-2."
;;;
