к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах ЧМЭ3;;;
;;;
"N
п/п";Неисправность;Вероятная причина;Метод устранения
9;"При нажатии кнопки ""Пуск"" дизеля КНПД1 не включается пусковой контактор КД1 и реле времени РВ1.";Нет контакта или неисправный палец КМР1 между проводами 202 и 208 на реверсивном барабане контроллера.;Если не включается, то соединить провод 202 и 208 на РШ 4.
;;Нет контакта в кнопке КНПД.;Соединить провод 208 и 247 на кл. РШ4 (после запуска перемычку снять).
10;"При нажатии кнопки ""Пуск"" дизеля КНПД1, лампа контрольная Л17 не горит.";"Плохой контакт в поворотном выключателе ""Стоп"" ВОД 12 между проводами 247 и 255.";Соединить перемычкой провода 247 и 255, после запуска дизеля перемычку снять.
11;"При нажатии кнопки ""Пуск"" дизеля КНПД1, РВ включается, а пусковой контактор КД1 не включается.";Нет контакта, хотя бы у одного блок-контакта КП12, КП22, КП32.;Посмотреть блокировки КП12, КП22, КП32 или соединить провод 255 с 239 на контакторах КП1, 239 и 210 на КП2, провод 210 и 211 на КП3.
12;"При нажатии кнопки ""Пуск"" дизеля КНПД1, включаются оба одновременно пусковых контактора КД1 и КД2.";Нарушены контакты размыкающих блокировок контактора КД2, КМН и контакты РВ.;Проверить размыкающие блок контакты КМН, КД2 между проводами 255 и 280, 280 и 259 контакты РВ между проводами 259 и 275. Восстановить контакты, зачистить их. Устранить механическое заедание РВ.
13;"При нажатии кнопки ""Пуск"" дизеля КНПД1, дизель запускается без прокачки масла.";Пробит конденсатор С1;"Запуск производить, предварительно вручную включив КМН. Прокачать систему и включив выключатель ""Стоп"", нажать на кнопку ""Пуск""."
14;"При нажатии на кнопку ""Пуск"" контактор КМН не включается КД1, РВ включены при отпуске кнопки ""Пуск"" КД1 и РВ отключаются.";Плохой контакт у замыкающего контакта КД12 между проводами 255 и 258.;Восстановить контакт.
15;"При нажатии кнопки ""Пуск"" дизеля КНПД1 включились КД1 и РВ, но с включением КМН выбивает автомат АВ251 ""Масляный насос"".";Заклинило МН или произошла перегрузка двигателя из-за низкой температуры масла. Замыкание в токопроводящих проводах МН.;"Пуск произвести без прокачки масла, выключив перед этим автомат АВ-251 ""Масляный насос"". По прибытию в депо устранить неисправность."
16;"При нажатии кнопки ""Пуск"" дизеля КНПД1 включились КД1, РВ и КМН. Но МН не включается.";Зависли щетки в обоймах щеткодержателей МН.;Электрощётки вытащить, подчистить наждачной бумагой по месту и поставить в обоймы щеткодержателей.
17;"При нажатии кнопки ""Пуск"" дизеля КНПД1 РВ отключилось, а КД2 не включилось.";Нет контакта или надломился один из пальцев РВ между проводами 258-257.;Восстановить контакт. Надломленный палец заменить, сняв свободный с вспомогательного реле.
18;"При нажатии кнопки ""Пуск"" дизеля КНПД1 РВ отключилось, КД включилось, но с включением его цепь пуска разбирается.";Отключается кратковременно КУ или полностью контактор КМН из-за резкого падения напряжения на АБ в момент замыкания в цепи запуска.;КУ на время пуска придержать во включенном состоянии. При низкой температуре наружного воздуха несколько ослабить пружину контактора, отрицательно влияющего на пуск.
19;Не включается КД2 после включения реле РВ2.;Обрыв в цепи катушки КД2.;Запуск произвести напрямую, нажав деревянными изолированными предметами на якоря КД1 и КД2. Соблюдая при этом ПТБ.
20;"При включении кнопки ""Пуск"" оба пусковые контактора включены. При отпуске кнопки цепь разбирается.";Плохой контакт у КМН2 между проводами 208-247;Восстановить контакт или удержать кнопку до окончания пуска.
21;Дизель не запускается при включении КД1, КД2.;"Малая емкость АБ.
Якорь генератора вращается со скоростью, недостаточной для запуска дизеля.";Открыть индикаторные краны у 3-х цилиндров через один. Вручную замкнуть КД1 и КД2 изолированным предметом, соблюдая при этом ПТБ.
22;"Дизель не запускается при открытых индикаторных кранах и ""выдвижении"" реек ТНВД.";Недостаточная емкость АБ, замыкание в одном или нескольких элементах.;Отключить неисправный элемент. Неисправный элемент можно определить по его нагреванию и появлению дыма из элемента в момент запуска дизеля или проверкой элементов пробником. Если эта мера не дает положительных результатов пуск дизеля произвести от АБ другого тепловоза.
23;При исправной АБ не вращается якорь ГГ.;Нарушена цепь пуска, отгорел один из наконечников, соединяющих кабели с обмотками или межкатушечное соединение, повреждена пусковая обмотка и обмотка ДП.;Проверить на отсутствие искры при замыкании КД1 и КД2. Если невозможно устранить затребовать вспомогательный локомотив.
24;Дизель не запускается при исправной работе всей электрической аппаратуры.;Заклинило силовой поршень механической части РЧО.;"Открыть боковую крышку РЧО и осторожно ломиком сдвинуть, а затем ""расходить"" силовой поршень РЧО."
;;Заедание вертикальной тяги блок-магнита РЧО.;Снять крышку с блок-магнита и его плунжер утопить вручную. При необходимости блок-контакты увязать изоляционной лентой.
;;Нет давления топлива из-за попадания воздуха в систему.;Открыть заглушки на ФТОТ, прокачать ручным насосом.
;;Заклинило плунжер в гильзе ТНВД.;Отключить неисправный ТНВД и произвести запуск.
;;Неисправен РЧО - низкое давление масла из-за загрязнения фильтра.;Промыть щелевой фильтр РЧО, сдать масло на анализ.
25;Дизель запускается нормально, но через некоторое время глохнет (иногда сразу).;Заело рейки ТНВД на максимальной подаче.;Рейку смазать маслом. Если расходить не удается, отключить ТНВД.
;;Засорение ФТОТ или ФГОТ.;Фильтры промыть, продуть воздухом, поставить на место.
;;Заело обратный клапан на всасывающем трубопроводе.;Разобрать клапан, промыть, поставить на место.
;;Заедание регулирующего клапана на 2,5 кгс/см2 или излом его пружины.;Клапан разобрать, устранить заедание, если лопнула пружина, перевернуть торцевыми концами и поставить на место.
;;Заедание предохранительного клапана 5,3-5,5 кгс/см2.;При заедании произвести остукивание молотком.
;;Топливоподкачивающий насос не обеспечивает подачу топлива.;Проверить наличие топлива в баке, подсос воздуха, попытаться подкачать ручным насосом.
26;Дизель запускается с трудом и после запуска глохнет.;Заедание в подшипниках вала привода ТНВД.;Промазать подшипники.
27;После запуска цепь пуска не разбирается.;"""Приварились"" КД1, КД2.";Отделить отверткой с изолированной рукояткой.
28;При запуске дизеля лампы гаснут, стрелка амперметра АБ отклоняется до 0.;"Подгорели губки КД1, КД2, нет контакта в перемычках и кабелях, идущих от АБ к рубильнику (окисление перемычек или кабелей).
Замыкание в одном или нескольких элементах, замерзание банок АБ.";"1. Отключить рубильник АБ зачистить губки контакторов.
2. Зачистить перемычки и кабели при отключенном рубильнике АБ и закрепить их.
3. Отключить рубильник АБ и выявить неисправный элемент (банку). Для этого берут лампу, за цоколь привязывают проволоку и проверяют каждую банку. Если лампа не горит, то банка неисправна, затем эту банку исключают из работы - снимают перемычку."
Отсутствует зарядка АБ;;;
29;После пуска дизеля стрелка амперметра А2 отклоняется влево от 0 (идет разрядка АБ);Не отключились силовые контакты КД 1, КД 2, что вызывает нагрев резистора зарядки АБ Р21.;Разомкнуть КД1, КД2.
;;Перегорел плавкий предохранитель плюсовой цепи П150 на100 А.;Заменить предохранитель П150 на 100А.
Система регулирования числа оборотов дизеля;;;
30;"При переводе главной рукоятки контроллера КМ на 2-ю и последующие позиции обороты коленчатого вала не увеличиваются.
Не включилось реле РУ5";Нет контакта у режимного переключателя ПСМЕ1 между проводами 119и 100 (при неисправных контактах ПСМЕ1 ни одно реле не включается);Переключить выключатель с целью восстановления контакта.
;;Нет контакта у р.к. РБ11, РБ21, РУ34 или излом пальца реверсивного барабана КМР2.;Восстановить контакт заменить блокировки.
;;"РУ5 не включается на холостых оборотах при нахождении реверсивной рукоятки в положении ""Пуск"". Если в этом положении РУ5 включено, а при наборе 1-й позиции не включается, нет контакта у з.к. KB.";Поставить перемычку на минусовую рейку РШ4, соединить 202 с 261 проводом.
31;Не включилось РУ1, РУ4.;"Нет контакта у КМЗ.
Нет контакта у ПСМЕ1.";Восстановить контакт, поставить перемычку на минусовой рейке РШ4 соединив 119 и 100 провода.
32;РУ1 не включилось.;"Нет контакта у р.к. РУЗ1, РУ21, у з.к. РУ11 (излом пальца).
Нет контакта у РУ52, излом пальца.";Восстановить контакт. Сменить палец.
33;Реле РСМД-1 включается, а обороты дизеля не увеличиваются.;Нет контакта в фишке к электродвигателю СМД.;Производить управление валом топливных насосов вручную. В пути следования рукоятку контроллера машиниста ставить на позиции с целью уменьшения или увеличения тока.
;;Излом пальца у РСМД11 между проводами 84 и 85.;Сменить палец, восстановить контакт.
;;Нет контакта у размыкающей блокировки РСМД22. Излом пальца.;Контакт восстановить. Палец заменить.
;;Сгорела часть сопротивления 17.;Поставить лампу на 50 Вт, 127в присоединить к проводам 202 и 84 на клеммной рейке РШЗ.
;;Ослаб штепсельный разъем к сервомотору СМД или обрыв провода.;"Сгорела часть сопротивления 32 или отпаялся провод.
Осмотреть штепсельный разъем, очистить его. Повторно соединить, если не восстанавливается цепь, создать дублирующую."
;;Зависли щетки электродвигателя СМД.;Щетки вытащить, зачистить, проверить лёгкость перемещения, поставить на место.
;;Выбило защелку поводковой муфты.;Соединить, вращая диск оконченного выключателя. Если не соединяется, снять верхнюю крышку РЧО, и вращая диск, поставить защелку в паз.
34;Обороты не увеличиваются на четных позициях.;Излом пальца КМЗ на барабане контроллера.;Отремонтировать палец.
35;Обороты не увеличиваются на 4, 3, 7 и 8 позициях.;Обрыв в минусовой цепи РУ1. Не включено РУ2. Нет контакта у КМ4.;Соединить минусовой вывод с проводом 120. Восстановить контакт.
36;Нет перехода с 4 на 5 позицию.;Давление масла в системе менее 2,6 кгс/см2 РДМ не включается.;Охладить масло, если после охлаждения перехода нет, работать на 4-й позиции.
;;Нет контакта у отключателей моторов или отключена группа ТЭД.;Проверить контакты. Поставить перемычку 202 и 256.
;;Нет контакта у КМ5.;Восстановить контакт.
37;При сбросе позиций число оборотов дизеля не уменьшается. РСДМ2 не включается.;Нарушен контакт в пальцах контактного кольца оконечного выключателя.;Сменить блокировочный палец.
38;При сбросе позиций РСДМ2 включилось.;Нет контакта у блокировочного пальца РСДМ 2 или р.к. РСМД 12.;Проверить. Восстановить контакт.
;;Отвернулась фишка СМД.;Осмотреть, зачистить, поставить на место.
;;Отпаялся один из проводов сопротивления R32.;Повесить лампочку на 50вт. 127в на клеммной рейке РШЗ соединив пр. 202 с пр.92.
;;Выбило поводковую защелку РЧО.;Восстановить защелку.
;;Сгорела часть сопротивления R17.;Повесить лампу на 50вт. 127в на РШЗ, соединив провода 202 и 83. Проверить состояние пальцев РУ1, РУ2, РУЗ.
39;При сбросе позиций не снижается частота вращения коленчатого вала дизеля РСМД1 РСМД2 включается.;Обрыв в цепи якорной обмотки СМД из-за неисправности резистора Р17.;Поставить временную перемычку между задними левыми неподвижными контактами реле и РСМД2, т.е. соединить провода 83 и 84. Частота вращения будет снижаться в нормальном режиме.
40;"Не включилось реле управления РУ3.
Обороты не увеличиваются на 5 и выше позициях.";"Отключатели ТЭД ОМ12, ОМ22, ОМ32 поставлены в положение ""выключено"".";"Отключатели ТЭД поставить в положение ""включено""."
;;Нет контакта хотя бы у одного из ОМ12, ОМ22, ОМ32.;Повторно переключить ОМ1, ОМ2, ОМ3 с целью восстановления контакта.
Трогание тепловоза с места;;;
41;"При переводе реверсивной рукоятки в положение ""вперед"" или ""назад"", барабан реверсора не разворачивается.";Нарушен контакт у режимного переключателя ПСМЕ1 между проводами 119 и 100.;Повторным переключением режимного переключателя ПСМЕ восстановить контакт.
42;"Нет фиксации реверсивной рукоятки контроллера.
Не разворачивается реверсор при переводе ""вперед"" или ""назад"".";"Оборван фиксатор.
Неисправный электропневматический вентиль.
Из-за излома ограничителя разворота реверсора, реверсор развернулся на большой угол.
Нет контакта у кулачкового пальца КМР4 (КМРЗ) реверсивного барабана контроллера, излом пальца. Нет контакта у ПСМЕ 1 между проводами 119 и 108.";"Фиксатор заменить.
Вал реверсора развернуть гаечным ключом.
Пластину толщиной 3-4 мм с отверстием 12-16 мм поставить под болт и закрепить."
43;При постановке рукоятки КМ на 1-ю позицию поездные контакторы КП1-КП2-КПЗ не включаются.;Отключены OMI-OM3. Давление воздуха в ТМ менее 4,5 кг/кв.см.;Включить OMI-OM3.
;;Нет контакта у р.к. КД11 КД21.;Проверить контакт, зашунтировать провод 204 с 226, перед диодом перемычкой.
;;"Нет контакта у блокировочных пальцев реверсора Р1, Р2, КМ2, КМ7.
Обрыв на клеммном щитке К1 провода 204.";"Закрыть плотно двери ВВК, проверить, соединить перемычкой провода 204 с 277.
Соединить перемычкой провода 204 с 217."
44;Не включается один из поездных контакторов (при включенном ОМ ТЭД);Дефектный электромагнитный вентиль, обрыв проводов, неисправности контактора.;Отключить ОМ данной группы ТЭД.
45;Поездные контакторы включены, но тепловоз с места не трогается, обороты с набором позиций не увеличиваются, не включился контактор КВ.;Приварились контакты во включенном положении у одного из пусковых контакторов КД1, КД2.;Контакт у пускового контактора разъединить.
;;Неплотно закрыта верхняя или нижняя двери в высоковольтную камеру.;Плотно закрыть двери высоковольтной камеры.
;;Сработало реле заземления РЗ или нарушен контакт между проводами 254 и 274.;Восстановить РЗ в исходное положение.
46;При постановке рукоятки КМ на 1-ю позицию не включается контактор КВ.;Нет контакта у з.к. КП11-КП21 - КПЗ1, БК 1, БК2, РК, Р32.;Соединить перемычкой провода 204 с 232, затем в свободное время проверить блокировки в цепи контактора КВ.
;;Не включен автостоп.;Включить.
47;При постановке рукоятки КМ на 1-ю позицию обороты дизеля не увеличиваются.;Обрыв провода у катушки КВ.;Проверить, соединив 204 с 232 проводом. Если не включается, проверить минусовой вывод, соединив минус катушки с 100 проводом.
48;Контактор KB включен, обороты дизель развивает, но тепловоз с места не трогается.;Нет контакта между губками КВ. Неплотное прилегание губок КВ. Нет возбуждения возбудителя. Обрыв в цепи обмотки возбудителя.;"Проверить чистоту и нажатие губок контактора. Собрать аварийную схему:
1. Отнять на клеммной коробке ""В"" кабель 64.
2. Заизолироватъ кабель 64. Снять кабель 53 и соединить его с проводом 108.
3. Провод 50 отсоединить и соединить его с проводом 21 и с Р21."
49;Обороты дизеля увеличиваются, но нагрузка по килоамперметру не соответствует набранной позиции контроллера.;Нет контакта в замыкающих блокировках РУ41, РУ23, РУ32, ВВ02.;Проверить контакты у блокировок.
50;Начиная с 5-й позиции, не увеличивается частота вращения, не включилось РУЗ.;Подгорели контакты ОМ12 ОМ22, ОМ32.;Поставить перемычку соединив 224 с 256 на панели К1.
51;Подгорают силовые контакты поездных контакторов и блокировки.;Пробит диод Д1 (226-266).;Заменить в депо.
52;"Выбивает автомат 220 ""Управление"" при перестановке рукоятки КМ на 1-ю и последующие позиции.";Замыкания сопротивления катушки электропневматического вентиля реверсора.;Осмотреть, отвести сопротивления в сторону
53;При переводе КМ на 5-ю позицию обороты падают до холостого хода.;Низкое давление масла, менее 2,6 кгс/кв2.;Охладить температуру масла, если будет включаться РДМ, работать до 4-й позиции.
;;Неисправно РДМ.;Для проверки кратковременно зашунтировать контакты РДМ путем постановки перемычки на провода 246 и 252 на кл. рейке РШ4.
;;Нет контакта у барабана контроллера КМ5.;Восстановить контакт КМ.
;;Отключена группа ТЭД или нет контакта у отключателей ОМ2-ОМЗ.;Отключить ТЭД, при отсутствии контакта соединить провода 256 с 263.
54;При достижении скорости 18-20 км/час РП1 включается, а КШ1- КШ2 нет.;"Нет контакта у реле РП1, РП2.
Обрыв в цепи КШ1-КШ3.";Восстановить контакт. Соединить 268 провод с катушкой не включенного контактора.
55;При включении РП2, КШ2, KIII4, КШ6 не включаются;Обрыв проводов 235 или 121. Нет контакта РП21, РП22.;Соединить провода. Восстановить контакт.
56;"Заклинило реверсивную рукоятку в одном из рабочих положений.
Реверсор не разворачивается.";Ослаблен штифт и заклинило рукоятку.;"Для оперативного освобождения занятого перегона:
1. Перекрыть краник на воздухоподводящей трубке у КП1-КПЗ в ВВК.
2. Выпустить воздух из подводящей трубы путем нажатия на якорь вентиля реверсора.
3. Подложить изоляцию на палец реверсивного барабана контроллера машиниста КМРЗ (КМР4), обесточив (средний слева) электропневматический вентиль. Открыть краник на воздухоподводящей трубке, и нажать на электропневматический вентиль реверсора ""вперед"" или ""назад"".
4. Развернуть реверсор, соединить перемычкой провод 202 с 217 (216) проводами и производить набор позиций.
5. При наличии свободного времени снять крышку реверсивной рукоятки. Отремонтировать штифт."
57;При нажатии на педаль подачи песка непрерывно идет песок.;Неисправна возвратная пружина педали песочницы.;Устранить неисправность. Отключить педаль. Подачу песка производить кнопкой переносного пульта.
58;"При переводе реверсивной рукоятки КМ ""вперед"" или ""назад"" непрерывно идет песок.";Замкнулся контакт переносного пульта ПП.;Отсоединить фишку переносного пульта.
;;Неисправен воздухораспределитель песочницы, произошло заедание клапана.;Разобрать и отремонтировать.
59;Не идет песок при нажатии на педаль.;"Нет контакта у педали КНП или КНП+.
Нет контакта у блокировочного пальца реверсора Р4 или Р3.";"Восстановить контакт или пользоваться кнопкой переносного пульта ""песок"". Восстановить контакт."
60;При трогании тепловоза реле боксования РБ срабатывает на включение.;Не отключились силовые контакты одного из контакторов шунтировки поля КШ1, КШ2, КШ3, КШ4, КШ5, КШ6.;Разъединить контакты контакторов шунтировки поля.
;;Нарушение силовой цепи у одной из групп ТЭД.;Поочередным выключением ОМ выяснить - в какой группе неисправность и отключить ОМ неисправной группы ТЭД.
;;Провернулась шестерня у одного из групп тяговых двигателей.;Поочередным выключением ОМ выяснить - в какой группе неисправность и отключить ОМ неисправной группы ТЭД.
Неисправности дизеля;;;
61;Дизель не запускается, коленчатый вал разворачивается, рейки топливных насосов на подачу топлива не выходят.;Сработал регулятор предельного числа оборотов.;Восстановить регулятор поворотом рукоятки против стрелки.
;;Заклинило одну или несколько плунжерных пар топливных насосов высокого давления (ТНВД).;Выявить неисправные топливные насосы путем последовательного выдвижения реек каждого насоса. Проверить свободность хода реек, если это не удается, отключить ТНВД.
62;Дизель не запускается, коленчатый вал проворачивается, рейки топливных насосов на подачу топлива выдвигаются.;Нет топлива в топливном коллекторе по причине открытия перепускного сливного вентиля в конце топливного коллектора.;Вентиль закрыть.
63;Дизель после запуска идет в разнос.;Заклинивание реек топливных насосов в положении максимальной подачи топлива.;Выявить неисправные топливные насосы путем последовательного выдвижения реек каждого насоса. Проверить свободность хода реек, если это не удается, отключить ТНВД.
64;Дизель работает с дымным выхлопом (дым черный).;Топливный насос подает слишком много топлива.;Проверить на слух на нулевой позиции работу цилиндров. У имеющих стук цилиндров, отключить ТНВД.
;;Неисправна форсунка (одна или несколько);Отключить ТНВД.
65;При работе дизеля уровень воды в расширительном баке понижается.;Течь воды в картер через резиновое уплотнение цилиндровых втулок. Наблюдается парение из сапуна, образование капель воды на сапуне, капельки воды на щупе контроля уровня масла в картере.;Заглушить дизель. Дальнейшая эксплуатация тепловоза запрещается.
Неисправности в системе автоматического управления холодильником;;;
В случае выхода из строя термореле или вентиля, управляющих охлаждением воды в основном контуре можно сохранить автоматическое управление холодильником с помощью другого термореле или вентиля. Если не открываются боковые жалюзи (неисправен вентиль ВПЖ1 или термореле РТЖ1, а главный вентилятор включается, то перекрывают кран 593 и открывают кран 594 на соединительной трубе. Тогда РТЖ2 и вентиль ВПЖ2 будет управлять главным вентилятором и приводами всех жалюзи шахты основного контура. Если же из-за неисправности РТЖ2 (ВПЖ2) не включается главный вентилятор, а привод боковых жалюзи исправен, то перекрывают кран 590 и открывают 594. При выходе из строя РТЖ4 или ВПЖ4 можно перекрыть кран 591 и открыть 592. При выходе из строя системы автоматического регулирования температуры воды, а так же при необходимости значительно снизить температуру воды используют режимный переключатель.;;;
66;Не открываются жалюзи малого контура охлаждения;Неисправен термостат РТЖ4.;"Охлаждать вручную включением переключателя РМ в положение ""охлаждение""."
67;Не включается контактор КМВ на автоматическом, и ручном охлаждении.;Неисправна катушка контактора КМВХ.;Контактор включить принудительно, заменить катушку или контактор.
;;Обрыв минуса катушки.;Восстановить электрическую цепь минуса.
68;Контактор КМВХ включен, мотор не работает.;Сгорел предохранитель П253(80А).;Заменить предохранитель зарядки АБ (крайний задний).
69;Не включаются боковые жалюзи основного контура.;Неисправен ВПЖ 1.;Подключить электропневматический вентиль деревянным клином.
70;Не включаются верхние жалюзи.;Неисправен термостат ВПЖ2.;Охлаждать вручную.
71;Электропневматический вентиль, верхние жалюзи включены, вентилятор не работает.;Неисправен золотник ГМР.;При заглушенном дизеле отсоединить трубку от крышки золотника, снять крышку, вынуть золотник, предварительно проверив свободность его перемещения и отсутствия заедания. Промыть золотник, проверить кольца, собрать.
;;Забита трубка к золотниковой коробке или не открыт вентиль от ФТОК к ГМР.;Проверить состояние маслопровода к ГМР и открытие вентиля.
;;Обрыв воздухопровода, от ВПЖ2 к распределительной коробке ГМР.;Поставить резиновую трубку.
72;Верхние жалюзи закрываются, а вентилятор не останавливается.;Излом пружины золотника в распределительной коробке.;Пружину достать, соединить через шайбу, торцевые части поставить на место.
;;Заедание золотника.;Разобрать и промыть золотник, кольца заменить.
;;Засорились сливные отверстия в колоколе.;Снять смотровой лючок, поворачивая колокол, прочистить отверстия.
;;;
