к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ10, ВЛ10У;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
17;Перегреваются проволочные сопротивления Р20, Р21 с тыль- ной стороны ПУ.;Неисправность блоков защиты.;Необходимо выключить вентиляторы до полной остановки и включить повторно. Если грение продолжается, отключить блок защиты.
Цепи управления и силовые цепи моторного режима;;;
18;При постановке главной рукоятки контроллера на первую позицию схема не собирается.;Обрыв в цепи управления;"Во время движения обратить внимание на показание сигнальных ламп БВ-1, РБ, РН, ТМ. Загорание лампы РБ указывает на обрыв якорной цепи ТЭД (на стоянке отключить неисправную пару ТЭД), ТМ указывает на большую утечку в ТМ поезда либо о неисправности схемы контроля обрыва ТМ, РН указывает на исправность силового контакта БВ-1, пусковых сопротивлений 1-го кузова, включенных ЛК 3-1, 4-1, а также об исходном положении реверсоров, тормозных и групповых переключателей). перейти на 17 позицию, если схема собралась в обоих кузовах перейти на ""П"" соединение и следовать до ближайшей станции. На стоянке проверить:
При отсутствии сигнальных ламп необходимо:
а) проверить исправную вставку ВУ и блок 367 нажатием на кнопку ""песок"".
б) реверсивно-селективную рукоятку перевести в положение ""П"" для самозачищения блокировок групповых переключателей, а их разворот будет свидетельствовать о наличии питания на КМЭ.
в) убедиться, что тормозная рукоятка стоит строго на ""0"".
г) проверить замыкание силового контакта БВ-1, включением кнопки "" возбудители"".
д) дополнительно на стоянке собрать схему ""назад"" и, затормозив электровоз, выбрать главную рукоятку до 6-й позиции.
Если схема не собирается, опустить токоприемник и проверить (при включенном БВ-1 и первой позиции главной рукоятки КМЭ) включение контакторов 3-1, 4-1, 3-2, 2-2, 17-2, исходное положение реверсора, тормозного и группового переключателей, так же проверить положении уравнительных контакторов 124-1,125-1 и 125-2 (должны быть выключены), если ЛК не включаются, то на ЦКР объединить провода 8-К11, разворот реверсоров производить при выключенном БВ-1."
;;Обрыв в силовой цепи ТЭД;Ножами ОД отключить неисправную пару ТЭД.
19;"При постановке второй и последующих позиций ""С"" соединения схема разбирается.";"Отсутствие контакта в блокировке линейного контактора 4-1, в проводе К19 - ""земля"".";Восстановить контакт (зачистить вручную блокировки линейного контактора 4-1).
20;"При постановке второй и последующих позиций ""С"" соединения исчезает тяговый ток";Обрыв в обмотке возбуждения ТЭД;"Во время движения электровоза, выбрать ""СП"" соединение (убедиться, какой из кузовов ""не везет""), перейти на ""П"" соединение, следовать на 6 ТЭД. На стоянке, в кузове, на котором исчезнет тяговый ток, отключить неисправную пару ТЭД, следовать на 6 тяговых двигателях с ""ОП"", если позволяет весовая норма."
21;"При постановке второй и последующих позиций ""С"" соединения сгорает вставка ""ВУ""";К.З. в катушки вентиля реостатного контактора который включается на данной позиции, или в проводе К-32 (цепь сигнальных ламп РН).;"Выключить вентиляторы, заменить типовую вставку.
Необходимо осмотреть клеммы катушек реостатных контакторов и устранить короткое замыкание (либо подложить изоляцию в КМ). Блокировку 63-1 в проводах 8-К32 заизолировать."
22;Повреждение или обрыв в цепи тяговых двигателей, элементах тормозных переключателей и реверсоров;Пробой стоек элементов тормозных переключателей и реверсоров.;"Ножами ОД отключить поврежденные элементы. В зависимости от веса поезда и профиля пути следовать на исправных ТЭД.
Повреждения реверсоров.
При повреждении всей силовой части реверсора N 1 вывести из схемы переключением ножей ОД1, ОД2, ОД1-2, ОД3-4
При повреждении всей силовой части реверсора N 2 поврежденный реверсор вывести из схемы переключением ножей ОД 5-6 и ОД 7-8 в аварийный режим. Следовать на четырех ТЭД с применением ОП, если позволяет весовая норма.
В случае повреждения любой стойки реверсоров необходимо выключением ножей ОД вывести из схемы поврежденную стойку и следовать на аварийном режиме (1 секции со стороны монтажа кабелей слева направо 1 и 2 стойки - 3-4 ТЭД.; 3 и 4 стойки - 1-2ТЭД; во второй секции 1 и 2 стойки - 7-8 ТЭД; 3 и 4 стойки-5-6 ТЭД).
Повреждение тормозных переключателей.
Стойки тормозных переключателей ниже нумеруются слева направо со стороны монтажа кабелей.
Повреждение тормозного переключателя N 1.
При повреждении стоек 1, 2, 3, 6, 8, переключить ножи ОД 1-2 ТЭД в аварийный режим.
При повреждении стоек NN 4, 5, 7, 9, 10 переключить ножи ОД 3-4 ТЭД в аварийный режим.
Повреждение тормозного переключателя N 2.
При повреждении стоек NN 1, 2, 3, 6, 8 переключить ножи ОД 5-6 ТЭД в аварийный режим. При повреждении стоек NN 5, 7, 9, 10 переключить ножи ОД 7-8 ТЭД в аварийный режим."
23;При постановке 37 позиции отключает БВ-1.;Потеря контакта в блокировке контактора 10-1 в проводах 4-24.;"Следовать на ""С"", ""СП"" соединениях КМЭ с применением всех ступеней ОП."
24;При постановки 1-ой позиции КМ отключает БВ-1;КЗ в силовой цепи локомотива.;"Осмотр машинного отделения, аппаратов ВВК и сигнализаторов РП ТЭД.
При выявлении срабатывания сигнализатора РП какой либо пары ТЭД, ножи ОД данной пары ТЭД переключить в аварийный режим (вниз).
В случае затруднения отыскания места К.З., произвести прозвонку силовой цепи на К.З. высоким напряжением (при поднятых токоприемниках и включенном БВ-1):
1. произвести постановку реверсивно-селективную рукоятку в положение ""СП"", при отключении БВ-1 - К.З. либо в межкузовном кабеле 274 ""А"", либо в точках: низ контакторов 30-0, 31-0, 3-2, верх контактора 31-0 и точка 017 ОД2, а так же реле рекуперации 62-2. Внимательно осмотреть указанные аппараты и место повреждения.
2. поставить ножи ОД обеих секциях в среднее положение. Если БВ-1 отключает при постановки 1-й позиции, К.З. в пусковых сопротивлениях 1-й секции или контакторах и аппаратах, электрически с ними связанных.
При отсутствии К.З. в указанных цепях 1-й секции поставить 17-ю позицию (СП-соединение). При отключении БВ-1- К.З. в пусковых сопротивлениях 2-й секции или контакторах и аппаратах, электрически с ними связанных.
Если на 17-й позиции БВ-1 не отключает, поставить 28-ю позицию (П-соединение). Отключение БВ-1 свидетельствует о К.З. в переходных сопротивлениях секции N 1 или N 2 или электрически связанных с ними цепях.
3. если на 28-й позиции БВ-1 не отключает- К.З. в ТЭД. По переменны включением ножей ОД определить поврежденную пару и отключить ее."
25;Неравномерный прирост тока по позициям;"Не включение, каких либо реостатных контакторов. На ""СП"" соединении не включение уравнительного контактора 20-2 проявляется так же неравномерным приростом тока.";В пути следования объединить между собой провода К4,К31,К34,К45, на стоянке выявить неисправный контактор и включить принудительно.
26;При постановке 17 позиции нет перехода, ток по амперметру уменьшается.;Обрыв провод 7.;"На ЦКР объединить провода 5,6,7. Если КСП-0 развернется, с 1-й позиции будет собираться СП соединение. Если КСП-0 не развернется, возможен обрыв катушки вентиля КСП-0 или механическое заедание. Необходимо КСП-0 развернуть вручную и закрепить его в этом положении. На ЦКР дать землю проводу К19 и соединить между собой провода 5 и 6.
При перемене направления движения первую позицию ставить дважды."
27;На СП соединении неравномерный прирост тока.;Обрыв провода 5.;На ЦКР объединить провода К34, К31, К45.
28;Сгорает вставка ВУ на 27 позиции.;КЗ в проводе 10 или К65.;Заизолировать контакты элемента КМЭ в проводе 10. Поезд вести на С и СП соединении.
29;Сгорает вставка ВУ на 28 позиции;К.З. в проводах 4, К23, К24, К25, К92, Н54, Н55.;"Следовать на ""С"" и ""СП"" соединениях с применением ослабления поля тяговых двигателей всех ступеней."
30;"На 28 позиции нет перехода на ""П"" соединение";Обрыв провода 4 или 10;"Следовать на ""С"" и ""СП"" соединениях с применением ослабления поля тяговых двигателей всех ступеней."
;;;
