к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ80С;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
23;Батарея не дает напряжения.;Сгорел предохранитель Пр1 или Пр2. Обрыв или перегорание перемычек между отдельными банками. Обрыв одного из проводов, идущих от батареи к зажимам предохранителей батареи.;Замените сгоревший предохранитель на типовой. В случае отсутствия предохранителя или неисправности аккумуляторной батареи - собрате аварийную схему питания цепей управления от распределительного щита исправной секции переводом рубильника 3Р в нижнее положение.
Цепи вспомогательных машин;;;
24;Прекратилась работа вспомогательных машин одной из секций;Неисправен фазорасщепитель или цепи его управления.;Отключите вспомогательные машины и проверьте тепловые реле защиты фазорасщепителя неисправной секции, а также неисправность цепи катушек контактора 125. Если после этого фазорасщепитель не запустится, то перейдите на работу по схеме резервирования фазорасщепителей.
25;Сработало токовое реле 113 или реле заземления вспомогательных машин.;"Неисправна одна из вспомогательных машин или где-то произошло замыкание на ""землю"".";Отключите все вспомогательные машины, запустите фазорасщепитель, а затем поочередно включайте все вспомогательные машины и нагрузки. Цель, при включении которой сработает реле, неисправна. Отключить неисправною вспомогательную машину соответствующей кнопкой на кнопочных выключателях 226-227.
;;Неисправен мотор - компрессор, загорелась лампа МК.;Работу продолжайте при работающем компрессоре исправной секции.
;;Поврежден мотор - вентилятор системы охлаждения выпрямительных установок и тормозных сопротивлений.;Отключите соответствующую выпрямительную установку разъединителями 81-82 и продолжайте работу секции на одной установке.
;;Неисправен мотор-вентилятор системы охлаждения ТЭД.;Отключите соответствующие ТЭД разъединителями ОД1-4 и продолжите движение.
;;Неисправен мотор - насос МН системы охлаждения трансформатора.;Работа секции возможна со сниженной нагрузкой и при тщательном соблюдении режима нагрева масла по термометру на трансформаторе. Наибольшая допустимая температура масла +95оС.
26;Загорелась одна из сигнальных ламп МК, МВ1 - МВ4, МН, отключилась одна из вспомогательных машин.;Неисправно реле ТРТ.;При срабатывании ТРТ из-за неисправности самого реле повторного включения отключенного двигателя не происходит. Отключите неисправною вспомогательную машину соответствующей кнопкой на кнопочных выключателях 226-227.
;;Неисправная силовая или низковольтная часть или нарушен контакт в контактах реле ТРТ.;Отключите неисправною вспомогательную машину соответствующей кнопкой на кнопочных выключателях 226-227.
;;Межвитковое замыкание в обмотке статора вспомогательной машины или между двумя катушками одной или соседних фаз. Длительная работа электродвигателя при сильно пониженном напряжении в контактной сети (менее 18 кВ). работа электродвигателя при перезагрузке. Чрезмерный износ или разрушение подшипников, ротор просел и при вращении цепляет за статор.;При срабатывании ТРТ из-за неисправности двигателя вспомогательной машины можно допустить только однократно повторное включение электродвигателя. Отключите этот двигатель соответствующей кнопкой на кнопочных выключателях 226-227, установленных в кузове электровоза, и перейдите на аварийный режим работы, а после этого продолжайте движение.
27;Отключился ГВ, загорелась сигнальная лампа ГВ.;Сработало реле 113 (при КЗ и перегрузках в цепи вспомогательных машин);Реле 113 часто срабатывает при отсутствии к.з. в цепи вспомогательных машин, в случае проследования воздушных стрелок контактной сети, приема на боковой путь (происходит кратковременный обрыв цепи токоприемника), следование по перегону с наибольшей скоростью при сильных ветрах и гололеде, т.е. когда происходит отрыв токоприемника, сопровождаемый горением дуги. О срабатывании реле 113 указывает сигнализатор реле. После выключения ГВ отключите все вспомогательные машины и снова включите ГВ.
Главный контроллер;;;
28;Серводвигатель вращается, а вал ГП стоит на месте.;Неисправность группового переключателя.;Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
;;;
