к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии ЭП2К;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
;;"Отсутствует напряжение на
выходе АИН-3
бой в работе АИНЗ";Сбор схемы резервирования питания АКРВ происходит в автоматическом режиме. В случае, если сбора схемы резервирования АКРВ в автоматическом режиме не произошло, необходимо отключить АЗВ SF1 ПСН 1 (АЗВ SF2 ПСН2) неисправного ПСН на 10 секунд. Если неисправность не устранилась, действие повторить 2-3 раза. Если неисправность не устранилась, отключить АЗВ неисправного ПСН, следовать на исправном ПСН.
14;Компрессор (АКРВ) не работает;"Отключен АЗВ SF25 ""Компрессор"" на БАУ";"Включить АЗВ SF25 ""Компрессор"" на БАУ"
;;"Отключен АЗВ SF21 ""Цепи диагностики"""" на БАУ";"Восстановить АЗВ SF21 ""Цепи диагностики"""" на БАУ"
;;Сработало тепловое реле ККЗ;Отключить тумблеры вспомогательных машин, преобразователей и БВ. Осмотреть в шкафу БВА4 силовой монтаж кабелей и шин отходящих и подходящих к контактору КМ90 и реле ККЗ. В случае выявления ослабления крепления и нагрева соединение закрепить. Далее включить БВ, преобразователи и вспомогательные машины
;;Отсутствие контакта в реле давления SP7;В случае если работа АКРВ не восстановилась, отключить АЗВ SF2 ПСН2
15;Компрессор (АКРВ) не работает;Не включение КМ128(129), реле К З5 (К З7);"Перейти на резервный полукомплект МПСУ п. 10.7
В случае если работа АКРВ не восстановилась, отключить АЗВ SF2 ПСН2"
;;Ложное срабатывание датчика подогрева масла в картере АКРВ (во время первичного запуска при температуре окружающего воздуха выше минус 20°С, либо в пути следования);Перейти на резервный полукомплект МПСУ п. 10.7
;;"Не включается контактор КМ90.Х
Неисправность МПСУ";"Перейти на резервный полукомплект МПСУ
Отключить ПСН2, перейти на работу от ПСН1."
;;МК не включается, на блоке управления (непосредственно на самом МК не горит красный светодиод);"Выключить тумблер ""Компрессор"" на пульте управления, установить блок управления МК на резервное место"
;;МК включается, но давление в ГР при работающем компрессоре не растет.;"Выключить тумблер ""Компрессор"" на пульте управления, снять крышку с разгрузочного клапана МК, достать клапан и пружину, крышку закрыть."
;;"Не разгрузился АКРВ
Осуществлён запуск АКРВ без выдержки времени от предыдущей работы";"Отключить тумблер ""Компрессор"", выждать 1 минуту и включить тумблер ""Компрессор"""
16;Вентиляторы ЦВС не работают;"Отключение АЗВ SF26 ""Вентиляторы"" на БАУ";"Восстановить АЗВ SF26 ""Вентиляторы"" на БАУ"
;;"Отключение АЗВ SF21 ""Цепи диагностики"" на БАУ";"Восстановить АЗВ SF21 ""Цепи диагностики"" на БАУ"
;;Сработало тепловое реле КК1 (М13) или КК2 (Ml6);Отключить неисправный ЦВС тумблером на БАУ, вывести из работы соответствующие ТЭД
;;Отказ электродвигателей мультициклонных фильтров М14,М15, М17, М18;Продолжить движение до станции размена локомотива. Отказ на работу локомотива не влияет. Сделать запись в ТУ-152
;;Не включается КМ128(129), реле К36(К38);Перейти на резервный полукомплект МПСУ
;;Не включается контактор КМ107. Х или КМ111.Х:;
;;Неисправность МПСУ;Перейти на резервный полукомплект МПСУ
;;Неисправность контактора;"В случае, если схема резервирования не собралась в автоматическом режиме, произвести выключение и включение тумблера ""Вентиляторы"" на пульте машиниста. Если ЦВС не запустились произвести отключение АЗВ ПСН:
При неисправности КМ 107 - АЗВ SF1 ПСН1 При неисправности КМ111 - АЗВ SF2 ПСН2"
17;Отказ МПСУ;Отключен АЗВ SF 14, SF 15, SF16, SF17, SF18, SF20 на БАУ;Восстановить АЗВ SF14, SF15, SF16, SF17, SF18, SF20 на БАУ
;;Не включается КМ 125 в БАУ (на локомотивах до N 111);"Рукоятку контроллера установить на ""0""- позицию, если КМ 125 не включается, проверить его на предмет механического заедания"
;;Не запускается дисплейный модуль:;
;;Отключено реле К10, К15;На локомотивах до N 111 проверить нулевое положение рукоятки контролера машиниста, следовать далее руководствуясь показаниями блока индикации КЛУБ-У и блока сигнализации
;;Отключен АЗВ SF20 на БАУ;Восстановить АЗВ SF20 на БАУ
;;Нет связи с БУО и БУТП при включении МПСУ;"Проверить нулевое положение рукоятки контролера машиниста.
Проверить пакетник SA9 в положении ""Цепи замкнуты"".
Перейти на резервный полукомплект МПСУ"
;;Не включается КМ 128 (реле К35, К36, К13) или КМ 129 (реле К37, К38, К14);Перейти на резервный полукомплект МПСУ
;;Отказ источника питания (ИПЛЭ) МПСУ;"Выключить АЗВ SF15, выждать 10 секунд и включить АЗВ SF15.
Отключить и включить тумблера ""Канал 1"" и ""Канал 2"" на ИПЛЭ МПСУ"
18;Отказ МПСУ;Отказ в работе (не включение, неотключение) реле и контакторов Учитывая, что для перехода на резервный комплект МПСУ требуется остановка локомотива, действия по переходу между комплектами и перезагрузке МПСУ выполнять в последнюю очередь.;"Перейти на резервный полукомплект МПСУ:
Для локомотивов до N 121: установить главную рукоятку контроллера машиниста в нулевое положение, остановить локомотив, в строгой очерёдности отключить тумблеры ""Вентиляторы"", ""Компрессор"", ""Преобразователи"", ""БВ"", ""МПСУ"". Произвести переключение тумблера SI 1 МПК1/МПК2 в противоположное положение. Произвести запуск локомотива в последовательности, описанной в руководстве по эксплуатации, продолжить движение.
Для локомотивов с N 122 и выше:
установить главную рукоятку контроллера машиниста в нулевое положение, произвести переключение тумблера SI 1 МПК1/МПК2 в противоположное положение, продолжить движение.
При полной перезагрузке МПСУ независимо от номера локомотива необходимо установить главную рукоятку контроллера машиниста в нулевое положение, остановить локомотив, в строгой очерёдности отключить тумблеры ""Вентиляторы"", ""Компрессор"", ""Преобразователи"", ""БВ"", ""МПСУ"". Произвести переключение тумблера SI 1 МПК1/МПК2 в противоположное положение. Произвести запуск локомотива в последовательности, описанной в руководстве по эксплуатации, продолжить движение."
19;Не собирается первая позиция;Отключен АЗВ SF12, SF13, SF14, SF15, SF17, SF18, SF20, SF21, SF23, SF25, SF26, SF27, SF80, SF82 на БАУ;Восстановить АЗВ SF12, SF13, SF14, SF15, SF17, SF18, SF20, SF21, SF23, SF25, SF26, SF27, SF80, SF82 на БАУ
;;"Разъединители минусовых цепей SA9, SA10 в положении ""Цепи разомкнуты"".";"Перевести разъединители минусовых цепей SA9, SA10 в положение ""Цепи замкнуты""."
;;Не отключено реле К11;Поставить кратковременно рукоятку крана машиниста в 1 положение до момента отключения реле К11
;;Не включается реле КЗ5, КЗ6, КЗ 7, КЗ 8 или контакторы КМ 125 (для локомотивов до N 111), КМ128, КМ 129;Перейти на резервный полукомплект МПСУ п. 10.7
20;Не собирается первая позиция;Неисправен контроллер машиниста;"На дисплейном модуле выбрать ""Контроль оборудования"", нажать клавишу ""Выбор БУ"" и выбрать БУТП. Кнопками листать до момента выбора информации о положении главной рукоятки контроллера машиниста. Установить главную рукоятку контроллера машиниста в положение сброс. При отсутствии сигнала SMl(l/2) - Тяга ""Н"", ""ФП"", ""С"" (должен подсвечиваться чёрным или синим цветом) перейти на резервный полукомплект МПСУ п. 10.7. В случае отсутствия положительного результата произвести замену контроллера машиниста из нерабочей кабины (открутить 4 винта М6 и отсоединить два штепсельных разъёма)"
;;Сработало реле К1:;
;;"Отключился АЗВ SF27 ""Вспомогательные цепи""";"Восстановить АЗВ SF27 ""Вспомогательные цепи"""
;;Не включение или не выключение одного из силовых контакторов.;"На дисплее МПСУ открыть окно ""Контроль оборудования"" - ""КМ"". Определить неисправный контактор и устранить неисправность согласно пункта 14"
21;Не собирается первая позиция;"Реверсивная рукоятка контроллера машиниста установлена в нулевое положение при движении локомотива с последующим переводом в положение ""Вперёд"" (""Назад"")";"Произвести остановку локомотива применив служебное торможение. После полной остановки реверсивную рукоятку контроллера машиниста перевести в нулевое положение с последующим переводом в положение ""Вперёд"" (""Назад""). Собрать схему тяги."
22;Не собирается первая позиция;Не перевелись тормозные или реверсивные переключатели;"Перейти на резервный полукомплект МПСУ см. п. 10.7.
При отсутствии положительного результата на дисплейном модуле выбрать ""Контроль оборудования"", нажать клавишу ""Выбор БУ"" и выбрать БУТП. Кнопками листать до момента выбора информации о состоянии QT - тормозные переключатели QP - реверсивные переключатели. Правильное положение переключателя высвечивается черным или синим цветом. Определить неисправный реверсивный или тормозной переключатель.
Остановить электровоз. На остановке зайти в крайний коридор ВВК и принудительно развернуть неисправный переключатель путем нажатия на якорь вентиля:
для QP:
При управлении с кабины N 1:
Ближний вентиль для движения вперед
Дальний вентиль для движения назад
При управлении из кабины N 2:

Ближний вентиль для движения назад
Дальний вентиль для движения вперед
Для QT независимо от кабины управления
Ближний вентиль для режима тяга
Дальний вентиль для режима ЭДТ"
23;Не собирается первая позиция;Ложное срабатывание датчика напряжения ТЭД (боксование);"Войти в меню ""Тяговый привод"", определить ТЭД с наибольшей разницей напряжения по отношению к остальным и отключить соответствующий тяговый двигатель тумблерами S2-S5 на БАУ"
24;Не собирается первая позиция;Разбор тяги, нет информации об открытии жалюзи SQ5 - SQ8.;
;;Неисправность концевого выключателя SQ5 - SQ8;"Визуально убедиться в том, что жалюзи открываются. Войти в меню ""Электрооборудование"" - ""Вентиляторы"" -""Отключить контроль жалюзи"" кнопкой 5, выждать 2 минуты от последнего сбора схемы тяги. Собрать схему тяги."
;;Неисправность МПСУ;Перейти на резервный полукомплект МПСУ п. 10.7
;;Неисправность вентиля Y8;При наличии на локомотиве заводской аварийной схемы обвода вентиля Y8, произвести сбор схемы путём перевода кранов в соответствующее положение. (Трёхходовой кран перед переводом требует ослабления крепления гайки)
25;Собирается только первая позиция;Неисправен контроллер машиниста;"На дисплейном модуле выбрать ""Контроль оборудования"", нажать клавишу ""Выбор БУ"" и выбрать БУТП. Кнопками листать до момента выбора информации о положении главной рукоятки контроллера машиниста. Установить главную рукоятку контроллера машиниста в положение сброс. При отсутствии сигнала SMl(l/2) - Тяга ""Н"", ""ФП"" (должен подсвечиваться чёрным или синим цветом) перейти на резервный полукомплект МПСУ см.п.10.7.
В случае отсутствия положительного результата произвести замену контроллера машиниста из нерабочей кабины (открутить 4 винта М6 и отсоединить два штепсельных разъёма)"
;;"Тумблер набора позиций установлен в положение ""Автоматический набор""";"Переключить тумблер в положение ""Ручной набор"""
26;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;Неисправность силового контактора: КМ1;Отключить 5-6 ТЭД (схема собирается до 36 позиции)
;;КМ2;"Отключить 3 ТЭД (схема собирается до 47п)
или 1-3 ТЭД (схема собирается до 20п)
или 3-4 ТЭД (схема собирается до 20п)"
27;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ3;"Отключить 1-2 ТЭД (схема собирается до 36п)
или 1-3 ТЭД (схема собирается до 20п) или 4-6 ТЭД (схема собирается до 20п)
или R6 (схема собирается до 31п)
или R7 (схема собирается до 30 п)
или R8 (схема собирается до 32 п)
или R9 (схема собирается до 32 п)"
;;КМ4;"Отключить 1-2 ТЭД (схема собирается до 36п)
или 1-3ТЭД (схема собирается до 20п)
или 3-4 ТЭД (схема собирается до 36п)"
;;КМ5;"Отключить 3 ТЭД (схема собирается до 36п)
или 1-2 ТЭД (схема собирается до 36п)
или 5-6 ТЭД (схема собирается до 36п)"
28;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ6;"Отключить 3 ТЭД (схема собирается до 47п)
или 4 ТЭД (схема собирается до 47п)
или R6 (схема собирается до 31п)
или R7 (схема собирается до 30 п)
или R8 (схема собирается до 32 п)
или R9 (схема собирается до 32 п)"
;;"КМ8
(резервный контактор, задействован в аварийной схеме при отключенном 3 ТЭД)";"Дополнительно отключить 1-2 ТЭД
(схема собирается до 20п)"
;;"КМ8
(резервный контактор, задействован в аварийной схеме при отключенном 5-6 ТЭД";"Дополнительно отключить 4 ТЭД
(схема собирается до 20п)"
;;КМ9;"Отключить 3 ТЭД (схема собирается до 47п)
или 4 ТЭД (схема собирается до 47п)
или 3-4 ТЭД (схема собирается до 36п)
или 5-6 ТЭД (схема собирается до 36п)"
29;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ10;"Отключить 3 ТЭД (схема собирается до 47п)
или 4 ТЭД (схема собирается до 47п
или 1-2 ТЭД (схема собирается до 36п)
или 5-6 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п) или 4-6 ТЭД (схема собирается до 20п)"
;;"КМ 11
(резервный контактор, задействован в аварийной схеме при отключенном 4 ТЭД)";"Дополнительно отключить 5-6 ТЭД
(схема собирается до 20п)"
;;"КМ 11
(резервный контактор, задействован в аварийной схеме при отключенном
1-2 ТЭД";"Дополнительно отключить 3 ТЭД
(схема собирается до 20п)"
;;КМ13;"Отключить R6 (схема собирается до 31п)
или R7 (схема собирается до 30 п)
или R8 (схема собирается до 32 п)
или R9 (схема собирается до 32 п)
или 1-3 ТЭД (схема собирается до 20п) или 4-6 ТЭД (схема собирается до 20п)"
30;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ14;Отключить R7 (схема собирается до 30п)
;;КМ15;Отключить R7 (схема собирается до 30п)
;;КМ17;Отключить R8 (схема собирается до 32п)
;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ18;"Отключить R6 (схема собирается до 31п)
или R7 (схема собирается до 30 п)
или R8 (схема собирается до 32 п)
или 3 ТЭД (схема собирается до 29п)
или 4 ТЭД (схема собирается до 29п)
или 1-2 ТЭД (схема собирается до 33п)
или 5-6 ТЭД (схема собирается до 33п)
или 3-4 ТЭД (схема собирается до 33п)
или 1-3 ТЭД (схема собирается до 20п) или 4-6 ТЭД (схема собирается до 20п)"
;;КМ22;Отключить R9 (схема собирается до 32п)
31;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ23;Отключить R9 (схема собирается до 32п)
;;КМ25;Реостатный тормоз не применять
;;КМ26;Отключить R9 (схема собирается до 32п)
;;КМ29;Отключить М3-М4 о М3-М4
;;КМ32;Реостатный тормоз не применять
;;КМ33;Отключить R8 (схема собирается до 32п)
;;КМ34;"Следовать на ""С"" соединении с ОП
или
отключить 3 ТЭД (схема собирается до 47п)
или 4 ТЭД (схема собирается до 47п)
или 3-4 ТЭД (схема собирается до 36п)
или 1-3 ТЭД (схема собирается до 20п) или 4-6 ТЭД (схема собирается до 20п)"
;;"КМ35
(резервный контактор, задействован в аварийной схеме при отключенном 3 ТЭД)";"Дополнительно отключить 1-2 ТЭД
(схема собирается до 20п)"
;;"КМ35
(резервный контактор, задействован в аварийной схеме при отключенном 4 ТЭД)";"Дополнительно отключить 5-6 ТЭД
(схема собирается до 20п)"
32;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;"КМ35
(резервный контактор, задействован в аварийной схеме при отключенном 1-2 ТЭД)";"Дополнительно отключить 3 ТЭД
(схема собирается до 20п)"
;;"КМ35
(резервный контактор, задействован в аварийной схеме при отключенном 5-6 ТЭД)";"Дополнительно отключить 4 ТЭД
(схема собирается до 20п)"
;;"КМ35
(резервный контактор, задействован в аварийной схеме при отключенном 3-4 ТЭД)";"Следовать только на ""С"" соединении"
;;КМ36;"Следовать на ""С"" соединении с ОП или отключить 3 ТЭД (схема собирается до 32п) или 4 ТЭД (схема собирается до 32п)"
;;КМ37;Отключить 1-2 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п)
;;КМ40;Реостатный тормоз не применять
;;КМ41;Отключить R7 (схема собирается до 30п)
;;КМ45;Ослабление поля не применять
33;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ46;"При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП3 не применять или
отключить 1-2 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п)"
;;КМ47;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП2 не применять или отключить или 1-2 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п)
;;КМ48;Ослабление поля не применять
;;КМ49;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП3 не применять или отключить 5-6 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
34;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ50;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП2 не применять или отключить 5-6 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ51;Ослабление поля не применять
;;КМ52;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП3 не применять или отключить 4 ТЭД (схема собирается до 47п) или 3-4 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ53;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП2 не применять или отключить 3-4 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ54;Ослабление поля не применять
35;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ55;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП3 не применять или отключить 3-4 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п)
;;КМ56;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП2 не применять или отключить 3-4 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п)
;;КМ57;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП не применять или отключить 3 ТЭД (схема собирается до 47п) или 1-3 ТЭД (схема собирается до 20п)
36;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ58;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП не применять или отключить 4 ТЭД (схема собирается до 47п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ59;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП не применять или отключить 5-6 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ60;При постановке первой позиции и появлении аварийного сообщения о неполадке контактора, поставить вторую позицию, ОП не применять или отключить 1-2 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п)
;;КМ61;Реостатный тормоз не применять
37;Разбор схемы тяги с выдачей аварийного сообщения о неполадке контактора;КМ62;Отключить 4 ТЭД (схема собирается до 47п) или 1-2 ТЭД (схема собирается до 36п) или 5-6 ТЭД (схема собирается до 36п) или 3-4 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ63;Отключить R6 (схема собирается до 31п) или R7 (схема собирается до 30 п) или R8 (схема собирается до 32 п) или R9(схема собирается до 32 п) или 3 ТЭД (схема собирается до 47п) или 4 ТЭД (схема собирается до 47п) или 1-2 ТЭД (схема собирается до 36п) или 5-6 ТЭД (схема собирается до 36п) или 1-3 ТЭД (схема собирается до 20п) или 4-6 ТЭД (схема собирается до 20п)
;;КМ64;Отключить 5-6 ТЭД (схема собирается до 36п) или 4-6 ТЭД (схема собирается до 20п)
38;Свисток ЭПК не восстанавливается, отсутствует подача песка и звуковых сигналов, не собирается первая позиция;Отключен АЗВ SF27 (вспомогательные цепи) на БАУ и как следствие отключено реле К1;Восстановить АЗВ SF27 на БАУ
