к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах ТЭП70-БС;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
9;Нет связи.;Отсутствует связь между ДМ и Системой.;"Проверить АВ6.
Проверить крепление разъёмов на ВДУ1, ВДУ2.
Разъёмы на блоке питания БУ-МСУ.
Проверить включение АВ ""Питание МСУТ и датчиков"", проверить линию связи от стойки МСУТ до дисплейного модуля. Если неисправен один из ВДУ, путём снятия разъёмов определить неисправный ВДУ, после каждого снятия разъёма с ВДУ перезагружать систему путём отключения АВ6.
В шкафу МСУ-Т по светодиодной шкале:
1.Если светодиоды не горят - нет питания на МСУ-Т;
2.Если мерцает светодиод БПА или БПБ, то вероятнее всего вышел из строя предохранитель соответствующего блока питания, в этом случае перейти на резервный полукомплект."
10;Резервный топливный насос.;"Включен тумблер ТБ2 ""Резервный топливный насос"".";При исправности механического топливного насоса резервный (электрический) можно выключить соответствующим тумблером.
11;Отключен АВ4 фильтров дизеля.;"Отключен автомат АВ4 ""Мультициклонные фильтры дизеля"".";Включить АВ4, если он отключается после запуска дизеля - АВ4 отключить, из-за неисправности электродвигателя.
12;Отключен АВ3 фильтров ЦВС.;"Отключен автомат АВ3 ""Мультициклонные фильтры ЦВС"".";Включить АВ3, если он отключается после запуска дизеля - АВ3 отключить, из-за неисправности электродвигателя.
13;Защита калорифера кабины N 1.;Сработало реле РУ8 защиты электрокалорифера кабины N 1.;"Произошёл перегрев воздуха в канале нагнетания. Убедиться, что в первой кабине электродвигатель работает, переключить рычаг забора воздуха в положении ""с улицы"" и дать ему поработать без включения электрообогревателей для их остывания."
14;Защита калорифера кабины N 2.;Сработало реле РУ10 защиты калорифера кабины N 2.;"Произошёл перегрев воздуха в канале нагнетания. Убедиться, что во второй кабине электродвигатель работает, переключить рычаг забора воздуха в положение ""с улицы"" и дать ему поработать без включения электрообогревателей для их остывания."
15;Аварийная остановка тепловоза (ВКА).;Отсутствие сигнала с выключателя ВКА. Блокировка пуска.;Проверить положение соответствующих ключей на пульте управления в обеих кабинах.
16;Аварийная остановка дизеля Тб3.;Отсутствие сигнала с тумблера Тб3. Блокировка пуска.;Проверить положение соответствующих тумблеров на пульте управления (у помощника машиниста) в обеих кабинах -должны быть включены и опломбированы.
17;Нет связи с измерителем температуры (ТИ).;Нет связи между системой МСУТ и ТИ, нет реального отображения и контроля температуры теплоносителей и температуры выхлопных газов.;Проверить линию связи и наличие питания ТИ.
18;Нет связи с электронным регулятором дизеля (ЭРД).;Нет связи между системой МСУТ и ЭРД, запуск возможен только на ручном режиме. Тепловоз работает на 0 позиции.;Проверить линию связи проверкой соединения интерфейсных разъемов и наличие питания на блоке управления ЭРД и системой МСУТ.
"Произошла внезапная остановка дизеля, по показаниям дисплейного модуля определить сообщение
(После остановки дизеля немедленно включить ""Резервный топливный насос"" для предотвращения попадания воздуха в топливную систему)";;;
19;РДМ-4.;Малое давление масла в системе (менее 0,5кг/см2) - срабатывание защитного реле давления масла с остановкой дизеля.;Замерить уровень масла в картере дизеля. Запустить дизель. Давление масла контролируется на дисплейном модуле и по манометрам в дизельном помещении. При давлении масла в масляной системе менее 0,5кг/см2 дизель эксплуатировать запрещается.
20;Срабатывание предельного регулятора числа оборотов КВ дизеля.;Разрегулированы датчики тока (ИТ-ТЭД), что приводит к ложному срабатыванию противобоксовочной защиты, т.е. резкое снижение мощности и, как следствие увеличение оборотов дизеля. Дизель разгружается и обороты его достигают предельных величин.;Следовать на более низких позициях КМ.
21;Разброс по токам ТЭД >50%.;Неисправность тягового электродвигателя: отсутствие цепи, срыв шестерни привода и т.д.;"1. Выявить соответствующий ТЭД по дисплею (наименьшее показание тока).
2. Отключить данный ТЭД.
3. При большом весе поезда, не отключая ТЭД, включить тумблер ""Нагружение на водяные резисторы"". Внимание! При этом выводится из работы противобоксовочная защита."
Неисправности в работе дизеля;;;
22;Дизель глохнет при постановке 1-ой позиции, не набирает обороты, вибрация реек ТНВД.;Неисправность одного из датчиков частоты вращения коленчатого вала дизеля.;Проверить датчики оборотов коленчатого вала дизеля. В случае неисправности датчика оборотов дизеля переключить разъемы кабелей (поменять местами) на коробке ДГУ, задействовав в работу тем самым резервный датчик частоты вращения КВ дизеля.
23;Дизель работает неровно, дребезжание реек.;Неисправность датчика положения реек ТНВД.;"Проверить крепление штекерных разъёмов.
Если проверка разъёмов результата не дала, то отключаем датчик положения реек ТНВД, для чего необходимо: заглушить дизель, отключить автоматы: А6, А8. Снять разъём на коробке ДГУ, загрузить компьютер. В окне ""Параметры дизеля"" положение топливных реек (коды) высветится ""0"" запустить дизель. При этом мощность дизеля будет выстраиваться по селективной характеристике и произойдет ее уменьшение до 2250 кВт на 15 позиции."
24;Дизель не запускается.;"1. При неисправности обоих комплектов компьютера (сообщение на ДМ ""Нет связи"") схема тяги не соберётся.
2. При срабатывании АВ6 ""Питание БУ МСУ и датчиков"", когда причина срабатывания не установлена. Схема тяги не соберётся.
3. При выдаче аварийного сообщения: ""Нет связи с электронным регулятором"" - на обоих комплектах компьютера.
4. При неисправности топливоподкачивающего агрегата и невозможности устранить поломку.
5. Для пересылки в горячем состоянии при выше перечисленных неисправностях.";"При невозможности устранения неисправности, как исключение разрешается перейти на ручной запуск дизеля, и следовать с поездом порядком установленным ниже.
Ручной пуск производят в исключительных случаях, при невозможности запуска в автоматическом режиме.
Последовательность выполнения ручного запуска дизеля:
1. АВ6 ""Питание БУ МСУ и датчиков"" должен быть включен.
2. Отсоединить кабельную часть ШР14 и подсоединить её к ШР15.
3. На блоке питания и блоке управления электронного регулятора переключить тумблера ""Резервная работа"" и ""Резервное питание"" в положение ""Включено"".
4. Нажать кнопку ""Пуск дизеля"" и удерживать её до окончания запуска.
Порядок следования после ручного запуска:
1. АВ6 ""Питание БУ МСУ и датчиков"" включено.
2. АВ7 ""Питание пультовых дисплеев"" включено.
3. АВ8 ""Питание исполнительных устройств"" включено.
4. АВ1 ""Управление возбуждением"" включено.
5. Поставить 1-ю позицию. После появления нагрузки на стенке ВВК включить тумблер ""Прогрев 4-я позиция"". Контроллер перевести на 4-ю позицию. Тепловоз будет развивать мощность около 500 кВт.
6. Для дальнейшего увеличения нагрузки зайти в окно ""Диагностика""  ""Настройки""  ""Настройка регулятора"". Виртуальный тумблер поставить в положение ""Селективный уровень мощности"" при помощи стрелок свести курсор вниз, при помощи кнопки ""Е"" увеличивать мощность, не перегружая дизель, и не выходя из окна ""Настройка регулятора""."
Отсутствует зарядка аккумуляторной батареи;;;
25;Нет заряда аккумуляторной батареи. Не работает компрессор.;Неисправность регулятора напряжения цепей управления РНВГ.;"Проверить автомат РНВГ.
Напряжение АРН на всех позициях должно быть 110 (+2; - 1) В.
1. При срабатывании отнять штекер и подсоединить к резервному, включить автомат.
2. Если при подсоединении к резервному АРН - автомат АРН срабатывает, выключить все потребители стартер - генератора (компрессор, электрокалорифер, автоматы мультициклонных фильтров).
3. Проверить контактор КРН."
Аварийные сообщения на ДМ;;;
26;Задай направление движения.;Тумблер реверсора находится в нейтральном положении.;"Установить тумблер задатчика позиций в положение ""вперед"" или ""назад"" и набрать 1-ю позицию."
27;Отключены все ОМ.;Отключены тумблера ОМ1...ОМ6 на стенке ВВК.;"Поставить все тумблера на ВВК в положение ""Включено"" при нулевом положении задатчика и снова набрать 1-ю позицию."
28;Отключен ОМ (N). Уменьшена мощность.;Отключен один или несколько тумблеров ОМ.;"Поставить все тумблера на ВВК в положение ""Включено"" при нулевом положении задатчика и снова набрать 1-ю позицию."
29;2 катушки реверсора под питанием.;"Пробой силовых ключей.
Схема не соберется.";"Заглушить дизель, отключить АВ ""Питание МСУ и датчиков"" и АВ ""Исполнительные устройства"", определить и изъять неисправную плату СК из стойки МСУТ и перейти на резервный комплект, после чего включить автоматы и после загрузки системы произвести запуск дизеля."
30;Нет питания на катушках реверсора.;Обрыв электрической цепи, либо обрыв силового ключа платы СК в стойке МСУТ. Схема не соберется;Перейти на резервный комплект.
31;Переключение реверсора только на нулевой позиции.;В режиме тяги было изменено положение тумблера реверсора на контроллере. Сброс нагрузки (СН).;Установить нулевую позицию, тумблер реверсирования поставить в требуемое положение и набрать вновь позицию.
32;Блокировка двери N.;Отсутствие сигнала с блокировки двери ВВК. СН.;Проверить надлежащее закрытие всех дверей ВВК.
33;Сброс нагрузки РМ2.;Отсутствие сигнала с РМ2. Сброс нагрузки по защите тягового генератора и выпрямительной установки от внутренних коротких замыканий.;Осмотреть генератор и ВУ на наличие повреждений. При отсутствии видимых причин набрать позиции. Если РМ2 будет снова срабатывать, то до установления истинной причины тепловоз ставить под нагрузку запрещается.
34;Жалюзи БЖТ N.;В режиме ЭТ отсутствие сигнала с блокировок жалюзи.;Проверить достаточное нажатие и исправность концевых выключателей БЖТ.
35;Отключен ЭПК. Вас ждут дома!!;Выключен ключ ЭПК.;Включить КЛУБ-У и через 30 сек. повернуть ключ ЭПК.
36;Неисправен предохранитель ВУ1.;Наличие сигнала с предохранителя ВУ.;Продолжать движение, не допуская перегрузок.
37;Неисправны 2 предохранителя ВУ1.;Наличие сигнала с 2-х предохранителей. Сброс нагрузки.;"1.Заглушить дизель, отключить автомат А-6 ""Питание МСУТ и датчиков"".
2. Перезагрузить компьютер и обычным порядком запустить дизель.
3. Если перегорел предохранитель ВУ, то тепловоз повезёт, но мощность будет меньше на 1/6.
Заменить предохранитель."
38;Аварийная остановка тепловоза по КЛУБ-У (РУ9).;Постоянный свисток ЭПК. Нет нагрузки. Потеряло питание РУ9.;"Проверить контакт в КБ1 6-той контактный элемент, 3 контакт РЦ1, микропереключатель в контроллере крана машиниста усл.395.
Выход из положения при неисправности КЛУБ - У:
1. Перекрыть краны к ЭПК находящиеся под полами у входа в кабину управления.
2. Включить тумблер ""Шунтировка ЭПК""
3. Включить ЭПК."
39;Экстренное торможение РДТ3.;Наличие сигнала с РДТ3. Сброс нагрузки.;Поставь ручку крана машиниста N 395 во 2 положение
40;Сначала откачай воздух.;Сброс нагрузки при давлении в ГР менее 5 кг/см2.;Дождись, пока компрессор накачает воздух в пневмосистему до 9 кг/см2.
41;Обрыв цепи ТЭД N.;Сброс нагрузки при всех включенных ОМ и КП, на одном ТЭД (N) ток менее 20А при суммарном токе остальных ТЭД более 600А.;"При выдаче сообщения ""Обрыв в цепи ТЭД N..."" выключить этот ТЭД, проверить давление в цепях управления, осмотреть сам ТЭД в доступных местах (на стоянке) на наличие признаков возгорания."
42;"Земля в ""+"" или в ""-"" силовой цепи.";Короткое замыкание плюсовой или минусовой силовой цепи на корпус тепловоза. Сброс нагрузки.;"При КЗ в силовых цепях - установить КТМ на 1 позицию, если защита не сработает, то место нарушения изоляции в ""минусе"" силовых цепей. В этом случае осмотреть ВУ, провода. Если защита сработает и имеет место замыкание на корпус в ""плюсе"" силовых цепей, то в этом случае выключить все ОМ1...ОМ6 и установить КТМ на высокие позиции. Если РЗ не сработает, то КЗ находится в плюсовых цепях ТЭД. Тогда включить все ТЭД и поочередным их выключением выявить неисправный. Если защита сработает и при всех выключенных ТЭД, то место КЗ находится в плюсовых цепях между ВУ, поездными контакторами или в тормозных резисторах. В этом случае осмотреть ВУ, провода, шины, тормозные резисторы. Если же повреждение не обнаружится, тогда выключить РЗ соответствующим виртуальным тумблером на дисплейном модуле и следовать с особой бдительностью и помнить, что такой режим является аварийным, тепловоз следует до основного или оборотного депо."
43;"Сопротивление в ""+"" или ""-"" силовой цепи <500 кОм.";При снижении сопротивления в силовой цепи по плюсу или по минусу.;"При срабатывании реле заземления из-за понижения сопротивления силовой цепи, исключив реальное КЗ в электрооборудовании тепловоза на дисплее ""Реле земли"" выключить соответствующий виртуальный тумблер. После этого усилить контроль за силовыми цепями тепловоза, обратив особое внимание на выпрямительную установку."
44;Защита по РМ 1.;При превышении тока на выходе ВУ более 7800А. СН.;Если сработала защита тягового генератора АГ1 и выпрямительной установки от токов внешнего короткого замыкания, то необходимо тщательно осмотреть генератор и ВУ. Без установления причины нагружать тепловоз запрещается.
45;Нет возбуждения тягового генератора;"На ДМ окно ""Движение"" режим ""тяга"", тепловоз не нагружается и нет ни каких аварийных сообщений.";"Это говорит о том, что схема управления собралась, но нет возбуждения главного генератора.
Перейти на резервный полукомплект компьютера.
При выдаче на дисплее аварийного сообщения: ""Нет самовозбуждения"" или ""Нет связи с БВГ1 или БВГ2"" на картинке ""Система возбуждения"" посмотреть величину напряжения возбуждения. Если напряжение возбуждения менее 50В - кратковременно отключить автоматы БВГ1 и БВГ2 на стенке ВВК. Эту операцию необходимо проделать в любом случае, когда тепловоз не нагружается, а на мониторе режим ""тяга"". При положительном результате компьютер выдаст сообщение ""Самовозбуждение состоялось"". Если этого не произошло, предварительно заглушив дизель, перейти на резервный комплект."
46;Мощность 1/2 номинала, 2/3 номинала, 5/6 номинала.;При отключении 3ТЭД, 2ТЭД, 1ТЭД.;Работа с отключением одного, двух или трех ТЭД
47;Аварийная остановка дизеля.;При выключении тумблера Тб3 в любой кабине. Останов дизеля.;Тумблера должны быть включены и опломбированы.
48;Превышение предельной скорости вращения ТЭД.;Сброс нагрузки при превышении скорости вращения одного из ТЭД более 180 км/ч. Срыв шестерни ТЭД.;Сбросить позиции и набраться вновь. Если защита опять сработает - определить неисправный ТЭД и произвести его отключение соответствующим ОМ (на 0 позиции).
Неисправности системы МСУТ;;;
49;Неисправность дисплейного модуля - дисплей не светится.;"Неисправность питания.
Неисправен ДМ.";"Проверить включение АВ ""Дисплейные модули"" на ВВК.
Проверить контакты разъединителя минусовых цепей управления РЦ2 и контакты разъема 1;3 на ДМ, проверить также крепление интерфейсного кабеля."
;"Неисправность питания блока БУ - мерцает индикатор БП или БПБ.
На БПР (в стойке) мерцают один или несколько индикаторов.
Мерцает индикатор БПД.";Неисправность блоков питания, модулей соответствующего полукомплекта.;"Определить неисправный блок.
Проверить предохранитель, неисправный заменить."
;;Неисправность блока питания датчиков БПД 1.;
;"Индикатор БПА или БПБ горят постоянно. На дисплее надпись ""Нет связи"".";Неправильное подключение или неисправность компьютера.;"Проверьте подключение БПД 1 и предохранитель, неисправный заменить.
Проверить кабель связи компьютера с дисплейным модулем.
Проверить подключение компьютера к системе.
Проверить работу 2-го полукомплекта. В случае невозможности восстановить работу системы, перейти на ручной запуск (схема тяги собираться не будет)."
"Переход на резервный полукомплект на ТЭП70БС:
1. Произвести остановку дизеля нажатием КН2 ""Остановка дизеля"".
2. Отключить:
АВ 1 ""Питание БВГ 1"".
АВ 2 ""Питание БВГ 2"".
АВ 6 ""Питание БУ и датчиков"".
АВ 8 ""Питание исполнительных устройств"".
3. Переключением тумблера перевести управление на резервный полукомплект.
4. Произвести включение автоматических выключателей ""Пуск дизеля"", дальнейшее управление выполнять в установленном порядке.";;;
;;;
