к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ11 и ВЛ11М;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
;;Не включен автомат В30.;Включить автомат В30.
;;Не включено устройство автоматической блокировки тормозов АБТ (367).;Включить устройство автоматической блокировки тормозов (АБТ) (367).
;;Рукоятки КМЭ не находятся на нулевых позициях.;Рукоятки КМЭ установить на нулевые позиции.
;;Неисправны контакты РТ33.;Восстановить (зачистить) контакты РТ33.
;;;"Если причина не выявлена, то на ЦКР кратковременно соединить Э301(1-2) - Э402(2-10) при включенной кнопке БВ. Выключить кнопки ""низкая скорость"", ""высокая скорость"" вентиляторов."
8;"На кнопочном выключателе пульта машиниста кнопка ""БВ"" включена. При включении кнопки ""Возврат БВ"", БВ не включается.";Неисправна цепь удержания БВ.;"1. Проверить включение автомата В6 на пульте помощника машиниста.
2. Проверить включение кнопки БВ на ЩПР.
3.Проверить включение автомата В11 ""Дифреле"" на панели управления.
Включить БВ на исправных секциях и продолжить движение.
- АЗВ на пульте пом. машиниста кабины управления (крайний левый) - Кнопки ""БВ"" на ЩПР секций должны быть включены. - АЗВ ""Диф. реле"" на АПУ (крайний правый).
Если причина не выявлена, на ЦКР секции, где нет цепи удержания, соединить Э404(2-11)-408(7-3). БВ включить обычным порядком, убедиться во включенном положении реле РП22 запуском вспомогательных машин, при необходимости вкл. РП22 принудительно или подачей постороннего питания на провод 417 (например Э301(1-2) 417(7-14)"
Вспомогательные машины;;;
9;"Отключается БВ секции ""А"" с загоранием сигнальных ламп ""БВ"" и РдФ ""ВМ"" при включенных вентиляторах на низкой скорости.";К.З. в одном из электродвигателей вентиляторов.;"Отключить кнопку неисправного МВ на ЩПР.
Включить МВ на высокую скорость вращения.
В секции, где отключены вентиляторы, отключить на пульте У11 ТЭД переключателями В1 и В2."
10;При поднятом токоприемнике и включенном БВ двигатели вентиляторов не запускаются.;Сработал автомат В23 вспомогательных машин на пульте помощника машиниста.;"Восстановить автомат В23 в рабочее положение.
При повторном отключении автомата В23 включить МВ на высокую скорость.
В секции, где отключен автомат В23, отключить на пульте У11 ТЭД переключателями В1 и В2."
11;При поднятом токоприемнике и включенном БВ двигатели вентиляторов не запускаются на высокой скорости вращения на одной из секций.;Не развернут переключатель ПкВ на высокую скорость.;Вручную перевести ПкВ на высокую скорость.
;;"Отключена кнопка ""МВ"" на ЩПР.";"Включить кнопку ""МВ"" на ЩПР."
12;"При включении кнопки ""Компрессоры"" отключает БВ в одной из секций с загоранием сигнальной лампы ""ВМ"".";Неисправность контактора К55 или двигателя компрессора, кабелей 213, 214, резистора R22.;"В секции, где отключает БВ, на ЩПР отключить кнопку ""Компрессор"".
Работа с исправными компрессорами."
13;Не работают компрессоры в автоматическом режиме.;Неисправность регулятора давления РгД1 или прорыв его мембраны.;"1. В рабочей кабине управления перекрыть кран к регулятору давления РгД1, управление компрессорами вручную кнопкой ""Компрессоры"" на пульте машиниста поддерживая давление в ГР в заданных пределах.
2. В передней кабине выключить, в задней кабине включить кнопку ""Компрессоры"" на пульте машиниста. Работа компрессоров от регулятора давления задней секции."
Неисправности силовой цепи тяговых двигателей;;;
14;"Отключается БВ с загоранием сигнальных ламп на пульте машиниста ""БВ"" и РдФ ""ТД"". Повреждение тяговых двигателей М1 - М2 секции.";К.З.;"При нулевом положении реверсивной рукоятки перевести переключатель В1 на пульте У11 в аварийное положение. Работа электровоза на исправных ТЭД:
С, П соединение ТЭД - 6 (10) ТЭД
СП соединение ТЭД - 4 (8) ТЭД"
15;"Отключается БВ с загоранием сигнальных ламп на пульте машиниста ""БВ"" и РдФ ""ТД"". Повреждение тяговых двигателей М3 - М4 секции.";К.З.;"При нулевом положении реверсивной рукоятки перевести переключатель В2 на пульте У11 в аварийное положение. Работа электровоза на исправных ТЭД:
С, П соединение ТЭД - 6 (10) ТЭД
СП соединение ТЭД - 4 (8) ТЭД"
16;"Отключается БВ с загоранием сигнальных ламп на пульте машиниста ""БВ"" и РдФ ""ТД"". Повреждение пусковых резисторов любой секции.";К.З. пусковых резисторов.;"На ЩПР неисправной секции выключить кнопку ""БВ"", следовать на исправных секциях."
17;В положении МС реверсивной рукоятки и постановки первой позиции не собирается схема тяги.;"Вал реверсора ПкР какой - либо секции не установился в положение выбранного направления.
Не включился какой либо ЛК. Нет питания в проводах 501, 502, 503, 505.";"Проверить положение тормозной рукоятки контроллера (ослабление поля) и сигнальной лампы ТМ.
1. Реверсивную рукоятку установить в М положение, поставить 1-ю позицию.
2. Определить по амперметру ""Якорь 1-3"" на пульте машиниста в какой секции вал ПкР не устанавливается в нужное положение.
3. В ВВК, нажать на шток (грибок) вентиля, установить вал ПкР в положение, соответствующее выбранному направлению движения.
4. Нажать кнопку ""Песок"", убедиться по подаче песка, что валы ПкР всех секций установлены правильно.
5. Проверить включение линейных контакторов К1, К18, К19 в каждой секции (при выявлении не включившегося ЛК, включить принудительно.
6. Проверить питание на проводах:
501 - по развороту вала ПКГ, при постановке РСР в положение ""Вперед-П""
502-по развороту вала ПкС при переводе РСР в положение ""М"" или ""МС"".
503 - при включенных ""БВ"" должны работать вентиляторы.
505 - по развороту вала ПкД при переводе их в положение ""Аварийное"" и обратно.
7. Для следования в МС - С - соединение поставить перемычку Э583-604, 589-земля.
8. Для следования в М - СП-соединение поставить перемучку Э587-604, 589-земля
Следовать на всех соединения ТЭД."
18;При постановке 2-й позиции КМЭ происходит разбор схемы тяги.;Нарушение цепи вспомогательного контакта контактора К1 в проводах 589 - 500.;Поставить перемычку 589 - земля
;;Обрыв обмотки возбуждения одного из ТЭД.;При нулевом положении реверсивной рукоятки перевести переключатель В1 на пульте У11 в аварийное положение. Работа электровоза на исправных ТЭД.
19;"В положении МС реверсивной рукоятки и постановки первой позиции схема электровоза исправна. При переводе реверсивной рукоятки в положение ""М"", не собирается схема в секции ""А"".";"Нарушение цепи вспомогательного контакта переключателя ПкД2 в проводах 604 - 605 в цепи линейного контактора К19.
Не включилось реле РВ6, РП20, РП28 или не выключилось реле РП23, РП26.
Не развернулся ПкС.
Обрыв силовой цепи ТЭД.";"При нулевом положении реверсивной рукоятки несколько раз переключить отключатель В2 на пульте У11 в аварийное и исходное положение.
При невозможности устранения неисправности следовать на ""С"" соединении ТЭД или на ""СП"" и ""П"" соединениях исправной секции. На секции, где не собирается схема тяги, через сетку ВВК на первой позиции проверить положение реле РВ6, РП20, РП28 включено, а РП23 и РП26 выключено, если их положение не соответствует привести их в это положение.
Проверить положение ПкС, при необходимости ПкС перевести в исходное положение.
Произвести прозвонку силовой цепи ТЭД если с первой позиции загорается лампа ""РН"" -обрыв в силовой цепи ТЭД, если загорелась лампа ""РБ""- обрыв в обмотке якоря одного из ТЭД(на пульте У11 отключить неисправный ТЭД)."
;;;
