к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС2Т;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
;;КЗ в цепи 3-го ТЭД.;"Реверсор 1-2-го ТЭД поставить в нулевое положение, аварийный переключатель N 307 поставить в положение А-2, защита срабатывает.
На 046 панели - изъять нож 61, а нож 62 переставить в клемму 66. Зафиксировать нижний вал реверсора 3 ТЭД в нулевом положении механической защёлкой, а переключатель N 307 перевести в положение А1 хвостовиком вниз. Переключатель N 520 противобуксовочного устройства переключить в положение ""аварийное"".
Следовать на соединениях ""С"" (пять ТЭД) и ""СП"" (три ТЭД)."
;;КЗ в цепи 1-2-го ТЭД.;"Реверсор 1-2-го ТЭД поставить в нулевое положение, аварийный переключатель N 307 поставить в положение А-2, защита не срабатывает.
На 046 панели - нож 61 переставить в клемму 65, а нож 62 изъять. Зафиксировать верхний вал реверсора 1-2 ТЭД в нулевом положении механической защёлкой, а переключатель N 307 перевести в положение А2 хвостовиком вверх. Переключатель N 520 противобуксовочного устройства переключить в положение ""аварийное"".
Следовать на соединениях ""С"" (четыре ТЭД) и ""СП"" (три ТЭД)."
Силовая цепь вспомогательных машин;;;
5;Срабатывает БВ с выпадением ДР-201.;КЗ в цепи вспомогательных машин.;Выключить выключатели МК, МВ, отопления рабочей и нерабочей кабины.
;;;После включения БВ, последовательно включать вспомогательные машины с целью определения неисправной цепи.
;;КЗ в 1-ом МК.;"При включении 1-го МК, защита срабатывает.
Следовать на 2-ом МК."
;;КЗ во 2-ом МК.;"При включении 2-го МК, защита срабатывает.
Следовать на 1-ом МК."
;;КЗ в 1-ом МВ.;"Изъять на панели N 200 нож N 2, защита срабатывает.
На N 200 панели изъять ножи NN 1, 2, 3, 4 и поставить нож N 5.
Следовать на 2-ом МВ."
;;КЗ во 2-ом МВ.;"Изъять на панели N 200 нож N 2, защита не срабатывает.
На 200 панели изъять ножи NN 1, 2, 3, 4 и поставить нож N 6.
Следовать на 1-ом МВ."
6;Не включаются МК, МВ.;Неисправность в цепи МК, МВ.;"Убедиться в горизонтальном положении сигнализатора отопления поезда.
При срабатывании реле напряжения N 110, снизить скорость до 70км/час, опустить и поднять токоприемник.
Убедиться в исправном состоянии БВ.
КМ набрать 1-ю позицию.
Проверить правильность установки на 200 панели сдвоенного ножа.
Сдвоенный нож должен быть установлен в клеймах N 7-9.
Проверить состояние ДР-201.
Визуально осмотреть ДР-201."
7;Не включаются МК.;Неисправность в цепи 1-го МК.;"Осмотреть 25А высоковольтную вставку N 202.
Заменить неисправную 25А высоковольтную вставку N 202."
;;;"Проверить включение контактора N 206.
При не включении контактора N 206, следовать на 2-ом МК."
;;Неисправность в цепи 2-го МК.;"Осмотреть 25А высоковольтную вставку N 203.
Заменить неисправную 25А высоковольтную вставку N 203."
;;;"Проверить включение контактора N 208.
При не включении контактора N 208, следовать на 1-ом МК."
8;Не включаются МВ.;Неисправность в цепи МВ.;"Проверить включение контакторов N 210, N 211.
При не включении контактора N 210, переставить сдвоенный нож N 7-9 в клейму 8-10"
;;;"Осмотреть 40А высоковольтную вставку N 204.
Заменить неисправную 40А высоковольтную вставку N 204."
;;;"Проверить правильность установки на 200 панели ножей N 1,2,3,4.
Визуально убедиться в правильности установки на 200 панели ножей N 1,2,3,4."
;;;"Собрать аварийную схему без 1-го МВ.
На N 200 панели изъять ножи NN 1,2,3,4 и поставить нож N 5.
Следовать на 2-ом МВ."
;;;"Собрать аварийную схему без 2-го МВ.
На 200 панели изъять ножи NN 1,2,3,4 и поставить нож N 6.
Следовать на 1-ом МВ."
9;Не включается БВ, МК и МВ не запускаются.;Низкое напряжение на АБ.;"На 200 панели сдоенный нож N 7-8 переставить в клеммы 9-10, включатель токоприёмника поставить в положение ""токоприёмник поднят"" и нажать на шток вентиля токоприёмника."
Низковольтные цепи;;;
10;Токоприемники не поднимаются.;Нет воздуха в резервуаре токоприемника.;Наполнить резервуар токоприемника при помощи вспомогательных компрессоров.
;;Не закрыты двери, сетки ВВК.;Плотно закрыть двери ВВК, закрепить сетки ВВК.
;;"Нет контакта в рукоятках ""Стоп"" в обеих кабинах.";"Установить рукоятки ""СТОП"" в рабочее положение."
;;Нет цепи АЗВ 335.;Выключить и снова включить АЗВ 335.
;;Не разворачивается разъединитель (заземлитель).;Выключить и снова включить АЗВ 334. Переключить разъединитель (заземлитель) вручную.
11;Не включается БВ.;"ГК-045 не в ""0"" положении.";"Визуально убедиться, что ГК-045 находиться в ""0"" положении."
;;Нет воздуха в резервуаре управления N 903.;Проверить по манометру цепей управления N 971, наличие воздуха в резервуаре управления N 903. Открыть кран N 989.
;;Нет цепи АЗВ 335.;Выключить и снова включить АЗВ 335.
;;Сработала блинкерная защита N 575.;Восстановить блинкерную защиту N 575 кнопкой N 576.
12;Не работают МК.;Нет цепи автоматического включения МК.;"Проверить работу компрессоров в положении ""ручное""."
;;Нет цепи АЗВ 403.;Выключить и снова включить 403 АЗВ.
;;Обрыв в силовой цепи включения контакторов N 206, N 208.;"Проверить высоковольтные предохранители 202 и 203. Неисправные заменить.
Убедиться во включении контакторов N 206 и N 208."
;;Нет контакта в блокировках тепловых реле N 230, N 231.;При срабатывании тепловых реле 230 и 231 восстановить их.
13;Не работают МВ.;Нет цепи АЗВ 404.;Выключить и снова включить 404 АЗВ.
;;Обрыв в силовой цепи включения контакторов N 210, N 211.;"Проверить высоковольтный предохранитель 204. Неисправный заменить.
Убедиться во включении контакторов N 210 и N 211."
;;Нет контакта в блокировках теплового реле N 232.;При срабатывании теплового реле 232 восстановить его.
14;Не открываются жалюзи ПТС.;Нет воздуха в резервуаре управления N 903.;Проверить по манометру цепей управления N 971, наличие воздуха в резервуаре управления N 903. Открыть кран N 989.
;;Нет цепи АЗВ 335.;Выключить и снова включить АЗВ 335.
;;Нет питания на вентилях открытия жалюзей.;Открыть жалюзи принудительно при помощи специальных болтов.
15;Отсутствует набор позиций от КМ.;Нет воздуха на ПК-303.;"Проверить по манометру цепей управления N 971, наличие воздуха в резервуаре управления N 903.
Убедиться, что кран N 1017 у ПК-303 находиться в открытом положении."
;;Нет цепи набора позиций от КМ.;"Проверить включение переключателя ВУ-305(306) в рабочей кабине, выключение переключателя ВУ-305(306) в нерабочей кабине, управление от маневрового пульта.
Переключатель ВУ-305(306) поставить в аварийное положение, управлять набором и сбросом позиций переключателем 355(356)."
16;Отсутствует набор позиций от переключателя 355(356).;Нет цепи АЗВ 310.;Выключить и снова включить АЗВ 310.
;;Нет цепи набора позиций от переключателя 355(356).;"Проверить положение валов реверсоров 070(071), переключателей аварийного режима 307(308).
Перейти на управление ПК-303 вручную, с помощью маховика."
17;При наборе и сбросе позиций ПК-303 происходит задержки, вплоть до полной остановки на четных и нечетных позициях.;Пробой или обрыв в цепи диода 480 (правого или левого).;Заменить неисправный на 350 или 351 диод.
18;При наборе или сбросе, ГК-045 уходит на другие соединения, происходит несинхронизация контроллеров.;Пробой или обрыв в цепи диода 481 (правого или левого).;Заменить неисправный на 350 или 351 диод.
Неисправности низковольтных цепей из-за обрыва или пробоя диодов;;;
19;"При поднятых токоприемниках восстанавливается БВ, ГК-045 не стоит в ""0""-положении.";Пробой диода 350.;Заменить неисправный на 351 диод.
20;Не удерживается БВ во включенном положении при выключенных кнопках токоприемника.;Обрыв в цепи диода 350.;Заменить неисправный на 351 диод.
21;При включении заземлителя N 005 срабатывает 334 АЗВ.;Пробой диода 351.;Заменить неисправный на 350 диод.
22;Отключает БВ при несинхронизации ПК-303 и ГК-045.;Пробой диода 386.;Заменить неисправный на 350 или 351 диод.
23;"Не горит лампа несинхронизации при нахождении ПК-303 в ""0""-положении, ГК-045 на рабочих позициях, а также при неотключении контактора шунтировки поля.";Обрыв в цепи диода 386.;Заменить неисправный на 350 или 351 диод.
24;"При сбросе кнопкой ""СП-С"" ПК-303 идет до ""0""-позиции не останавливаясь на ходовых, при постановке КМ в положение ""+1"", ПК-303 остается в ""0""-положении.";Пробой диода 483.;Заменить неисправный на 350 или 351 диод.
25;"Нет автоматического набора позиций при постановке КМ в положение ""+"".";Обрыв в цепи диода 483.;Заменить неисправный на 350 или 351 диод.
26;"При подачи песка ""вручную"", если переключатель 530(531) стоит в положении ""автоматическая подача песка"", горит лампа боксования и работает зуммер.";Пробой диода 544.;Заменить неисправный на 350 или 351 диод.
27;При срабатывании 510 блока (ПБЗ) нет автоматической подачи песка.;Обрыв в цепи диода 544.;Заменить неисправный на 350 или 351 диод.
;;;
