к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС-8;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
7;Повреждение двигателя вентилятора сх. N 224 (охлаждает ТЭД, ВУ, СР сопротивление ОП 2-ой тележки).;Неисправен мотор вентилятор сх. N 224;Необходимо в шкафу вспомогательной ВУ вынуть предохранитель сх N F23 поврежденного вентилятора сх. N 224 и отключить ТЭД 3,4 или 5,6 данной тележки.
8;Не работают масляные насосы трансформатора.;"Перегорел предохранитель сх. N 204; сх. N 266; сх. N 267.";"Сменить предохранитель сх. N 204; сх.
N 266; сх. N 267."
9;Повреждение двигателя вентилятора сх. N 222 (охлаждает масло тягового трансформатора).;Неисправен двигатель вентилятора сх. N 222;Перейти на работу одной секции.
10;Неисправен УНИПУЛЬС.;Повреждение отдельных импульсивных преобразователей или блоков их управления УНИПУЛЬС.;"1. Отключить главный выключатель.
2. Опустить токоприемник.
3. Переключатель сх. N 221 из положения ""Н"" - нормальный режим, перевести в положение ""АР"" - аварийный режим."
11;Прекращение набора позиций без срабатывания защиты.;При рассогласований положений переключателя ступеней (ПС) тягового трансформатора.;"Аварийное управление ПС одной секции с помощью переключателя сх. N 347.
Переключатель сх. N 347 кратковременно установить в одно из положений:
""I"" - повреждение задней секции (против часовой стрелки)
""II"" - повреждение передней секции (по часовой стрелки)
Устранив рассогласования, переключатель установить в положение ""О"" - основное."
12;Отсутствие набора или сброса позиций переключателя ступеней тягового трансформатора ни от контроллера машиниста, ни от кнопок маневрового пульта.;Неисправность электрической цепи набора, сброса позиций.;"Применить аварийное управление переключателем ступеней с помощью кулачкового переключателя ПС сх. N 331-1 (331-2) на пульте машиниста, для чего необходимо сделать следующее:
а) выключить АЗВ сх. N 349-1 сх. N (349-2)
б) включить АЗВ сх. N 359-1 (359-2)
в) переключатель 330-1 (330-2) находится в шкафу управления возле компрессора включить соответственно:
- при управлении из кабины 1:
1-ой секцией 330-1 - в положение 1
2-ой секцией 330-2 - в положение 2
- при управлении из кабины 2:
2-ой секцией 330-2 - в положение 1
1-ой секцией 330-1 - в положение 2
- управление обеими секциями из кабины 1:
330-1 в положение ""1""
330-2 в положение ""2""
- управление обеими секциями из кабины 2:
330-1 в положение ""2""
330-2 в положение ""1""
Набор и сброс позиций переключателя ступеней трансформатора выполнить переключателем 331 (находится на пульте машиниста) путем поворота рукоятки на 1800С по часовой стрелке при наборе одной позиции и против часовой стрелки при сбросе позиций."
13;Прекращение набора позиций одной из секций.;Неисправность воздухораспределителя ПС или вентиля ПС.;Следовать на исправной секции.
14;Компрессор не включается с пульта;"Сигнальные лампы ""дефект компрессора не горят"". Неисправность в низковольтных цепях.";"Включить АЗВ сх. N 407-1; сх. N 407-2."
;;"Перегорел предохранитель в силовой цепи сх. N 220-5 на 125А.
Определяется по загоранию сигнальной лампы ""Н4"" УНИПУЛЬСа.";Сменить перегоревший предохранитель сх. N 220-5 на 125А.
;;Вышла из строя кассета импульсного преобразователя.;"Выключить ГВ, опустить пантограф, переключатель сх. N 221 перевести в положение ""аварийно""."
15;"Компрессор секции 1, секции 2 не включается с пульта. Переключатель сх. N 221 установлен в положение ""аварийно"".";Неисправен предохранитель сх. N 285.;Сменить предохранитель сх. N 285.
16;Отсутствует зарядка аккумуляторной батареи.;Отключение стабилизатора из работы.;"1. Для восстановления работы стабилизатора нажать кнопку ""Т"" на лицевой панели.
Если после этого стабилизатор не подключился, нужно:
2. Остановиться, выключить ГВ и опустить пантограф;
3. Поменять предохранитель, изъяв из клеммы 1-2, поставив в клеммы 3-4.(этим мы производим переключение 842-1, 842-2 переключатели на аварийные режим работы).
4. В 201-м шкафу изъять предохранитель сх.
N 203. Это необходимо для того, чтобы не было большого напряжения, так как происходит параллельная работа потребителей обеих секций и напряжение при этом суммируется."
17;Вышла из строя аккумуляторная батарея сек. N 1 и зарядный агрегат сх. N 271-2 на секции N 2.;Неисправна АБ, зарядный агрегат.;"1. Отключить ГВ, опустить токоприемник.
2. Отключить АЗВ сх. N 801-1 секции 1 ввиду повреждения АБ.
3. На секции N 2, переключателе сх. N 842-2 переставить предохранитель в контакты 3-4."
18;Вышла из строя аккумуляторная батарея секции N 2 и зарядный агрегат сх. N 271-1 секции N 1.;Неисправна АБ, зарядный агрегат.;"1. Отключить ГВ, опустить токоприемник.
2. Отключить АЗВ сх. N 801-2 секции 2 ввиду повреждения АБ.
3. На секции N 1, переключателе сх. N 842-1 переставить предохранитель в контакты 3-4."
19;При включении или при следовании с включенным контактором отопления поезда происходит отключение главного выключателя, из-за срабатывания реле сх. N 701В блока защит сх. N 850.;Короткое замыкание электрической цепи отопления поезда на электровозе.;Отопление поезда производить от исправной секции. Неисправную секцию отключить.
20;Самопроизвольный сбор схемы реостатного тормоза.;Неисправность электрической цепи реостатного тормоза.;"1. На пневмопанели перекрыть кран сх. N 1019-1 и сх. N 1019-2.
2. В шкафах БСА-1, БСА-2 перевести переключатель сх. N 071 в положение тяга."
;;;
