к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС7;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
6;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 015.;КЗ в силовой цепи ТЭД;"Осмотреть ВВК на наличие дыма. Восстановить блинкер, включить БВ и дать первую позицию. Повторное отключение БВ 021-1 с первой позиции укажет на КЗ в силовой цепи ТЭД. Переключателем 312 отключить секцию 1 и дать первую позицию:
- защита не сработала - КЗ на секции 1-продолжать движение.
- защита сработала - КЗ на секции 2. Отключить секцию 2 переключателем 312 - продолжить движение.
На остановке переключатель 312 вернуть в ""НЭ"". Поочередным переключением переключателей ОД 071, ОД 072 в аварийное положение (вниз) на неисправной секции определить пару ТЭД с КЗ. Следовать далее на шести ТЭД.
При наличии КЗ в ЛК или РК исключить их из работы отключением неисправной секции переключателем 312 (Внимание! При КЗ в ЛК 029-1 или 040-1 собирать аварийную схему автономной работы секции 2. При КЗ в ЛК 057-2 или 059-2 собирать аварийную схему автономной работы секции 1)."
7;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 015 при применении ослабления поля.;КЗ в силовой цепи ОП или контакторах ОП.;Ослабление поля ТЭД не применять.
8;При включении БВ, один из БВ 021-1 или 021-2 отключается в момент включения током уставки или со срабатыванием блинкерных сигнализаторов 015, 201, 700.;КЗ в общих силовых цепях неисправной секции.;"Собрать схему автономной работы исправной секции для чего:
- перекрыть кран 1017 к БВ неисправной секции;
- переключателем 312 отключить неисправную секцию
На станции или удобном профиле остановиться и дополнительно для запуска МВ секции N 1:
- удалить предохранитель 216-1;
- сместить нож 226-1 влево;
- при управлении кабиной N 1, реле 400-1 включить принудительно;
- МВ запускать только на высокую скорость.
Для запуска МВ секции N 2:
- удалить предохранители 216-1, 209-1;
- переставить шинку 223-2 в аварийное положение вертикально;
- в свободный зажим 209-2 поставить предохранитель на 40 А;
- при управлении кабиной N 1, реле 400-1 включить принудительно;
- МВ запускать только на высокую скорость."
При взятии поезда с места на аварийной схеме ТЭД на подъемах до 8 - допускается не более четырех вагонов на один исправный ТЭД;;;
9;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 067, 068.;Сработало реле боксования или не открылись жалюзи;"Восстановить блинкер 067, 068. Включить БВ. Дать первую позицию:
а) БВ отключило через 6 сек. после набора первой позиции без признаков боксования.
Необходимо убедиться в открытии всасывающих и выхлопных жалюзи на обеих секциях по выходу штоков пневмоприводов.
Одна из жалюзи закрыта - открыть ее принудительно.
Все жалюзи открыты - включить принудительно реле 361 неисправной секции.
б) БВ отключает с позиции 1, 2, 3, 4... с признаками боксования;
- убедиться в исправности карданных приводов и тяговых редукторов, при их исправности отключить исправную секцию переключателем 312."
10;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 112.;Повышенное напряжение в КС.;Кратковременно опустить рабочий токоприемник (скорость не более 70 км/ч) и восстановить блинкер. Сообщить энергодиспетчеру о повышенном напряжении в контактной сети.
11;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 843, 844.;Неисправен двигатель охлаждения ПТС или нарушение цепи питания РВ 829 или сработал тепловой датчик 843, 844.;"а) При нажатии кнопки 836 блинкер восстанавливается, а при наборе первой позиции - срабатывает через 6 сек.
Поочередным выводом ТЭД на неисправной секции отключить неисправный двигатель охлаждения ПТС;
б) При нажатии кнопки 836 блинкер 843, 844 не восстанавливается:
- отключить неисправную секцию переключателем 312
- переставить аварийный нож 018-2 в аварийное положение (вниз).
- если блинкер ""выпал"" в секции N 2 - заказать вспомогательный локомотив.
- если блинкер выпал в секции N 1 - выключить переключателем 312 секцию N 1. Следовать без МВ и на одном МК-2. В зависимости от напряжения АБ - следовать до ближайшей станции или до конечного пункта. При необходимости - собрать схему работы МВ секции N 2 от БВ-2."
12;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 808 при наборе первой позиции.;Пониженное (менее 2200 В) или отсутствие напряжения в КС.;Сообщить энергодиспетчеру об отсутствии или пониженном напряжении в контактной сети, при необходимости принудительно включить реле 808 неисправной секции.
13;В пути следования отключился БВ задней секции со срабатыванием блинкерного сигнализатора 700.;КЗ в силовых цепях отопления поезда;"Если ""выпал"" блинкер 700-2:
КЗ в цепи отопления поезда. Разрешается включить отопление поезда еще один раз.
Если ""выпал"" блинкер 700-1:
- КЗ в цепи отопления поезда, если включено отопление поезда через БВ-1. Разрешается включить отопление поезда еще один раз.
- Если на позициях 1-20 выпал какой-либо блинкер (кроме ""Т"") в секции N 2. Восстановить блинкеры в обеих секциях. Далее действовать в зависимости от того, какой блинкер ""выпал"" в секции N 2."
14;БВ задней секции отключается в момент включения со срабатыванием блинкерного сигнализатора 700.;КЗ в контакторе отопления поезда задней секции.;Собрать аварийную схему автономной работы головной секции.
15;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 201 при включении одного из мотор-компрессоров.;КЗ в силовой цепи одного из МК.;Следовать на исправном МК.
16;БВ 021-1 отключается со срабатыванием блинкерного сигнализатора 201-1 при включении мотор-вентиляторов (МВ) на низкую скорость.;КЗ в силовой цепи МВ секции 1 или секции 2.;"Не включая МВ вывести поезд на станцию. После остановки с помощью переключателей 200-1-2 поочередно вывести двигатели МВ секции 1, секции 2. При выводе одного из двигателей МВ отключить неохлаждаемую пару ТЭД переключателями ОД 071, ОД 072, при этом МВ включать только на низкую скорость.
Если после окончания прозвонки защита продолжает срабатывать, это укажет на КЗ в общих цепях секции 1 или секции 2. Собрать аварийную схему автономной работы секции N 1 или N 2"
17;"При переходе с ""С"" на ""СП"" соединение отключились оба БВ со срабатыванием блинкеров 015-1,2.";Неисправность цепи реле F.;"Переключатель 312 в положение ""Разгон СП""."
;"При переходе с ""С"" на ""СП"" соединение отключились оба БВ без срабатывая блинкеров 015-1,2.";Неисправность контактов реле F.;
;"При переходе с ""С"" на ""СП"" отключился один из БВ.";Обрыв в цепи диода 423 неисправной секции.;
18;"Отключился один из БВ 021-1 (2) со срабатыванием блинкерных сигнализаторов 067, 068; 843, 844. При нажатии кнопки 836 не восстанавливаются (электровозы с N 151).";Обрыв общей плюсовой или минусовой цепи всех реле времени;"Для включения БВ удалить или включить принудительно реле времени 361, 829 неисправной секции.
Для запуска МВ снять защитный колпачок с РВ 422 и на 3-5 секунд, включить якорь РВ 422 принудительно при включенной кнопке запуска МВ на пульте.
Следовать на одном МК."
19;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 208, 217.;Срабатывание тепловых реле 208, 217.;"Восстановить тепловое реле 208 или 217. Восстановить блинкер. При повторном срабатывании теплового реле 208 - восстановить тепловое реле и блинкер. МК в данной секции больше не включать.
При повторном срабатывании теплового реле 217 восстановить тепловое реле и блинкер. Следовать без МВ. В зависимости от напряжения АБ, следовать до ближайшей станции или до конечного пункта."
20;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 025, 026.;Сработало реле перегрузки ТЭД 025 или 026.;"1.Восстановить блинкер, включить БВ с пульта машиниста и продолжить движение, не допуская перегрузки ТЭД током свыше 800 А.
2.Если блинкер 025(026) выпадает совместно с блинкером 015 в данной секции, действовать аналогично, как при выпадании блинкера 015."
"При перестановке ножа 018-2 в аварийном положении (рукоятка вниз) при срабатывании блинкеров 015 или 700 на одной из секций срабатывают блинкеры 015, 700 на другой секции. Для восстановления блинкеров необходимо одновременно нажать на кнопки 836-1-2 или на головной секции выключить АЗВ 810 и нажать кнопку 836 задней секции. Реле 400 неисправной секции включается через блокировку 5-6 ножа 018-2.
Блинкерный сигнализатор одного из основных защитных аппаратов не восстанавливается - залипание якоря одного из реле 015, 025, 700, 201. Остановиться и восстановить работу соответствующего защитного реле.
Для вывода поезда на удобный профиль пути можно отключить неисправную секцию переключателем 312. При неисправности секции N 2 - удалить реле 806-2 (или включить принудительно).";;;
Цепи управления;;;
При всех неисправностях - прежде всего проверить состояние АЗВ в промежуточных коридорах обеих секций. В случае выбивания АЗВ - восстановить. При повторном срабатывании - заказать вспомогательный локомотив.;;;
21;Не поднимаются токоприемники.;Неисправность низковольтной или пневматической цепи токоприемников.;"Проверить:
- включенное положение АЗВ 475-1, АЗВ 462-2, реле 485-2-1, положение рукоятки ""Стоп"" включением БВ;
- включенное положение разъединителей и отключенное положение заземлителей в обеих секциях;
- давление воздуха в резервуаре токоприемника должно быть не менее 3,5 атм.
В случае выполнения всех вышеперечисленных условий использовать перемычки:
Секция N 1 ЦКР1 521 - 428
Секция N 2 ЦКР2 520 - 433
Управлять токоприемниками с пульта машиниста включением тумблера 528 (включение вспомогательного компрессора).
Тумблер поднятия токоприемника оставить во включенном положении для включения реле N 400."
22;БВ 021-1-2 не включаются с пульта.;Неисправность общих цепей включения БВ.;"Проверить:
- включенное положение АЗВ 475-1, 462-2, реле 485-1-2 (подъемом токоприемника);
- включенное положение АЗВ 300 (кнопкой ""догружения"" или набором КМЭ);
- включенное положение реле 323-1-2 и нахождение ПБК 330-1-2 на нулевой позиции (постановкой реверсивной рукоятки в нулевое положение);
- включенное положение реле защиты 806-1-2 по лампам на сигнальном табло 829 или блинкерным сигнализаторам.
- проверить состояние кнопки ""Отключение БВ"" в обеих кабинах (не осталась ли в утопленном положении).
Включить БВ с пульта.
При невключении БВ с пульта машиниста - включить перемычкой согласно типу БВ, установленному на данном электровозе."
23;Отключились оба БВ и опустились токоприемники.;Нарушение низковольтной цепи реле 485-1 или 485-2.;"При исправности АЗВ 475-1 и 462-2 проверить закрытие дверей, щитов ВВК и люка на крышу электровоза, дверь 100-го шкафа (ЭДТ).
Реле 485-1 и 485-2 включить принудительно (даже, если они включены).
Если это не помогло, то необходимо поставить перемычки на ЦКР секции N 1:4001 - 4060 и 4001 - 4250."
24;Отключился один из БВ 021-1(2).;Нарушение низковольтной цепи.;При отсутствии срабатывания блинкерных реле отключить неисправную секцию переключателем 312. Остановиться на станции и переставить нож 018-2 в аварийное положение (вниз).
25;Не работает один из мотор-компрессоров.;Неисправность высоковольтного предохранителя 202 или низковольтных цепей МК.;"При остановке одного из МК включить его на ручной пуск.
Если не дало результатов, на слух или визуально убедиться во включении контактора 203, если он включается - перегорел высоковольтный предохранитель 202 - заменить его.
Если контакторы не включаются - следовать на исправном мотор-компрессоре."
26;Мотор-вентиляторы не включаются на низкую скорость.;Неисправность низковольтных цепей или высоковольтного предохранителя 209-1.;"Проверить исправность АЗВ 462-1 и включение реле 400-1 запуском МК 1. Если МК 1 работает, поставить переключатель включения МВ 418 на высокую скорость. Если МВ заработали на обеих секциях можно продолжать движение.
МВ заработали на секции N 2:
на слух или визуально убедиться во включении контакторов МВ секции 1, если контакторы включаются перегорел высоковольтный предохранитель 209-1 - заменить его;
если не включаются, перевести переключатель 418 в положение ""МС"", принудительно на 5-6 сек, включить якорь РВ 422-1.
МВ заработали на секции N 1:
- переключатель 418 поставить в положение ""МС"";
- принудительно на 5-6 сек включить якорь РВ 422-2."
27;Не вращается ПБК-330 при наборе или сбросе позиций.;Перекрыт кран к приводу ПБК, отключен АЗВ 300, получило питание реле сброса 321.;"Убедиться:
- в открытии крана 1019 и наличии воздуха в цепи управления.
- во включенном положении АЗВ З00 (включенном положении БВ 021-1(2)).
- в нормальном положении маневровых кнопок 325, 327.
- в возможном получении питания реле 425 по причине:
а) не включения реле зарядки 512, 513.
б) не включения контакторов 212-1-2 второй ступени МВ.
в) не включения реле 371-1 экстренного торможения.
- включенного положения реле 373, 349.
Так же реле сброса 321 может получать питание при срабатывании:
а) РБ 067, 068.
б) при срабатывании блока ПБЗ.
в) при срабатывании ЭПК 150 - через реле 890.
Во всех случаях отсутствия набора или сброса позиций можно управлять приводом ПБК вручную, предварительно перекрыв кран 1019. Вращать барабан ПБК за штурвал привода, контролируя набор по указателю позиций на ПБК.
Переход на ПБК задней секции перестановкой разъемов.
При перестановке коннекторов аварийных режимов для перехода на управление приводом ПБК ЗЗ0 задней секции КМЭ З05 в головной секции в обязательном порядке отключать АЗВ З00 и ВУ 301."
28;Нет набора позиций от контроллера машиниста и от маневрового пульта.;Перекрыт кран 1019.;В открытии крана 1019 и наличии воздуха в резервуаре цепей управления.
;;"Утоплена кнопка ""-"" на маневровом пульте.";"Не утоплена ли кнопка ""-"" на маневровом пульте в рабочей кабине.
Если всё вышеуказанное выполнено - набор позиций производить в ручном режиме."
29;"При постановке контроллера машиниста в ""набор"" происходит мигание лампочек ""0"" - ""С"" -""0"".";Выключен ЭПК-150.;Проверить включен ли до упора ключ ЭПК-150 в рабочей кабине.
;;"Залипла кнопка ""СП-С"".";"Проверить не залипла ли в нижнем положении кнопка ""СП-С"" на пульте в рабочей кабине."
;;"Загорание лампы ""Боксование"".";"Проверить не загорается ли лампочка ""Боксование"" на ВПС в каком-нибудь из блоков, если загорается - выключить данную секцию переключателем 312."
;;Выключено реле 371-1.;"Проверить состояние реле 371-1 - должно быть включено (давление в ТМ).
Если выключено - включить принудительно."
;;Осталась собранная схема ЭДТ.;Осталась собранная схема ЭДТ - кратковременно выключить и снова включить АЗВ 340-1 и 340-2.
30;Отключаются оба БВ 021-1-2, нет набора и сброса позиций ПБК. Теряет питание приставка 206 крана машиниста. При открытых к ней кранах начинается служебное торможение.;Сработал АЗВ 300.;"Восстановить АЗВ-300. При повторном отключении АЗВ-300 необходимо:
- ПБК 330 возвратить на ""0"" позицию вручную.
- принудительно включить реле 400-1-2. При каждом повторном включении БВ-1-2 убеждаться в нахождении ПБК 330 и кнопок включения вспомогательных машин в нулевом положении.
- при необходимости разворота реверсивного барабана КМЭ защелку 304-1(2) включать вручную нажатием на шток (грибок) вентиля защёлки.
-для повторного включения реле 333 кратковременно нажать на его якорь.
-управлять приводом ПБК вручную.
Перекрыть оба крана к тормозной приставке 206, следовать поставив ручку крана машиниста в 4-е положение, периодически подзаряжая УР и ТМ 1-м положением."
31;При нахождении ПБК 330 на 1-й позиции нет тока цепи ТЭД.;Неисправность низковольтных цепей или обрыв в цепи ТЭД или пусковых сопротивлений;"Убеждаемся:
- во включенном положении АЗВ 324 (302) открытием жалюзи или визуально.
- во включенном положении реле 333 на слух или визуально. Если реле 333 не включается при исправном АЗВ 324, включить его принудительно, предварительно проверив согласованность разворота реверсоров и тормозных переключателей.
- переключатель 312 поставить в ""Разгон СП"", дать первую позицию:
а) появление тока на обеих секциях укажет на обрыв межсекцонных соединений или на не включение ЛК 60-1-2;
б) появление тока на одной из секций укажет на обрыв цепи ТЭД или не включение отдельных ЛК на неисправной секции. Для вывода неисправного участка:
- возвратить переключатель 312 в ""НЭ"";
- устранить обрыв поочередным выводом ТЭД неисправной секции;
в) при нахождении переключателя 312 в положении ""Разгон СП"" и отсутствие тока по обеим секциям указывает на обрыв общих цепей управления.
Перейти на ПБК задней секции.
- На электровозах с 4-х позиционным переключателем 312:
Посмотреть на лампочку 855.
Если горит - поочередно вывести из работы секции N 1 и 2 переключателем 312. Если это не помогло - производить вручную набор и сброс позиций ПБК задней секции (предварительно включив ВУ-301 в задней кабине).
Если не горит - включить реле 333 в рабочей секции (предварительно проверив положение реверсоров и переключателей ""Х-Т"" в обеих секциях)
- На электровозах с 2-х позиционным переключателем 312
Действовать аналогично вышеуказанному, только ориентироваться не на лампочку 855, а на реагирование стрелки манометра ПМ при нажатии на кнопку ""Догружение осевых сил""."
32;При переходе на 20-ю позицию отсутствует ток нагрузки.;Не включение ЛК 031-1 или 031-2 или обоих ЛК 031.;"На локомотивах с 4-х позиционным переключателем 312 - поставить в ""Разгон СП"" и не производить набор далее 19 позиции.
Для работы ступеней ""ослабления поля"" на реостатных позициях поставить перемычки в секции N 1: 5000-3820 и 5000-3900.
На локомотивах с 2-х позиционным переключателем 312 - выключить в любой из секций переключатель 312 и не производить набор далее 19 позиции. Для работы ступеней ""ослабления поля"" на реостатных позициях поставить перемычки в секции N 1: 5000-3820 и 5000-3900."
33;При переходе на 21-ю позицию пропадает ток в обеих секциях.;Не включение ЛК 057-1-2 или 058-1-2.;"Переключатель секций 312 поставить в ""Разгон СП"". ПБК далее 20-й позиции не перемещать."
34;При переходе на 22-ю позицию отсутствует ток нагрузки в обеих секциях.;Не включение ЛК 057-1 и 057-2 или 058-1 и 058-2;"На локомотивах с 4-х позиционным переключателем 312 - поставить в ""Разгон СП"".
На локомотивах с 2-х позиционным переключателем 312 - выключить в любой из секций переключатель 312."
35;При переходе на 38 позицию пропадает ток в обеих секциях.;Не включение ЛК 59-1-2.;"Переключатель 312 в ""Разгон СП"". ПБК далее 20-й позиции не перемещать."
36;При наборе позиций неравномерный прирост тока по КА, на ходовых позициях бросок тока.;Неисправность в цепи АЗВ 508 или 431.;"При срабатывании АЗВ 508 или 431 на электровозах с N 151:
- при срабатывании АЗВ 508 - вывести 3-4 и 5-6 ТЭД;
- при срабатывании АЗВ 431 - вывести 1-2 и 7-8 ТЭД.
Следовать на 4-х ТЭД на ""С"" и ""П"" соединениях."
37;Пропал ток в цепи ТЭД, ПБК пошел на сброс, включилась пескоподача.;Сработал АЗВ 340-1 или отключилось реле 371-1.;Восстановить АЗВ-340-1. При повторном срабатывании АЗВ реле 371-1 включить принудительно.
38;Некачественное техническое обслуживание;Сгорание ЛК 060-2;"Сгорает при переходе с ""С"" на ""СП"" (а точнее с поз.21 на поз.22)
При этом выпадает блинкер 015 в одной или в обеих секциях и происходит задымление в машинном отделении секции N 2.
Выключить секцию N 2 переключателем 312."
39;Приведение электровоза в рабочее состояние со слабыми АБ.;Разряжена АБ.;"1. Заземлить электровоз ключом на 14 (оба разъединителя - выключены, оба заземлителя - включены)
2. Открыть дверь ВВК секции 1и 2
3. Убедиться в нахождении ПШ 210-1 на низкой скорости (шток вышел) переключатели 200-1и 200-2 перевести в положение ""ВЭ""
4. Закрыть двери ВВК
5. ""Разземлить"" электровоз (оба заземлителя - выключены, оба разъединителя - включены)
6. На пульте поставить ручку подъема токоприемника под 45 градусов вправо (той секции, где необходимо набирать воздух ручным насосом)
7. Ручным насосом в выбранной секции набрать воздух в резервуар токоприемника до 5 кгс/см2 и поддерживать давление в нем не ниже 3,5 кгс/см2, давление в НМ не достигнет более 3,5 кгс/см2.
8. Нажать на шток (""грибок"") вентиля токоприемника выбранной секции;
9. После того, как ""грибок"" вентиля токоприемника станет удерживаться в нажатом положении от напряжения 50В, придти в кабину и включить с пульта БВ, МВ и МК (если ""выпали"" блинкерные сигнализаторы - восстановить их)."
;;;
