к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах серии ТЭМ14;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
14;"Включаются все аппараты: 35КВГ, 35КП1-35КП8, но тепловоз с места не трогается (""Сброс нагрузки"" не горит)";Сгорел предохранитель 21ПРВГ1 (21ПРВГ2) в цепи возбуждения генератора;Заменить предохранитель
;;Нет контакта в силовых контактах 35КВГ1 (35КВГ2);Проверить контакт в силовых контактах 35КВГ1 (35КВГ2)
15;Дизель не увеличивает обороты по команде контроллера машиниста при работе регулятора с бортовой микропроцессорной системой управления тепловозом. Частота вращения дизеля 8,7 с -1 (520 об/мин);Пропала связь с бортовой микропроцессорной системой управления тепловозом - нарушен контакт в разъемах кабеля связи бортовой микропроцессорной системой управления тепловозом с блоком управления регулятора или обрыв в кабеле Малая мощность на выходе выпрямительной установки на восьмой позиции контроллера;Проверить надежность соединения разъемов кабеля связи. При необходимости разъемы подтянуть и надежно закрепить.
16;"Дизель перегружается, наблюдается ""просадка"" оборотов";Обрыв цепей датчиков тока и напряжения 24Iм1-24Iм8, 22Uву1 (22Uву2), или нарушена их целостность;Проверить их показания на стойке управления и целостность их цепей. Неисправность устранить
17;"Дизель ""сбрасывает"" нагрузку при переводе контроллера с пятой на шестую позицию";Низкое давление масла в системе дизеля.;Проверить уровень масла
18;При переводе контроллера обороты дизеля не изменяются или резко изменяются;Неисправен электронный регулятор числа оборотов;Проверить уровень масла регулятора числа оборотов
19;Мощность дизеля не достаточна (наблюдается просадка оборотов, особенно на высших позициях);Подсос воздуха в топливную систему;Осмотреть топливную систему на наличие течи топлива
20;Недостаточное количество охлаждающей жидкости (результат контроля по водомерному стеклу);Не сработал датчик реле уровня воды, утечка охлаждающей жидкости из системы;Снять нагрузку и остановить дизель, найти место утечки и устранить течь. Устранить причины несрабатывания 32ДУВ1 (32ДУВ2), дальнейшая эксплуатация допустима только после заправки системы охлаждающей жидкостью до необходимого уровня
21;При следовании тепловоза произошел сброс нагрузки;Сработало реле заземления 44Р3ЕМ1 (44РЗЕМ2), в силовой цепи имеется пробой на корпус или частичное разрушение изоляции;Произвести осмотр всей силовой цепи для выявления неисправности. При обнаружении неисправности восстановить изоляцию или устранить касание токоведущих частей корпуса тепловоза. Если повреждение не обнаружено, восстановить контакт реле от руки в нормальное положение и попытаться продолжать движение. Если реле срабатывает и после повторного тщательного осмотра место повреждения все же не обнаружено, вновь восстановить реле в нормальное положение рубильником реле заземления и продолжать движение до основного или оборотного депо. При обнаружении неисправного тягового электродвигателя отключить его выключателем и следовать до основного депо
22;Произошел перегрев охлаждающей жидкости или масла дизеля;Не включаются вентиляторы и не открываются жалюзи;Перейти на ручной режим управления охлаждением. Проверить включение вентиляторов и открытие жалюзей.
23;Не происходит включение контакторов шунтировки поля тяговых электродвигателей;Не включен тумблер 35ТОП или вышел из строя;Проверить включение тумблера 35ТОП
;;Нарушены замыкающие контакты контакторов 41КШ1, 41КШ2;Проверить контакты контакторов 41КШ1, 41КШ2
24;Недостаточное количество масла (по маслоизмерительному щупу);Утечка масла из системы;Осмотреть масляную систему. При возможности устранить утечку масла.
25;Низкое давление масла в магистрали;Пониженная вязкость масла вследствие его перегрева в или попадания топлива;Снизить температуру масла.
;;Недостаточное количество масла в картере дизеля;Проверить уровень масла по маслоуказателю.
;;Неисправен масляный насос;Осмотреть насос.
Аккумуляторная батарея;;;
26;Слишком высокий ток при зарядке и низкий при разрядке;Плохие контакты, плохо привернуты гайки;Проверить контакты и подтянуть гайки
27;Сильный нагрев аккумуляторов и зажимов;Плохие контакты;Подтянуть гайки
Охлаждающее устройство;;;
28;Температура охлаждающей жидкости и масла дизеля поддерживается на предельно допустимом уровне при температуре наружного воздуха от 20 до 30°С;Не открылись или открылись не полностью жалюзи;Проверить жалюзи на полное их открытие
;;Заедание жалюзи;Отсоединить привод жалюзи от цилиндра привода и несколько раз открыть и закрыть жалюзи вручную
;;Не открываются верхние жалюзи при открытых боковых жалюзи - заклинило переключатель;Отсоединить от переключателя воздушные трубки осмотреть детали переключателя
Автоматика холодильной камеры;;;
29;Повышение температуры охлаждающей жидкости и масла дизеля;Неисправны датчики температуры;Перейти на ручное управление тумблером ТВО1 (ТВО2)
;Не включается вентилятор холодильника;Неисправен датчик температуры;
;;;
