к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП20;;;
;;;
N;"Неисправность
(сообщение МПСУ)";Вероятная причина;Метод устранения
22;Выбор рода тока;Неисправность ПРТ Q1;Запросить у диспетчера резервный локомотив
23;ГВ заблокирован;Аварийное отключение ГВ. Сработало реле максимального тока КА5.;"Сверхток в силовой цепи сетевой обмотки тягового трансформатора.
Аварийное отключение ГВ
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Включить ГВ
- При двукратном срабатывании в течение 30 мин блокируются ГВ
- ЗАКАЗАТЬ ВСПОМ. ЛОКОМОТИВ"
24;ГВ заблокирован;Аварийное отключение ГВ. Токовая перегрузка в цепях первичной обмотки ТТр.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Включить повторно ГВ. В случае повторного отключения запросить у диспетчера вспомогательный локомотив."
25;ГВ заблокирован;Аварийное отключение ГВ. Перенапряжение в контактной сети переменного тока;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Произвести повторное включение ГВ.
Продолжить движение.
При двукратном срабатывании в течение 30 мин блокируются ГВ."
26;ГВ заблокирован;"Аварийное отключение ГВ. Нажата кнопка ""АВАРИЙНОЕ ОТКЛЮЧЕНИЕ
ГВ/БВ"".";Произвести повторное включение ГВ.
27;ГВ заблокирован;Аварийное отключение ГВ. Сработал клапан сверхдавления ТТр.;"Выполнить визуальный осмотр ТТ. Убедиться, что течи масла и перегрева нет. Продолжить движение.
В противном случае запросить вспомогательный локомотив."
28;ГВ заблокирован;Аварийное отключение ГВ. Сработал датчик-реле уровня масла ТТ Т1 и блока дросселей L1.;"Проконтролировать температуру нагрева трансформатора. При нахождении её в норме продолжить движение.
В случае роста температуры отключить ГВ, запросить резервный локомотив."
29;ГВ заблокирован;Аварийное отключение ГВ. КЗ в цепи удерживающей катушки ГВ.;"Восстановить автоматический выключатель СС-DJ на низковольтном блоке Альстом;
- В случае повторного срабатывания вызвать вспомогательный локомотив. Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
30;ГВ заблокирован;Аварийное отключение ГВ системой управления тяговым приводом MPU. Авария в силовых цепях переменного тока.;"Разблокировать управление ГВ QF1 по нажатию клавиши ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
- Включить ГВ QF1, продолжить движение
- При двукратном срабатывании в течение 30 мин блокируются ГВ
- Заказать вспомогательный локомотив."
31;ГВ заблокирован;Аварийное отключение ГВ. Неисправность на соответствующем канале ТПр1 U1-ТПр3 U3.;"Режим ТЯГА и ЭЛЕКТРИЧЕСКОЕ ТОРМОЖЕНИЕ ОТКЛЮЧЕНЫ на соответствующей оси.
- Восстановить работу отключенного канала ТПр: нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
- При двукратном срабатывании Режим ТЯГА и ЭЛЕКТРИЧЕСКОЕ ТОРМОЖЕНИЕ ОТКЛЮЧЕНЫ на соответствующей оси.
- Восстановить работу отключенного канала ТПр: нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"".
- При двукратном срабатывании в течение 30 мин блокируется неисправный канал ТПр.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Продолжать движение с отключённым тяговым преобразователем."
32;БВ заблокирован;Аварийное отключение БВ. Токовая перегрузка в силовых цепях 3 кВ. Датчик ТА1.;"Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
- Включить БВ QF2
- При двукратном срабатывании в течение 30 мин блокируется управление БВ QF2 без
возможности разблокирования
- Заказать вспомогательный локомотив."
33;БВ заблокирован;Аварийное отключение БВ. Перенапряжение в контактной сети постоянного тока.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Включить БВ QF2
- При двукратном срабатывании в течение 30 мин. блокируются управление БВ QF2 без возможности разблокирования
- Заказать вспомогательный локомотив."
34;БВ заблокирован;"Аварийное отключение БВ. Нажата кнопка ""АВАРИЙНОЕ ОТКЛЮЧЕНИЕ ГВ/БВ"".";Произвести повторное включение БВ.
35;БВ заблокирован;Аварийное отключение БВ. Сработал клапан сверхдавления ТТр.;"Нажать кнопку ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- включить БВ и продолжить движение;
- при повторном возникновении неисправности в течении 30 мин БВ отключается и блокируется.
- Заказать вспомогательный локомотив."
36;БВ заблокирован;Аварийное отключение БВ. Сработал датчик-реле уровня масла ТТ Т1 и блока дросселей L1.;"Нажать кнопку ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- включить БВ и продолжить движение
- при повторном возникновении неисправности в течении 30 мин БВ отключается и блокируется.
- Заказать вспомогательный локомотив."
37;БВ заблокирован;Аварийное отключение БВ. КЗ в цепи удерживающей катушки БВ.;"Восстановить автоматический выключатель СС-DJ на низковольтном блоке Альстом;
В случае повторного срабатывания вызвать вспомогательный локомотив."
38;БВ заблокирован;Аварийное отключение БВ системой управления тяговым приводом MPU. Авария в силовых цепях постоянного тока 3 кВ.;"Разблокировать управление БВ QF2: Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Включить БВ QF1, продолжить движение
- В случае повторного аварийного отключения БВ QF1 в течение 30 мин. ГВ QF1 блокируется без возможности повторного включения
- Заказать вспомогательный локомотив."
39;БВ заблокирован;Аварийное отключение БВ. Срабатывание защитных реле ТПр.;"Восстановить работу отключенного канала ТПр: нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ;
При повторном возникновении неисправности в течении 30 мин соответствующий канал ТПр блокируется: нажать клавишу
ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Продолжать движение с отключённым тяговым преобразователем."
40;ГВ заблокирован;Неисправность ГВ.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
Заказать вспомогательный локомотив."
41;БВ заблокирован;Неисправность БВ.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
Заказать вспомогательный локомотив."
42;СТК;Перегрев статорной обмотки ТД N 1.;"Автоматическое отключение ГВ\БВ.
канал N 1 ТПрN1 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев статорной обмотки составляет менее 160 °С, восстановить работу канала N 1 ТПрN1 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
43;СТК;Перегрев статорной обмотки ТД N 2.;"Автоматическое отключение ГВ\БВ.
- канал N 2 ТПрN1 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев статорной обмотки составляет менее 160 °С, восстановить работу канала N 2 ТПрN1 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
44;СТК;Перегрев статорной обмотки ТД N 3.;"Автоматическое отключение ГВ\БВ.
- канал N 1 ТПрN2 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев статорной обмотки составляет менее 160 °С;
- восстановить работу канала N 1 ТПрN2 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
45;СТК;Перегрев статорной обмотки ТД N 4.;"Автоматическое отключение ГВ\БВ.
- канал N 2 ТПрN2 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев статорной обмотки
составляет менее 160 °С, восстановить работу канала N 2 ТПрN2 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
46;СТК;Перегрев статорной обмотки ТД N 5.;"Автоматическое отключение ГВ\БВ.
- канал N 1 ТПрN3 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев статорной обмотки составляет менее 160 °С, восстановить работу канала N 1 ТПрN3 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
47;СТК;Перегрев статорной обмотки ТД N 6.;"Автоматическое отключение ГВ\БВ.
- канал N 2 ТПрN3 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев статорной обмотки составляет менее 160 °С, восстановить работу канала N 2 ТПрN3 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ и продолжить движение"
48;СТК;Необходимо снизить скорость. Температура подшипника буксы N 1 более 80 °C.;При скорости электровоза более 80 км/ч снизить её до 80 км/ч. При скорости ниже 80 км/ч снизить её на 30 км/ч. Если температура не снижается остановиться. Контролировать по DDU динамику снижения нагрева
49;СТК;Температура нагрева БТР1 выше предельно допустимой - более 840 °C;"Температура нагрева БТР1 R11 выше предельно допустимой.
Автоматическое отключение ГВ\БВ.
- канал N 1 ТПрN1 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев БТР1 R11 менее
600 °С;
- восстановить работу канала N 1 ТПрN1 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
50;СТК;"Температура нагрева БТР2 выше предельно допустимой -
более 840 °C.";"Температура нагрева БТР2 R12 выше предельно допустимой.
Автоматическое отключение ГВ\БВ.
- канал N 2 ТПрN1 автоматически
отключается и блокируется
- включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев БТР2 R12 менее
600 °С
- восстановить работу канала N 2 ТПрN1 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
51;СТК;Температура нагрева БТР3 выше предельно допустимой - более 840 °C.;"Температура нагрева БТР3 R13 выше предельно допустимой.
Автоматическое отключение ГВ\БВ.
- канал N 1 ТПрN2 автоматически отключается и блокируется
- включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев БТР3 R13 менее
600 °С;
- восстановить работу канала N 1 ТПрN2 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
52;СТК;Температура нагрева БТР4 выше предельно допустимой - более 840 °C;"Температура нагрева БТР4 R14 выше предельно допустимой.
Автоматическое отключение ГВ\БВ.
- канал N 2 ТПрN2 автоматически отключается и блокируется
-включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев БТР4 R14 менее
600 °С;
- восстановить работу канала N 2 ТПрN2 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
53;СТК;Температура нагрева БТР5 выше предельно допустимой - более 840 °C;"Температура нагрева БТР5 R15 выше предельно допустимой.
Автоматическое отключение ГВ\БВ.
- канал N 1 ТПрN3 автоматически отключается и блокируется
- включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев БТР5 R15 менее
600 °С;
- восстановить работу канала N 1 ТПрN3 нажатием на клавишу ""ВОССТАНОВЛЕНИЕ
ЗАЩИТЫ"";
- продолжить движение"
54;СТК;Температура нагрева БТР6 выше предельно допустимой - более 840 °C;"Температура нагрева БТР6 R16 выше предельно допустимой.
Автоматическое отключение ГВ\БВ.
- канал N 2 ТПрN3 автоматически отключается и блокируется
- включить ГВ\БВ и продолжить движение;
- на ближайшей остановке на станции по диагностическому кадру ""Термоконтроль"" убедиться, что перегрев БТР6 R16 менее
600 °С;
- восстановить работу канала N 2 ТПрN3 нажатием на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- продолжить движение"
55;Тяга не задана;Тяга не задана. БЛОК выдает команду на разбор тяги.;"переключатель ЭПК находится в положении откл., проверить давление в ПМ, Vф>Vдоп, необходимо подтвердить бдительность;"
56;Тяга и электроторможение;Отключение и блокирование канала тягового двигателя N 1 (TCU1).;"Канал N 1 ТПр 1 отключен и заблокирован
Тяга и электрическое торможение недоступно на оси N 1. ГВ\БВ автоматически отключен
- попытаться восстановить работу Канал N 1 ТПр 1: нажать клавишу
ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на стоянке перезапустить систему управления ключём
- в случае неудачной попытки восстановления зафиксировать причину отключения ГВ\БВ по сообщениям в кадре ""Архив сообщений""
- продолжить движение"
57;Тяга и электроторможение;Отключение и блокирование канала тягового двигателя N 2 (TCU2).;"Канал N 2 ТПр 1 отключен и заблокирован.
Тяга и электрическое торможение недоступно на оси N 2
ГВ\БВ автоматически отключен
- попытаться восстановить работу Канал N 2 ТПр 1: нажать клавишу
ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на стоянке перезапустить систему управления ключём
- в случае неудачной попытки восстановления зафиксировать причину отключения ГВ\БВ по сообщениям в кадре ""Архив сообщений""
- продолжить движение"
58;Тяга и электроторможение;Отключение и блокирование канала тягового двигателя N 3 (TCU3).;"Канал N 1 ТПр 2 отключен и заблокирован.
Тяга и электрическое торможение недоступно на оси N 3
ГВ\БВ автоматически отключен
- попытаться восстановить работу Канала N 1 ТПр 2: нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на стоянке перезапустить систему управления ключом
- в случае неудачной попытки восстановления зафиксировать причину отключения ГВ\БВ по сообщениям в кадре ""Архив сообщений""
- продолжить движение"
59;Тяга и электроторможение;Отключение и блокирование канала тягового двигателя N 4 (TCU4).;"Канал N 2 ТПр 2 отключен и заблокирован
Тяга и электрическое торможение недоступно на оси N 4
ГВ\БВ автоматически отключен
- попытаться восстановить работу Канал N 1 ТПр 1: нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на стоянке перезапустить систему управления ключом
- в случае неудачной попытки восстановления зафиксировать причину отключения ГВ\БВ по сообщениям в кадре ""Архив сообщений""
- продолжить движение"
60;Тяга и электроторможение;Отключение и блокирование канала тягового двигателя N 5 (TCU5).;"Канал N 1 ТПр 3 отключен и заблокирован
Тяга и электрическое торможение недоступно на оси N 5
ГВ\БВ автоматически отключен
- попытаться восстановить работу Канал N 1 ТПр 1: нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на стоянке перезапустить систему управления ключём
- в случае неудачной попытки восстановления зафиксировать причину отключения ГВ\БВ по сообщениям в кадре ""Архив сообщений""
- продолжить движение"
61;Тяга и электроторможение;Отключение и блокирование канала тягового двигателя N 6 (TCU6).;"Канал N 2 ТПр 3 отключен и заблокирован
Тяга и электрическое торможение недоступно на оси N 6
ГВ\БВ автоматически отключен
- попытаться восстановить работу Канала N 2 ТПр 3: нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на стоянке перезапустить систему управления ключём
- в случае неудачной попытки восстановления зафиксировать причину отключения ГВ\БВ по сообщениям в кадре ""Архив сообщений""
-продолжить движение"
62;Тяга и электроторможение;"Режим ""Электрическое торможение"" для тягового двигателя N 1 - N 6 заблокирован.";"Режим ""Электрического торможения"" отключен и заблокирован на оси N 1 - N 6.
Восстановление работы невозможно
Продолжить движение электровоза без использования ЭДТ"
63;Пневмосистема;Срыв электрического торможения.;"Разобрать схему ЭДТ нажатием кнопки ""Сброс"" на контроллере машиниста.
Продолжить движение."
64;Пневмосистема;Отсутствие питания на КЭБе.;"Внимание! Неисправность КЭБ
Запрет включения ЭД торможения"
65;Пневмосистема;КТО. В3 - вентиль сверхзарядки неисправен БЭПП.;"Кран машиниста вышел из строя.
Машинист, перейди на управление КРУ.
Для этого затормозите электровоз, закрепите его при помощи КВТ, после чего выполните следующие действия:
- Откройте кран КН14(КН15);
- Переведите ручку ККМ в положение VI;
- Выключите тумблер КМ в МТО;
- Переведите ручку крана КПР в вертикальное положение;
- Проверьте открытое состояние блокировки, нажав на ручной дублер клапана В1."
66;Пневмосистема;КТО. В4 - вентиль отпуска неисправен БЭПП;"Кран машиниста вышел из строя.
Машинист, перейди на управление КРУ.
Для этого затормозите электровоз, закрепите его при помощи КВТ, после чего выполните следующие действия:
- Откройте кран КН14(КН15);
- Переведите ручку ККМ в положение VI;
- Выключите тумблер КМ в МТО;
- Переведите ручку крана КПР в вертикальное положение;
- Проверьте открытое состояние блокировки, нажав на ручной дублер клапана В1"
67;Пневмосистема;"КТО. В5 - вентиль тормоза неисправен
БЭПП.";"Кран машиниста вышел из строя.
Машинист, перейди на управление КРУ. Для этого затормозите электровоз, закрепите его при помощи КВТ, после чего выполните следующие действия:
- Откройте кран КН14(КН15);
- Переведите ручку ККМ в положение VI;
- Выключите тумблер КМ в МТО;
- Переведите ручку крана КПР в вертикальное положение;
- Проверьте открытое состояние блокировки, нажав на ручной дублер клапана В1."
68;Пневмосистема;"КТО. В6 - вентиль перекрыши без питания неисправен
БЭПП.";"Кран машиниста вышел из строя.
Машинист, перейди на управление КРУ. Для этого затормозите электровоз, закрепите его при помощи КВТ, после чего выполните следующие действия:
- Откройте кран КН14(КН15);
- Переведите ручку ККМ в положение VI;
- Выключите тумблер КМ в МТО;
- Переведите ручку крана КПР в вертикальное положение;
- Проверьте открытое состояние блокировки нажав на ручной дублер клапана В1."
69;Пневмосистема;"КТО. В7 - вентиль экстренного торможения неисправен
БЭПП.";"Кран машиниста вышел из строя.
Машинист, перейди на управление КРУ.
Для этого затормозите электровоз, закрепите его при помощи КВТ, после чего выполните следующие действия:
Откройте кран КН14(КН15);
Переведите ручку ККМ в положение VI; Выключите тумблер КМ в МТО;
Переведите ручку крана КПР в вертикальное положение;
Проверьте открытое состояние блокировки нажав на ручной дублер клапана В1."
70;Пневмосистема;КТО. ВО - вентиль отпуска неисправен БИ1.;"Кран вспомогательного тормоза вышел из строя.
Машинист, перейди на управление КРУ.
Для этого выполните следующие действия: Откройте кран КН34(КН35).
Выключите тумблер КВТ в МТО."
71;Безопасность;Пожар. Пуск огнетушащего вещества.;"Блокирование токоприемников.
Остановить электровоз краном машиниста служебным темпом.
По блоку сигнализации системы пожаротушения, расположенной на задней стенке за условным местом помощника машиниста определить по светящемуся индикатору конкретный номер извещателя, направиться в кузов и произвести осмотр места возможного возгорания.
1) При наличии запаха дыма, или следов пожара сообщить по радиостанции диспетчеру о случае пожара и запросить резервный электровоз.
2) В случае пожара оценить его степень - при незначительном и небольшом очаге возгорания использовать огнетушитель.
3) При сильном задымлении или большом очаге задымления покинуть электровоз, закрыть входные двери и на внешней стороне электровоза, открыв трёхгранным ключом пульт дистанционного управления пожаротушением, запустить в работу систему пожаротушения - Основная очередь. По завершении работы генератора открыть входные двери, убедиться в прекращении пожара. В противном случае запустить с пульта управления дистанционного вторую (дополнительную) очередь пожаротушения нажатием на соответствующую кнопку."
72;Система собственных нужд;"Аварийное отключение компрессора
МК1.";"Проверить количество включений компрессоров за последнее время поездки (последний час поездки).
В кадре ВПР на мониторе СУ проверить работу каналов ВПР.
По возможности отменить команду ""Запрет рекуперации"" в случае её активного состояния (Блок СК)"
73;Система собственных нужд;"Аварийное отключение компрессора
МК2";"Проверить количество включений компрессоров за последнее время поездки (последний час поездки).
В кадре ВПР на мониторе СУ проверить работу каналов ВПР.
По возможности отменить команду ""Запрет рекуперации"" в случае её активного состояния (Блок СК)"
74;Система собственных нужд;Первый канал вспом. преобразователя (CVS1) отключен и заблокирован.;"Канал N 1 ВПр U4 переходит в режим резервирования.
Все вспомогательные нагрузки принудительно переводятся на частоту 50Гц.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на ближайшей остановке на станции попытаться восстановить работу Канала N 1 ВПр U4 через режим техобслуживания.
- в случае неудачной попытки восстановления продолжить движение электровоза при работающем ВПр в режиме резервирования"
75;Система собственных нужд;Второй канал вспом. преобразователя (CVS2) отключен и заблокирован.;"Канал N 2 ВПр U4 переходит в режим резервирования
Все вспомогательные нагрузки принудительно переводятся на частоту 50Гц.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на ближайшей остановке на станции попытаться восстановить работу Канала N 2 ВПр U4 через режим техобслуживания.
- в случае неудачной попытки восстановления продолжить движение электровоза при работающем ВПр в режиме резервирования"
76;Система собственных нужд;Третий канал вспом. преобразователя (CVS3) отключен и заблокирован.;"Канал N 3 ВПр U4 переходит в режим резервирования
Все вспомогательные нагрузки принудительно переводятся на частоту 50Гц.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на ближайшей остановке на станции попытаться восстановить работу Канала N 3 ВПр U4 через режим техобслуживания.
- в случае неудачной попытки восстановления продолжить движение электровоза при работающем ВПр в режиме резервирования"
77;Система собственных нужд;Четвертый канал вспом. преобразователя (CVS4) отключен и заблокирован.;"Канал N 4 ВПр U4 переходит в режим резервирования
Все вспомогательные нагрузки принудительно переводятся на частоту 50Гц.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- на ближайшей остановке на станции попытаться восстановить работу Канала N 4 ВПр U4 через режим техобслуживания.
- в случае неудачной попытки восстановления продолжить движение электровоза при работающем ВПр в режиме резервирования"
