к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии 2ЭС7;;;
;;;
"N
п/п";"Неисправность
(Сообщение МПСУиД)";Вероятная причина;Метод устранения
10;Поступление сигнала по проводу 347 от блока управления токоприемником.;Излом токоприемника.;"Повторное поднятие токоприёмника, после выявления и устранения причин неисправности.
Использовать другой токоприемник."
11;Поступление сигнала по проводу 351 от блока управления токоприемником;Отсутствие контактной линии.;"Повторное поднятие токоприёмника, после выявления и устранения причин неисправности.
Использовать другой токоприемник."
12;Поступление сигнала по проводу 341 (ГВ включен).;Не поднимается ТКП - не выключен ГВ.;Выключить ГВ. На всех секциях проверить включенное положение ключевых запоров SA38 или SA39. Электровоз запустить обычным порядком.
13;Не формируется цепь провода 339.;Не поднимается ТКП - нет команды включения разъединителя.;"Поднять ТКП другой секции.
Следовать до ПТОЛ для выяснения причин отказа."
14;"Сообщение выводится при наличии команды на подъем токоприемника:
- нет сигнала об отключении токоприемника (провод 338);
- нет сигнала о готовности токоприемника к подъему (пр. 331);
- отсутствует сигнал об изломе (пр.347);
- отсутствует сигнал об отсутствии контактной линии (пр. 351).";Авария ТКП секции 1 (2, 3, 4);"Проверить давление в магистрали цепей управления (не менее 0,35 МПа).
Проверить цепь включения соответствующего разъединителя (провод 335)."
15;"Не поднимаются ТКП - режим ""Ввод в депо"", ""Обточка"", ""Холодный отстой""";"Переключателем SA23 (""Эксплуатация"") задан режим ""Ввод в депо"" или ""Обточка"" или ""Холодный отстой""";"Установить переключатель SA23 в положение ""Нормальная эксплуатация"". Электровоз запустить обычным порядком."
16;Токоприемник не опускается.;"Только на ведущей секции выполняются все условия:
- нет команд с пульта управления на подъем токоприемников;
- U к.с. >750В.";"1. Визуально убедиться в опущенном положении токоприёмника.
2. Если токоприемник поднят, то для снятия постороннего напряжения с вентиля токоприемника отключить тумблер SA41 или перекрыть разобщительный кран КН28 к блоку управления токоприемником;
3. Если токоприемник опущен, то сделать запись в журнал о неисправности датчика напряжения."
17;Нет информации о напряжении контактной сети при подъеме токоприемника секция 1 (или секция 2).;"Выполняются все условия:
- есть команда на поднятие токоприемника секция 1 (секция 2);
- напряжение контактной
сети < 750 В.";"1. Визуально убедиться в поднятии и касании контактного провода токоприёмником, а так же в замыкании его разъединителя.
2. При обнаружении признаков неисправности на аварийной секции в ШНА переключить тумблер SA41 в положение ""выключено"".
3 В работе использовать исправный токоприемник."
18;При поочередном подъеме токоприемников в МПСУиД выводится информация о величине напряжения в контактной сети менее 750В.;Неисправность крышевого оборудования до ГВ.;При обнаружении признаков короткого замыкания крышевого оборудования не допускается подъем токоприемников.
19;Есть готовность БПСН (ASG1(2)) на данной секции. Расхождения по величине напряжения контактной сети, поступающей по линии СМЕ и информации от БУЭ.;Недостоверная информация о напряжении контактной сети.;Следовать до ПТОЛ для выяснения причин отказа.
Главный выключатель;;;
20;ГВ выключен по перегрузке;Аппаратное отключение через БУЭ по величине тока контактной сети или по величине тока тяговых преобразователей.;"Мгновенное значение тока контактной сети 750А в течение 2мС Мгновенное значение тока одного из преобразователей 375 А в течение 2 мС
По возможности повторно включить ГВ"
21;Заблокирована кнопка ГВ;Переключение ВЦУ, ГВ включен.;Включить и выключить тумблер ГВ в кабине управления.
22;Не включается ГВ - не выключены ТЭД;Задана величина силы тяги;"Нажать кнопку ""Выбег"""
23;ГВ отключен - опускание токоприемников;Снимается питание с КМ19 при попытке опустить токоприемник, токоприемник на второй секции опущен.;Выключить тумблер ГВ, поднять токоприемник установленным порядком, включить ГВ.
24;"Выключен ГВ -
Uks > 30000В";Напряжение контактной сети больше 30000 В в течение 1 секунды;Включить ГВ при напряжении контактной сети менее 30000 В
25;"Выключен ГВ -
Uks < 17000 В";Напряжение контактной сети менее 17000 В в течение 1 секунды;Включить ГВ при напряжении контактной сети более 17000 В.
26;Нет готовности разъединителей, заземлителя;"Сигнал ""Готовность разъединителей"" устанавливается:
- получены сигналы о допустимом положении QS1 и QS2;
- нет команд на переключение QS1 и QS2;
- QS3 и QS4 в положении ""соединен"".";"Проверить положение заземлителя QS2 и разъединителей QS3, QS4
QS1 и QS2 на секции, где поднят токоприемник должны находиться в положении ""соединен"".
QS2 на прицепных секциях в положении ""соединен"".
QS3 и QS4 в положении ""соединен"".
При неисправности тягового преобразователя QS3 (для ТП1) или QS4 (для ТП2) может находиться в положении ""заземлен"""
27;Выключен ГВ - отключены оба ТП;"QS3 и QS4 в положении ""заземлен""";При появлении сигнала о готовности ТП к подаче питания повторно включить ГВ.
28;Выключен ГВ - по требованию ASG1(2);Наличие требования от ТП1 или ТП2 на отключение ГВ;Включить ГВ после снятия требования на отключение.
29;ГВ не включен - ожидание готовности ТП1(2);Нет готовности к подаче питания от ТП1(2);При появлении сигнала о готовности ТП к подаче питания включить ГВ.
30;Выключен ГВ - по разгруппировке ASG1(2);Поступление требования от ASG1(2) на разгруппировку;"Отключить вспомогательные машины, тумблер ГВ перевести в положение ""выключен"", опустить токоприемники, установленным порядком выключить и включить ВЦУ. Запустить электровоз. При появлении сигнала о готовности ТП к подаче питания включить ГВ."
31;ГВ выключен - авария Uкс;"Сигнал ""Авария Uks"" устанавливается, если Uks > 29200 В в течение более 600 секунд.";"Сигнал ""Авария Uks"" снимается, если Uks < 29000В в течение более 120 секунд. По истечении 120 секунд включить ГВ.
После 3-го появления сигнала ""Авария Uks"" за 60 минут сигнал снимается, если Uks < 29000В в течение более 30 минут"
32;Не включается ГВ - не выключены вспом. машины;Получен сигнал о замкнутом состоянии контактора вспомогательных машин (К1...К16) при отсутствии команды на его включение;"Выключить контактора вспом. машины, включить ГВ.
При невозможности выключить контактора, отключить неисправную секцию."
33;Блокировка ГВ ложно разомкнута;"В течение 5 секунд выполняются все условия:
- есть команда на включение ГВ;
- есть готовность БПСН;
- есть сигнал на БВС по цепи 362;
- нет цепи по аппаратной блокировке ГВ (341)";Продолжать движение, следовать до ПТО
34;ГВ выключен, нет контроля ТП1, ТТ1 (или ТП2, ТТ2);"Выполняются все условия:
- Напряжение контактной сети больше 17000 В;
- есть команда на включение ГВ;
- ГВ выключен;
- нет сигнала на БВС по цепи 365 для ТП1 или 362 для ТТ2";Проверить включение КМ19, включить ГВ, следовать до ПТО на запустившемся ТП.
35;Блокировка ГВ ложно замкнута;"Если выполняются все условия:
- нет команды на включение ГВ;
- на БВС поступает сигнал о включении ГВ.";Запустить электровоз, следовать до ПТО
36;ГВ не включен, положение QS3 (или QS4) не соответствует заданному;"1. На БВС поступает сигнал от QS3 (или QS4) по цепям 360 и 389 (для QS4 по цепям 361 и 399).
2. На БВС не поступает сигнал от QS3 (или QS4) по цепям 360 и 389 (для QS4 по цепям 361 и 399).";Проверить положение QS3 (или QS4) в соответствии с выданной командой.
37;ГВ не включен, положение QS3 и QS4 не соответствует заданному;На БВС поступает сигнал о несоответствии положения обоих разъединителей выданной команде.;Проверить положение QS3, QS4 в соответствии с выданной командой.
38;Положение QS1 не соответствует заданному;На БВС поступает сигнал о несоответствии положения QS1 выданной команде.;Проверить положение QS1 в соответствии с выданной командой.
39;Положение QS2 не соответствует заданному;На БВС поступает сигнал о несоответствии положения QS2 выданной команде.;Проверить положение QS2 в соответствии с выданной командой.
40;"ГВ не включен, от БУЭ получен сигнал ""обрыв нагрузки""";"После получения команды на включение ГВ возможные причины:
1. Отсутствует питание цепи 398-381;
2. Отсутствует питание цепи 362-397;
3. Неисправность БУЭ.";Повторно включить ГВ. Если не включается следовать на исправных секциях.
41;"ГВ не включен, от БУЭ получен сигнал ""короткое замыкание""";"После получения команды на включение ГВ возможные причины:
1. Короткое замыкание в цепи 398-381;
2. Короткое замыкание в цепи 362-397;
3. Неисправность БУЭ.";Повторно включить ГВ. Если не включается следовать на исправных секциях.
42;Предупреждение ТТ1 (или ТТ2);При включенном ВЦУ, напряжении контактной сети в рабочем диапазоне, включенных разъединителях QS3 и QS4 сработало реле Бухгольца (предупреждение) соответствующего тягового трансформатора.;Продолжить движение, контролировать уровень масла в тяговом трансформаторе, на котором сработало реле.
Управление тяговыми преобразователями;;;
43;ТП-1(или ТП-2) отключен - авария ХХ ТТ1(или ТТ-2);Установлен запрет включения ТП-1 (или ТП-2) из-за недопустимой величины тока потребляемого тяговым преобразователем от контактной сети после включения ГВ;Выключить тумблер ГВ. Выдержать паузу в течение 1 минуты, включить ГВ. При повторном появлении сигнала устанавливается блокировка включения соответствующего ТП. Следовать до основного депо на исправных тяговых преобразователях.
44;ТП-1(или ТП-2) отключен - нет связи;Установлен запрет включения ТП-1 (или ТП-2) из-за нарушения связи с тяговым преобразователем;Включить ГВ. Следовать до ПТО на исправных тяговых преобразователях.
45;ТП-1(или ТП-2) отключен - нет контроля питания;Установлен запрет включения ТП-1 (или ТП-2) из-за отсутствия контроля питания.;Включить ГВ. Следовать на исправных тяговых преобразователях.
46;ТП-1(или ТП-2) зарезервирован - по запросу ТП-1 (или ТП-2);Требование от блока управления тяговым преобразователем на отключение;Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
47;ТП-1 (или ТП-2) зарезервирован - нет готовности БПСН 5 сек;При выданной команде на включение нет сигнала о работе БПСН1 (или БПСН2);Следовать до основного депо на исправных тяговых преобразователях.
48;ТП-1 (или ТП-2) отключен - авария ТТ-1 (или ТТ-2);При включенном ВЦУ, напряжении контактной сети в рабочем диапазоне, включенных разъединителях QS3 и QS4 сработало реле Бухгольца (авария) соответствующего тягового трансформатора.;Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
49;ТП-1 требование БПСН выкл. ВМ;"Поступает сигнал ""Требование отключения потребителей БПСН1""";При требовании разгруппировать ТП1, работа вспомогательных машин от ТП-2. Следовать на исправных тяговых преобразователях.
50;ТП-2 требование БПСН выкл. ВМ;"Поступает сигнал ""Требование отключения потребителей БПСН2""";При требовании разгруппировать ТП2, работа вспомогательных машин от ТП-1. Следовать на исправных тяговых преобразователях.
51;"ТП-1 нет сигнала ""Один БПСН""";"При наличии команды разгруппировать ТП2 нет сигнала ""БПСН1 в режиме двойного резервирования"".";"Не включатся потребители группы 2
Следовать до ПТО на исправных секциях."
52;"ТП-2 нет сигнала ""Один БПСН""";"При наличии команды разгруппировать ТП1 нет сигнала ""БПСН2 в режиме двойного резервирования"".";"Не включатся потребители группы 1
Следовать до ПТО на исправных секциях."
53;ТП-1 (или ТП-2) зарезервирован - низкий уровень ОЖ;Уровень охлаждающей жидкости в расширительном бачке установки охлаждения ниже минимальной отметки;Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
54;ТП-1 (или ТП-2) зарезервирован - не включился насос ТП-1(или ТП-2);Не включился контактор К10 для ТП-1 или контактор К11 для ТП-2;Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях.
55;ТП-1 (или ТП-2) зарезервирован - не включился ВО ТП-1 (или ТП-2);Не включился контактор К8 для ТП-1 или контактор К9 для ТП-2;Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях
56;ТП-1 (или ТП-2) зарезервирован - не открылись жалюзи ТП-1 (или ТП-2);Нет контроля открытия жалюзи установки охлаждения ТП-1 (или ТП-2);"Открыть жалюзи установки охлаждения принудительно, запустить электровоз.
Если контроль жалюзи не восстановился следовать до основного депо на исправных тяговых преобразователях"
57;ТП-1 (или ТП-2) зарезервирован - не включился В-УО1;Не включился контактор К4 вентилятора установки охлаждения ТП-1 или контактор К5 вентилятора установки охлаждения ТП-2;Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях
58;ТП-1 (или ТП-2) отключен по требованию ТП без разрядки промежуточных контуров;Требование на отключение от ТП-1 (или ТП-2);Выключить тумблер ГВ. Включить ГВ после снятия требования на отключение. Следовать до ПТО для выяснения причин отключения.
59;ТТ-1 (или ТТ-2) отключен - авария ДТ ТТ-1 (или ДТ ТТ-2);"Сигналы ""Авария ДТ ТТ1"" и ""Авария ДТ ТТ2"" устанавливаются, если:
- ток секции больше суммарного тока потребления преобразователей на 50А;
- отключение ТП-1, ели ток потребления ТП-1 меньше или равен току потребления ТП-2;
- отключение ТП-2, если ток потребления ТП-2 меньше тока потребления ТП-1.";Включить ГВ. Следовать до основного депо на исправных тяговых преобразователях
Тяговые преобразователи;;;
60;ТП-1 (или ТП-2) ошибка программного обеспечения;ПО БУП тяговых преобразователей одной секции отличаются между собой или загружена неверная версия ПО БУП или неверная версия ПО KLIP-станции в БВТ. Сообщение выводится при наличии признака стоянка (скорость движения менее 3 км/ч).;На соответствующей секции в ШНА выключить тумблер ГВ (SA37). Следовать до основного депо на оставшихся секциях.
61;ТП-1 (или ТП-2) ошибка параметров;"ПО БУП выявило недопустимые параметры.
Сообщение выводится при наличии признака стоянка";Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях
62;ТП-1 (или ТП-2) неисправность при выключении тягового преобразователя;БУП не в состоянии разрядить промежуточный контур тягового преобразователя;Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях
63;ТП-1 (или ТП-2) аппаратура БУП повреждена;Сбой модуля БУП;Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях
64;ТП-1 (или ТП-2) оповещение от главного выключателя недостоверно;"Отсутствие сигнала ГВ ""выключен"" при отсутствии от БУП разрешения на включение ГВ";"Выключить ГВ. Включить ГВ после появления сигнала разрешения на включение.
При отсутствии разрешения на включение отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях"
65;ТП-1 (или ТП-2) оповещение от сетевого разъединителя недостоверно.;После включения ГВ пропадает сигнал от разъединителя QS3 для ТП-1 или QS4 для ТП-2.;"Выключить ГВ. Включить ГВ после появления сигнала от QS3 и QS4 о соединении.
Если сигнала нет отключить соответствующий тяговый преобразователь. Если после отключения преобразователя работоспособность секции не восстанавливается, в ШНА выключить тумблер ГВ (SA37). Следовать до ПТО на оставшихся секциях."
66;ТП-1 (или ТП-2) неисправность конденсатора БВТ.;Процессор преобразователя собственных нужд соответствующего тягового преобразователя выявил сбой в работе БВТ.;Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях.
67;ТП-1 (или ТП-2) разгруппирован.;Соответствующий тяговый преобразователь был выключен на основании сбоя или вручную.;Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
68;ТП-1 (или ТП-2) сигнал контактора БВТ недостоверен.;Защита БВТ сообщает в БУП о продолжительном недостоверном обратном сигнале от контактора БВТ.;"Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях.
Если после отключения преобразователя работоспособность секции не восстанавливается, в ШНА выключить тумблер ГВ (SA37). Продолжить движение на оставшихся секциях."
69;ТП-1 (или ТП-2) замыкание на землю.;"Короткое замыкание в тяговом преобразователе:
- цепь инверторов тяговых двигателей;
- цепь преобразователя собственных нужд.";Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях.
70;ТП-1 (или ТП-2) сетевое напряжение за пределами рабочего диапазона.;"Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1 (или ASG 2);
- есть команда на включение ГВ.";Продолжить движение, контроль за работой соответствующего тягового преобразователя.
71;ТП-1 (или ТП-2) сетевое напряжение недостоверно.;Значение напряжения в контактной сети, получаемое БУП от МПСУиД, определяется МПСУиД как недостоверное.;ТП, получающие соответствующий сигнал, не могут быть запущены. Следовать до ПТО на исправных тяговых преобразователях.
72;ТП-1 (или ТП-2) входной ток при ЭЛТ превышает допустимое значение.;Ток потребления тяговым преобразователем превысил максимально допустимое значение;Перед включением ГВ убедиться, что величина напряжения контактной сети находится в рабочем диапазоне. Следовать до ПТО для выяснения причин отказа и осмотра оборудования.
73;ТП-1 (или ТП-2) ошибка предварительной зарядки для движения от стороннего питания.;"Сбой во время зарядки промежуточного контура при питании от сети депо.
Сообщение выводится при наличии признака стоянка.";Повторное включение возможно с выдержкой времени, не более четырёх раз или использовать двигатель, питающийся от другого тягового преобразователя.
74;ТП-1 (или ТП-2) недостаточно напряжения для движения от стороннего питания.;"Напряжение звена постоянного тока тягового преобразователя при задании режима движения в депо ниже минимально допустимого уровня.
Сообщение выводится при наличии признака стоянка.";Повторно включить режим ввода в депо.
75;ТП-1 (или ТП-2) сигнал контактора БВТ недостоверен.;Защита БВТ кратковременно передает недостоверный ответный сигнал в БУП.;Действий не требуется, продолжать движение. Следовать до ПТО для выяснения причин отказа.
76;ТП-1 (или ТП-2) неисправность KLIP;"Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1 (или ASG 2).
KLIP - станция для управления и контроля защиты БВТ сообщает БУП о сбое.";В ШНА выключить тумблер ГВ (SA37). Следовать до основного депо на оставшихся секциях.
77;ТП-1 (или ТП-2) нет связи с обоими каналами МПСУиД.;БУП одного из тяговых преобразователей не принимает сигналы от обоих каналов МПСУиД.;Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
78;ТП-1 (или ТП-2) нет связи с ASG или с KLIP.;"Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1 (или ASG 2);
- есть команда на включение ГВ.
Нарушение связи с инверторами ТЭД или с БВТ.";Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
79;ТП-1 (или ТП-2) ошибка программного обеспечения.;Ошибка связи между двумя БУП одной секции.;Включить ГВ. Если работа секции не восстановится, то отключить преобразователь, от которого пришло сообщение. Следовать до ПТО для выяснения причин отказа
80;ТП-1 (или ТП-2) превышение температуры ASG.;Температура модулей БУП слишком высокая;Отключить соответствующий тяговый преобразователь. Следовать до ПТО на исправных тяговых преобразователях. При понижении температуры БУП попытаться повторно включить тяговый преобразователь.
81;ТП-1 (или ТП-2) превышение температуры ТП;Температура внутреннего пространства тягового преобразователя превзошла максимально допустимое предельное значение.;В случае отключения тягового преобразователя по причине данного сообщения, следовать до ПТО с оставшимися в работе тяговыми преобразователями. При понижении температуры произвести попытку повторного включения.
82;ТП-1 (или ТП-2) температура хладагента слишком высокая;Температура средства охлаждения тягового преобразователя превзошла максимально допустимое предельное значение.;Следовать до ПТО, контролировать работу соответствующего тягового преобразователя. Происходит ограничение момента приводов.
83;ТП-1 (или ТП-2) недопустимое давление хладагента;Давление охлаждающей жидкости тягового преобразователя вне допустимого диапазона.;Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
84;ТП-1 (или ТП-2) постоянное блокирование БПСН.;Сигнальный процессор преобразователя сообщает о длительной блокировке преобразователя на основании опознанного сбоя.;Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
85;ТП-1 (или ТП-2) неисправен датчик температуры БВТ;Температурный датчик трансформатора БВТ выдает в БУП тягового преобразователя недостоверные значения.;Следовать до ПТО. Возможно отключение соответствующего преобразователя.
86;ТП-1 (или ТП-2) 2-я степень нагрева БВТ;Температура обмоток трансформатора в БВТ превысила допустимое предельное значение ступени 2.;"Отключить соответствующий тяговый преобразователь. Следовать до ПТО на оставшихся тяговых преобразователях.
При понижении температуры обмоток трансформатора допускается повторное включение соответствующего преобразователя."
87;ТП-1 (или ТП-2) временное блокирование БПСН;Сигнальный процессор БПСН сообщает о блокировке на основании опознанного сбоя.;Следовать до ПТО. Возможно отключение соответствующего преобразователя.
88;ТП-1 (или ТП-2) нет связи в ASG;Сигнальный процессор преобразователя сообщает о длительной блокировке на основании опознанного сбоя.;"Отключить соответствующий тяговый преобразователь. Следовать до основного депо на исправных тяговых преобразователях.
Возможно включение преобразователя с тестированием компонентов после выключения ВЦУ."
89;ТП-1 (или ТП-2) превышение температуры ТП;Температура внутреннего пространства превысила допустимые значения.;Следовать до ПТО. В случае отключения ТП следовать на оставшихся в работе ТП. При понижении температуры допускается повторное включение ТП.
90;ТП-1 (или ТП-2) температура хладагента превысила допустимые значения.;Температура средства охлаждения тягового преобразователя превысила максимально допустимое значение.;"Следовать до ПТО. Происходит ограничение момента приводов.
Контроль над состоянием хладагента, возможен выброс через редукционный клапан расширительного бачка."
91;ТП-1 (или ТП-2) неисправен датчик температуры ТП.;Датчик температуры ТП выдает недостоверные значения.;Следовать до ПТО.
92;ТП-1 (или ТП-2) замыкание на землю потребителей БПСН.;Система обнаружения короткого замыкания на землю в цепях БВТ сработала и не восстанавливалась продолжительный период времени.;Следовать до ПТО. Происходит ограничение момента приводов.
93;ТП-1 (или ТП-2) неисправность блока управления ТП.;Блок вентиляторов БУП вышел из строя или батарея памяти БУП вырабатывает недостаточное напряжение.;Следовать до основного депо для проверки состояния БУП.
94;ТП-1 (или ТП-2) нет связи с МПСУиД1.;БУП не получает данные от МПСУиД по 1линии связи.;Следовать до ПТО.
95;ТП-1 (или ТП-2) нет связи с МПСУиД2.;БУП не получает данные от МПСУиД по 2линии связи.;Следовать до ПТО.
96;ТП-1 (или ТП-2) замыкание на землю потребителей БПСН группы 1;Сработала защита от короткого замыкания на землю в цепи первого канала вспомогательных машин;Следовать до ПТО.
97;ТП-1 (или ТП-2) замыкание на землю потребителей БПСН группы 2;Сработала защита от короткого замыкания на землю в цепи второго канала вспомогательных машин;Следовать до ПТО.
98;"ТП-1 (или ТП-2)
1-я степень нагрева БВТ";Температура трансформатора тягового преобразователя в БВТ превысила допустимое предельное значение ступени 1;Действий не требуется, продолжать движение
99;ТП-1 постоянное блокирование ТЭД-1 (или ТЭД-2);Есть команда вперед или назад, и есть готовность ТП-1. Сигнальный процессор импульсного преобразователя привода A (или Б) определил сбой привода;Отключить двигатель 1 (привод А) или двигатель 2 (привод Б) Следовать до основного депо.
100;ТП-1 превышение температуры ТЭД-1 (или ТЭД-2).;Есть команда вперед или назад, и есть готовность ТП-1. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 2.;Происходит блокировка привода до достижения необходимой температуры. Следовать до ПТО.
101;ТП-1 обороты ТЭД-1 (или ТЭД-2) недостоверны;"Есть команда вперед или назад, и есть готовность ТП-1. Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG1";Следовать до ПТО.
102;ТП-1 обороты ТЭД-1 (или ТЭД-2) превышают заданные.;Есть команда вперед или назад, и есть готовность ТП-1. Превышение конструкционной скорости локомотива.;Обеспечить снижение скорости движения. Дальнейшее следование с уменьшенной скоростью.
103;ТП-1 превышение температуры привода ТЭД-1 (или ТЭД-2).;Есть команда вперед или назад, и есть готовность ТП-1. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 1.;Происходит ограничение момента привода до достижения необходимой температуры. Следовать до ПТО.
104;ТП-1 превышение температуры инвертора ТЭД-1 (или ТЭД-2).;Есть команда вперед или назад, и есть готовность ТП-1. Температура преобразователя привода A (или Б) превысила максимально допустимое значение;Происходит снижение момента привода. Следовать до ПТО.
105;ТП-2 постоянное блокирование ТЭД-4 (или ТЭД-3);Есть команда вперед или назад, и есть готовность ТП-2. Сигнальный процессор импульсного преобразователя привода A (или Б) определил сбой привода;Отключить двигатель 4 (привод А) или двигатель 3 (привод Б) Следовать до основного депо.
106;ТП-2 превышение температуры ТЭД-4 (или ТЭД-3).;Есть команда вперед или назад, и есть готовность ТП-2. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 2.;Происходит блокировка привода до достижения необходимой температуры. Следовать до ПТО.
107;ТП-2 обороты ТЭД-4 (или ТЭД-3) недостоверны;"Есть команда вперед или назад, и есть готовность ТП-2. Сообщение выводится, если в течение
20 секунд:
- 19 кВ < Uкс < 29 кВ;
- нет тестирования ASG2";Следовать до ПТО.
108;ТП-2 обороты ТЭД-4 (или ТЭД-3) превышают заданные.;Есть команда вперед или назад, и есть готовность ТП-2. Превышение конструкционной скорости локомотива.;Обеспечить снижение скорости движения. Дальнейшее следование с уменьшенной скоростью.
109;ТП-2 превышение температуры привода ТЭД-4 (или ТЭД-3).;Есть команда вперед или назад, и есть готовность ТП-2. Температура тягового двигателя привода A (или Б) превысила максимально допустимое значение ступени 1.;Происходит ограничение момента привода до достижения необходимой температуры. Следовать до ПТО.
110;ТП-2 превышение температуры инвертора ТЭД-4 (или ТЭД-3).;Есть команда вперед или назад, и есть готовность ТП-2. Температура преобразователя привода A (или Б) превысила максимально допустимое значение;Происходит снижение момента привода. Следовать до ПТО.
Вспомогательные машины;;;
111;Не включается К12;Если при выданной команде на включение К12 в течение 2 секунд отсутствует сигнал о включении К12 (провод 468);Включается контактор К13. Следовать до ПТО.
112;Не включается К13;Если при выданной команде на включение К13 в течение 2 секунд отсутствует сигнал о включении К13 (провод 469);Включается контактор К12. Следовать до ПТО.
113;Не включается ВО-БВТ;Устанавливается требование разгруппировки ТП1 и ТП2.;Следовать до основного депо на исправных тяговых преобразователях.
