к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ10М, 2ТЭ10МК, 2ТЭ10У, 2ТЭ10УК;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
18;При повышении температуры воды и масла вентилятор холодильника не увеличивает частоту вращения;Неисправны датчики ДТПМ;Перейти на ручное управление.
19;При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются;Не включается микропереключатель;Перейти на ручной режим открытия жалюзи
20;Вышел из строя механический топливный насос дизеля;Заклинил топливный насос с приводом от дизеля.;Перейти на аварийный топливоподкачивающий агрегат включением тумблера ТНА.
21;При наборе 1-позиции не собирается цепь трогания;Не включается КВ, ВВ, РУ-2;Проверить блокировки в цепи РУ-2, положение Д2, дверных створок ВВК, давление воздуха в ТМ, температуру воды и масла
22;"В пути следования нет нагрузки при исправной схеме движения, нет зарядки БА, занижены мощность или не включаются ВШ при включенном тумблере ""ТУП""";Неисправна УСТА;"Для перезапуска системы переключить автомат ""питание УСТА"" или при включенном автомате переключить тумблер на БР УСТА.
Если работа УСТА не восстанавливается, то:
1. Сначала выключить автомат ""Питания УСТА"" или тумблер на БР
2. Затем отключить все ШР у БР, кроме нижнего правого.
3. Проверить включены ли ШР у БРН.
4. Переключить АР в ""аварийное"" положение."
23;Занижена мощность ДГУ;Неисправность механического или электрооборудования тепловоза;"Причины заниженной мощности:
1. Неисправность ОМ1-6 (проверка постановкой перемычки в обход всех ОМ)
2. Неисправность РУ-10 (визуальный осмотр, с 4-й позиции)
3. Неисправность индуктивного датчика (визуальный осмотр, при наборе позиций подвижный сердечник ИД не перемещается вглубь катушки)
4. Неисправность ВП-6 (дует воздух по вентилю, рычаги вверх, давит дизель, при выявлении снять фишку с ВП-6)
5. Заклинило ТНВД (проверка поднятием поводка на свободность хода, при выявлении отключить ТНВД)
6. Неисправность цилиндрового комплекта (проверка поднятием поводка ТНВД на посторонние хлопки в ТК, при выявлении отключить ТНВД)
7. Неисправность датчика числа оборотов (проверка отсоединением ШР с датчика и последующей перезагрузкой УСТА)
8. Слетела тяга с выходного вала ОРД
9. Неисправность механизма захлопки (слабая пружина, не зафиксирован ""стакан"" стопором)
10. Мало давление надувочного воздуха с 8 позиции (на 15 позиции должно быть 1,4-1,8 кгс/см2)
11. Не работает корректор наддува ОРД (проверить целостность трубки от ресивера к корректору)"
24;Снижение уровня воды в расширительном баке;Утечка воды из системы;Немедленно снять нагрузку и после снижения температуры воды остановите дизель.
25;Дизель работает с дымным выхлопом:;Неполное сгорание топлива;Поочередным отключением топливных насосов выявить неисправную форсунку и отключите насос. Разрешается работать до прибытия в депо при одном отключенном насосе, при двух - на всех позициях, кроме 3, 4, 5-й и 6-й.
26;Дизель работает неустойчиво, наблюдается резкое колебание частоты вращения (по тахометру);Недостаточное количество или отсутствие масла в ОРМ;Добавить масло в регулятор.
27;Чрезмерный нагрев подшипниковых узлов распределительного редуктора;Недостаточное количество или отсутствие смазки;Проверить трубопровод подвода смазки и состояние вентилей
28;Вышел из строя топливоподкачивающий агрегат дизеля;Заклинил топливный насос с приводом от дизеля.;Перейти на аварийный топливоподкачивающий агрегат включением тумблера ТНА.
;;;
