к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС4К;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
;;Поломка токоприемника.;
;;Перекрытие опорного изолятора дросселя помехоподавления.;
Неисправности цепи управления источников питания;;;
3;"При включении выключателя ""Возврат защиты"" блока выключателей S20 не включается быстродействующий выключатель QF1.";Не включаются контактора KM-33 данной секции. Отказ блока А5.;"Убедиться в зарядке А.Б.(110-120V) в случае если одна из А.Б.менее 90V опустить токоприёмники отключить ПСН, МСУД, перевести рубильники данной батареи в аварийный режим. Поднять токоприемники и запустить электровоз обычным порядком. Управление движением осуществлять в ручном режиме.
Отключить неисправную секцию."
4;Загораются индикаторы ЗБ (заряд батареи).;Перегорела плавкая вставка предохранителя FU1 в цепи первичной обмотки силового трансформатора шкафа питания.;По показанию амперметра проверить наличие зарядного тока. При наличии плавкой вставки в ЗИПе произвести замену. При отсутствии плавкой вставки произвести отключение неисправной аккумуляторной батареи путем переключения рубильника SA1 (SA4) в аварийный режим в неисправной секции.
5;Отсутствует ток подзаряда аккумуляторной батареи. Индикатор ЗБ (Заряд батареи) не горит.;Перегорела плавкая вставка предохранителя FU3 или FU4 в цепи аккумуляторной батареи. Не открывается тиристор VS3 шкафа питания.;
6;"При постановке контроллера в 1 позицию схема не собирается, дисплей МСУД выдаёт информацию ""Не развернулся реверсор"" (QP1) либо (QP-2) одной из секций.";Неисправен реверсор QP1,2.;"Произвести поворот реверсоров в положение ""Назад"". ""Вперед"" - И произвести повторную попытку сбора схемы. В случае если схема не собирается и неисправность повторяется, произвести отключение пары тяговых двигателей неисправного реверсора путем выключения тумблеров S55-58 на блоке N 2. Движение будет осуществляться на 6 ТЭД на С соединении, 4 ТЭД на СП соединении, 6 ТЭД на П соединении. При возможности следования на одной секции отключить неисправную секцию."
7;"При включении выключателя ""Компрессоры"" блока выключателей S20 один из электродвигателей компрессора не запускается.";Сработал АЗВ SF19 из-за к.з. в цепи провода Н019.;Осмотреть положение автоматов на блоке N 2, если автоматы отключены, произвести повторное включение автоматов и произвести операцию. При повторном срабатывании автоматов защиты на блоке N 2, отключить неисправный компрессор тумблером S14(компрессор) на блоке N 2, движение продолжить на исправном компрессоре.
;;Сработал АЗВ SF24 из-за к.з. в цепи провода Н024;
;;Сработал АЗВ SF72 или SF74 из-за к.з. в цепи провода Н56 (Н58).;
;;"Неисправен выключатель МПСУ или ""Компрессор"".";
;"При включении выключателя ""Компрессоры"" блока выключателей S20 один из электродвигателей компрессора не запускается.";Обрыв какого-либо из проводов Н019, Н024, Н56 (Н58).;Осмотреть положение автоматов на блоке N 2, если автоматы отключены, произвести повторное включение автоматов и произвести операцию. При повторном срабатывании автоматов защиты на блоке N 2, отключить неисправный компрессор тумблером S14(компрессор) на блоке N 2, движение продолжить на исправном компрессоре.
;;Не включился контактор КМ11, КМ19.;
;;Неисправен выходной блок ПСН.;
8;При пуске электродвигателя М9 компрессора не гаснут индикаторы ДМ (или загораются при работе компрессора).;Неисправен масленый насос компрессора.;Проверить уровень масла в картерах компрессора. Отключить неисправный компрессор тумблером S14(компрессор) на блоке N 2, движение продолжить на исправном компрессоре
9;При работе электродвигателя М9 компрессора загорается индикатор МК. При этом на экране блока индикации А78 отражается причина.;Сработало тепловое реле КК19 в цепи электродвигателя компрессора.;Восстановить тепловое реле кратковременным включением выключателя ВОЗВРАТ ЗАЩИТЫ. Если произойдет повторное срабатывание реле, то отключить неисправный компрессор.
10;При включении выключателя ПСН блока выключателей S20, ПСН не запускается.;Сработал АЗВ SF25,24 ПСН или АЗВ SF72.74 аппаратов цепи управления.;"Осмотреть положение автоматов на блоке N 2 и на щите помощника машиниста. Если автоматы отключены произвести повторное включение. В случае, если не запускается ПСН одной из секций, перейти на питание от другой секции путем переключения рубильника аккумуляторной батареи SA1, SA4 в аварийной секции.
Цепи управления и тяговые двигатели будут работать от питания одного исправного ПСН, управление движением осуществлять только в ручном режиме."
11;"При работе электровоза загораются индикаторы ""ПСН"", ""БВ"" на блоке индикации А78.";"Сработали АЗВ SF19. SF24 на блоке N 2 или АЗВ SF72 (SF74) ""аппаратов цепей управления"".";Произвести визуальный осмотр аппаратуры, при отсутствии неисправности, восстановить автоматы. При повторном отключении автоматов перевести на работу аппаратуры от исправного ПСН.
12;"При постановки 1-ой позиции, отключает быстродействующий выключатель QF1, дисплей МСУД выдает информацию: ""Не готов блок А5, перегрузка секции"", на блоке индикации А78 горит лампа БВ.";Короткое замыкание в силовой цепи.;"Рукоятку контроллера поставить в положение ""0"", проверить положение указателя ""Реле перегрузок ТД"".
Блок N 1 в ВВК ""КА11 реле перегрузки 1-2 ТЭД), блок N 8 в ВВК (КА 21 реле перегрузки 3-4 ТЭД).
Через архив сообщений, убедиться в какой секции неисправность, при возможности следования на одной секции, отключить неисправную секцию на пульте помощника машиниста.
При отсутствии возможности следования на одной секции, методом поочередного отключения-включения тяговых двигателей тумблерами S55-S58 на блоке N 2 определить неисправную группу тяговых двигателей. Если неисправность таким образом не удалось устранить и защита срабатывает повторно, то методом поочередного отключения-включения пусковых сопротивлений тумблерами S63-S66 определить неисправную группу пусковых сопротивлений. При повторном срабатывании защиты следовать на исправной секции."
13;"При срабатывании БВ1, после повторного включения, работа БВ1 не включается, на МСУД высвечивается информация ""Отказ QF-11(QF-21)"", горит сигнальная лампа БК на блоке индикации А78.";Не включились контактора QF11 (QF-21).;"Через архив сообщений, убедиться в какой секции неисправность, при возможности следования на одной секции, отключить неисправную секцию на пульте помощника машиниста.
В случае появления на дисплее МСУД информации ""отказ QF-11 секции N 1"", необходимо на блоке N 2 в коридоре на ходу отключить тумблер S55 (Отключение 1-2 ТЭД), движение будет осуществляться на 6 ТЭД на С соединении, 4 ТЭД на СП соединении, 6 ТЭД на П соединении.
Если выдаётся отказ QF-21, секции N 2, необходимо на блоке N 2 в коридоре, на ходу отключить тумблер S56 (отключение 3-4 ТЭД), движение будет осуществляться аналогично вышеуказанному.
Если выдаётся отказ QF-21, секции N 2, необходимо на блоке N 2 в коридоре, на ходу отключить тумблер S57 (Отключение 5-6 ТЭД), движение будет осуществляться аналогично вышеуказанному.
Если выдаётся отказ QF-11, секции N 2, необходимо на блоке N 2 в коридоре, на ходу отключить тумблер S58 (Отключение 7-8 ТЭД), движение будет осуществляться аналогично вышеуказанному."
14;"При включении выключателя ""Вентиляторы"" блока выключателей S20 не запускаются электродвигатели М5, М7 вентиляторов.";Не включились пускатели КМ68, КМ69.;По показаниям блока индикации МСУД определить неисправный вентилятор и произвести отключение на блоке N 2 тумблером S11 - S12 с одновременным отключением пары тяговых двигателей, охлаждаемых данным вентилятором. Движение будет осуществляться на 6 ТЭД на С соединении, 4 ТЭД на СП соединении, 6 ТЭД на П соединении. При возможности следования на одной секции отключить неисправную секцию на щитке помощника машиниста.
;;Сработали тепловые реле пускателей КМ68, КМ69 в цепи электродвигателя соответствующего вентилятора.;Включить пускатели после кратковременного включения выключателя ВОЗВРАТ ЗАЩИТЫ. Если произойдет повторное срабатывание реле, то отключить электродвигатель вентилятора с помощью соответствующего тумблера.
15;При пуске электродвигателей М5, М7 вентиляторов не гаснут индикаторы ВМ (или загораются при работе электродвигателей.;Сработал АЗВ SF20 из-за к.з. в цепи провода H020.;Осмотреть положение автоматов на блоке N 2 и элементов цепей управления вентиляторами на наличие неисправности. Если автоматы отключены и неисправности при визуальном осмотре не выявлено произвести повторное включение автоматов на блоке N 2 и повторить операцию. При повторном срабатывании автоматов защиты на блоке N 2, выявить и отключить неисправный вентилятор и соответствующие тяговые электродвигатели.
;;Сработал АЗВ SF24 из-за к.з. в цепи провода Н024.;
;;Сработал АЗВ SF72 (SF74) из-за к.з. в цепи провода H56 (H58).;
16;"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.";Вышли из строя предохранители F1, F2 в блоках U15, U25.Нет импульсов управления на управляющих переходах тиристоров VS блоков U15, U25.;Заменить предохранители. Если при повторном включении возбудителей неисправность повторяется, отключить выключатель возбудителей на блоке S20 и продолжить движение на последовательном возбуждении тяговых двигателей в ручном режиме. Без применения электрического торможения.
Неисправности цепи управления в режиме электрического торможения;;;
17;Отключение линейных (реостатных) контакторов в режиме электрического торможения.;Сработал АЗВ SF24 из-за к.з. в цепях управления контакторами КМ55, КМ75, КМ77 (КМ78) или АЗВ SF71 (SF73) АППАРАТУРА 1-1 (АППАРАТУРА 1-2) из-за к.з. в цепи провода Н55 (Н57).;Произвести повторное включение автоматов и следовать без применения электрического торможения.
;;Обрыв какого-либо из проводов Н024, Н55 (Н57).;
;;Не включился контактор КМ77 (КМ78).;
Неисправности цепи управления в режиме тяги;;;
18;При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.;Сработало реле дифференциальной защиты КА1.;Произвести повторное включение реле. путем кратковременного включения выключателя ВОЗВРАТ ЗАЩИТЫ. При повторном срабатывании отключить неисправную секцию на щитке помощника машиниста.
При работе электровоза в системе ручного регулирования;;;
19;При перемещении рукоятки главного вала контроллера машиниста в рабочее положение ток в цепи тяговых двигателей отсутствует.;Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.;Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) исправной секции.
20;В режиме тяги возникают броски тока и срабатывают быстродействующие выключатели.;Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.;Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) исправной секции.
При работе электровоза в системе автоматического регулирования;;;
21;При задании тока тяговых двигателей в режиме тяги ток не появляется.;Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.;Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции.
22;При задании тормозной силы в режиме электрического торможения токи якоря и возбуждения тяговых двигателей не появляются.;Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.;Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции
23;При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.;Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.;Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции.
При работе электровоза в системе автоведения;;;
24;Не собирается силовая схема электрического торможения по команде МПСУ.;Неисправен МПК1 (МПК2) секции 1 или секции 2.;Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции.
;;;
Примечание: при срабатывании теплового реле в цепи электродвигателей вентиляторов, компрессора допускается однократное повторное включение, при срабатывании аппарата защиты QF1 (ВБТ) допускается двукратное повторное включение указанного аппарата. Последующее включение аппарата защиты без выяснения и устранения причины запрещено.;;;
;;;
