к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП1, ЭП1М;;;
;;;
N;Неисправность;Неисправность и признаки;Метод устранения
Цепи вспомогательных машин;;;
9;"При пуске электродвигателя компрессора - М15 или М16, не гаснут индикаторы ""ДМ1"" или ""ДМ2"" (или загораются при работе компрессора), а также появляется информация на экране блока индикации о неработающем маслонасосе компрессора";Неисправен маслонасос компрессора.;"Отключить соответствующий компрессор.
Следовать на одном компрессоре."
10;"При включении выключателей ""Вентилятор 1"", ""Вентилятор 2"", ""Вентилятор 3"" - не запускается электродвигатель соответствующего вентилятора.";"Сработал АЗВ SF29 (SF30) ""Вентиляторы"".
К.З. в цепях управления контакторами КМ11, КМ12 или КМ13.
Неисправен выключатель: Вентилятор 1, Вентилятор 2, Вентилятор 3.
Обрыв проводов Н029 (Н030), Н250, Н254, Н259.
Не включился контактор КМ11-КМ13.";"Повторно включить АЗВ SF29 (SF30).
При повторном отключении АЗВ SF29 (SF30), отключить неисправный вентилятор."
11;"При работе электровоза электродвигатели вентиляторов 1-3 и электронасоса после переключения на низкую частоту вращения (загораются индикаторы ""НЧ"") работают неустойчиво (слышатся посторонние звуки, хлопки). Светодиоды блока А5 преобразователя U5 мерцают неравномерно.";Нарушение алгоритма подачи импульсов управления силовыми тиристорами преобразователя U5.;"Выключить тумблер ""ПЧФ""."
12;Нет запуска вспомогательных машин;Обрыв или короткое замыкание в цепи вспомогательных машин.;"Проверить:
- напряжение АБ (не менее 40В);
- давление в цепях управления (не менее 5 атм.);
- напряжение контактной сети (не менее 19 КВ);
- включение контакторов КМ1, КМ2, КМ3, а также реле времени КТ6;
-включения автомата SF25(SF26);
В случае срабатывания восстановить работу ТРТ путем нажатия на кнопку ""Возврат реле"" на ПУ или принудительным нажатием в ручную на блоке N 12;
При неисправности кнопочного переключателя ""Вспомогательные машины"" включить кнопку ""Вспомогательные машины"" из задней кабины.
Визуально убедиться в отсутствии приваривания контактов контакторов КМ-11, КМ-12, КМ-13, КМ-17.
При повторном срабатывании автомата SF25(SF26):
- кнопку ""Вспом. машины"" или автомат не включать;
- заклинить КМ-1, КМ-2, КМ-3, КТ-6, КТ-10 (блок N 12);
- для запуска маслонасоса установить перемычку, при нулевом положении реверсивной рукоятки, на провод Н283 (блокировки реле KV-41) от провода Н42 (""+"" катушки KV15);
- запуск мотор-вентиляторов производить без выдержки времени (через 2 сек.);
Включение мотор-компрессоров и перевод реверсивной рукоятки без включенных мотор-вентиляторов запрещен."
13;Нет запуска мотор-вентиляторов;Обрыв или короткое замыкание в цепи мотор-вентиляторов.;"Проверить включенное состояние автоматического выключателя SF29 (SF30).
В случае срабатывания восстановить работу ТРТ путем нажатия на кнопку ""Возврат реле"" на ПУ или принудительным нажатием в ручную на блоке N 12.
Нажать кнопку S23 (S24) ""Компрессор"" (проверяем сбор схемы запуска вспомогательных машин).
Если надо доехать и компрессоры работают - подать питание на провод Н632 (клеммная рейка Х59 с слевой стороны блока N 14) от провода Н400 (клеммная рейка Х55 с слевой стороны блока N 14) или клиним KV46, едем без вентиляторов.
На стоянке установить изоляцию проводов Н611, Н613, Н615 в блокировках контакторов КМ-7, КМ-8, КМ-9 (обратная сторона блока 12, первая блокировка).
Поставить перемычку с ""-"" провода Н619 любой из катушек КМ-11, 12, 13 на ""землю"".
Для запуска МВ-1 установить перемычку на провод Н611 (ТРТ контактора КМ-11) с ""+"" катушки КМ-19 (КМ-20). Запуск тумблером ""Печи Ступень-1"".
Для запуска МВ-2 и МВ-3 установить перемычку на провода Н613 и Н615 (ТРТ контакторов КМ-12 и КМ-13) с ""+"" катушки КМ-21 (КМ-22). Запуск тумблером ""Печи Ступень-2""."
14;Нет запуска мотор-компрессоров;Обрыв или короткое замыкание в цепи мотор-компрессоров.;"Если на табло сигнализации горят лампы ДМ и МК и отсутствует запуск мотор-компрессоров - сработали ТРТ. Перед тем, как взвести вручную ТРТ, включить на пульте управления тумблеры ""Вспомогательные машины"" и ""Компрессор"" и при нажатии на ТРТ визуально убедиться в включении КМ15 и КМ16.
Если один контактор не включается - проверить отстутвие залипания (приваривания) контактов."
;;;"Если на табло сигнализации не горят лампы ДМ и МК:
Проверить и перезапустить автомат ""Компрессоры"".
Нажать кнопку S23 (S24) ""Компрессор"".
Запустить мотор-вентиляторы (проверяем включение КТ-6).
Выключаем на ЩПР тумблеры S15 ""Компрессор-1"" и S16 ""Компрессор-2""
Устанавливаем перемычку на провод Н273 или Н277 (клеммная рейка Х59 с слевой стороны блока N 14) от провода Н211 блокировки реле KV41 (блок N 14), включение компрессоров производим нажатием и удержанием кнопки ""Возврат защита"". При отсутствии ""короткого замыкания"" на клеммной рейке Х59 соединяем провода Н273 и Н277 или едем на одном компрессоре.
При работе с помощником машиниста на стоянке ставим перемычку с ""+"" катушки КМ-19 (КМ-20, 21, 22 ""Печи"" (""+"" на всех катушках СЛЕВА) на ""+"" катушки КМ-15 или КМ-16 (или на оба, если нужно)."
Тяговый режим;;;
15;"При работе электровоза:
в режиме ""ТЯГА"" загораются индикаторы ""ТД1-ТД6"", ""ВИП"", ""В3"";
в режиме ""ЭЛЕКТРИЧЕСКОЕ ТОРМОЖЕНИЕ"" загораются индикаторы ""ТД1-ТД6"", ""ВИП"", ""ВУВ"", ""ВЗ"".";Сработало тепловое реле КК13 в цепи электродвигателя вентилятора М13, работающего на нормальной частоте вращения;Восстановить тепловое реле КК13 и включить электродвигатель вентилятора.
16;"При работе электровоза в режиме ""ЭЛЕКТРИЧЕСКОЕ ТОРМОЖЕНИЕ"" загораются индикаторы ""ТД1-ТД6"", ""ВИП"", ""ВУВ"", ""В4"".";Сработало тепловое реле КК14 в цепи электродвигателя вентилятора М14.;"Восстановить тепловое реле КК14 и повторно включить электродвигатель вентилятора М14.
Если произойдет повторное срабатывание реле, отключить электродвигатель путем перевода главной рукоятки контроллера машиниста в положение ""0"".
Дальнейшая работа электровоза возможна, только в режиме ""ТЯГА""."
17;"При работе электровоза в режиме - ""ТЯГА"" загораются индикаторы ""ТД1-ТД6"", ""ВИП"", ""ТР-Р""; в режиме - ""ЭЛЕКТРИЧЕСКОЕ ТОРМОЖЕНИЕ"" загораются индикаторы ""ТД1 ""- ""ТД6"", ""ВИП"", ""ВУВ"", ""ТР-Р"".";Сработало тепловое реле КК17 в цепи электродвигателя электронасоса М17.;Восстановить тепловое реле КК17 и повторно включить электродвигатель электронасоса тягового трансформатора.
18;"Не собирается схема ""Тяги"" или срабатывает автоматический выключатель ""Тяга""";Обрыв цепи или короткое замыкание в цепи схемы тяги.;"Старый электровоз (до модернизации) с автоматами ""Переключатели"" - включить принудительно KV-15
Новый электровоз (после модернизации), в том числе ЭП1М,П - включить принудительно KV-21, KV-22, KV-23, KV-15 (с контролем положения реверсоров), на ЭП1М, П дополнительно заклинить KV-13 (тифон).
Если после постановки контроллера машиниста в положение ""П"" горит ""СИ"" - на клеммной рейке МСУД кратковременно установить перемычку на провод Н91(Н92) в зависимости от кабины управления (третий ряд вверху) от любого ""+"" (или от ""+"" АБ). На ЭП1М, П перемычка Н91(Н92) на ""+"" постоянно.
На блокировках реле KV-22 ставим изоляцию в блокировках А8 - А254 (на любом пакете КЛУБ).
Если после сбора аварийной схемы выбивает автомат ""МПК1,2"" - на клеммной рейке МСУД отнимаем провод Н85.
Рекуперацией не пользуемся!"
19;"Не гаснет лампа ""ВИП""";Обрыв цепи в КМ-41 (КМ-42);"Проверить:
- включение реле KV15 (блок N 14);
- включение автоматического выключателя SF19(SF20) ""Тяга"";
- включение реле КТ10 (блок N 12);
- включенное состояние ключа ЭПК;
- наличие давления в ТМ;
- включение КЛУБ;
- включение МСУД;
- включение KV21, KV22 (блок N 14) или по МСУД;
- включение KV13, KV14 (блок N 1);
- выключение KV12;
- тормозные переключатели в режиме ""Тяга""(штока утоплены);
- реверсора развёрнуты в положение ""Вперед"" или ""Назад"";
Если все условия соблюдены:
- включить принудительно KV15 и КТ-5 (блок 14) и KV-23 (блок 4);
- включить принудительно КМ-41, КМ-42."
20;Нет нагрузки на ТЭД при погасшей лампе ВИП;Обрыв или короткое замыкание в цепи предохранителя F-17;Проверить исправность предохранителя F-17, при необходимости заменить (F-11, 12, 13, 14).
;;;"На локомотивах, где есть тумблер ""Сельсины аварийно"":
Проверить сбор схемы тяги на ""Ручном регулировании"".
Переключить тумблер ""Сельсины аварийно"".
Не помогло - проверяем светодиоды блока А51, А52 (над шкафом МСУД):
- если не горят - сгорел F17 (блок 12)
- если горят - сгорел F45 или F46 (блок 8).
Для проверки работоспособности контроллеров МСУД перезапустить аккумуляторную батарею. Если не помогло поменять кабину. Если в задней кабине всё исправно - неисправен контроллер передней кабины, заказываем вспомогательный локомотив.
Если в задней кабине сельсины тоже не работают, то в передней кабине ставим перемычки с печи машиниста на рейки проводов Н626, Н624 (под текстолитовой крышкой в КМЭ). Левые провода с рейки отнимаем.
Для проверки предохранителей F39, F40 включаем на ВИП тумблер ""Сеть"" (включить и выключить) - если загорается светодиод, то предохранители исправны.
Включаем тумблеры ""50В"" на блоках А61, А62 (над ВИП), включаем тумблер ""Печи Ступень-2"", включаем тумблер S67 (S68) ""Ручное регулирование""."
;;;"На локомотивах, где отсутствует тумблер ""Сельсины аварийно"":
Проверяем на ВИП тумблер ""Сеть"" (включить и выключить) - если загорается светодиод, то значит предохранители F39, F40 целые. Включаем тумблеры ""50В"" на блоках А61, А62 (над ВИП). Включаем тумблер S67 (S68) ""Ручное регулирование""."
21;Не подключаются БВ;Обрыв или короткое замыкание в цепи F-37.;"Заменить предохранитель F-37.
Если сгорает повторно:
- установить изоляцию в блок-контактах рубильников отключения ТЭД (QS-11, 12, 13);
- с блокировки собственных катушек БВ установить перемычку с провода Н400 на ""+"" удерживающих катушек БВ.
БВ включаем нажатием вручную на грибок каждой включающей катушки.
Включить принудительно КМ-41, КМ-42."
Цепи тяговых электродвигателей;;;
22;"При работе электровоза загораются индикаторы ""ГВ"", ""ТД1-ТД6"" и ""РЗ"" (а также ""ВИП"", ""ВУВ"" в режиме ""ЭЛЕКТРИЧЕСКОЕ ТОРМОЖЕНИЕ"").";"Сработало реле заземления ""KV1"" вследствие замыкания на ""землю"" в цепях питания тяговых электродвигателей.";Поочередным отключением ВИП разъединителями QS3-QS6 и тяговых электродвигателей разъединителями QS11-QS13 определить поврежденный участок цепи.
Система регулирования;;;
23;При перемещении главной рукоятки контроллера машиниста в рабочее положение. Ток в цепи ТЭД отсутствует.;"Неисправен микроконтроллер МПК1 (МПК2) блока управления (шкафа МСУД)
А55.";Тумблером S67 (S68) переключить аппаратуру МСУД-Н (МСУД) на работу от микроконтроллера МПК2 (МПК1).
Авторегулирование;;;
24;"При задании тока тяговых электродвигателей в режиме ""ТЯГА"" ток не появляется";"Неисправен микроконтроллер МПК1 (МПК2) блока управления (шкафа МСУД)
""А55"".";Тумблером S67 (S68) переключить аппаратуру МСУД-Н (МСУД) на работу от микроконтроллера МПК2 (МПК1).
МСУД;;;
25;Нет запуска МСУД;Обрыв или короткое замыкание в цепи МСУД.;"Проверить:
- включенное положение автоматов SF85 ""МСУД"", SF91 ""МКП1"" или SF92 ""МКП2"" на блоке N 3;
- включенное положение переключателя кабин SA3 (SA4) (должен быть включен только один для той кабины, где включена БУ N 367);
- нулевое положение главной рукоятки КМ (включено реле KV21).
При погасшем блоке индикации МСУД произвести сбор схемы тяги в автоматическом и ручном регулировании, проверить включенное положение реле KV14 (блок N 1).
Способ N 1:
Клиним КМ-43 (обратная сторона блока 12). Отключаем SF85, 86, 87, 88,89,91,92,93 (все на ЩПР). С провода Н05 (SF86 (новый дисплей МСУД выдержит и с Н010 SF85)) перемычка на провод А1 блокировок KV-63 (КМ-63) при включенном реле (А2 при выключенном реле).
Способ N 2:
При включении кнопки ""МСУД"" выбивает SF85 (SF86), или не горит дисплей, нет контакта в кнопке. Кнопку ""МСУД"" не включаем. Взводим SF85 (SF86), отключаем SF87, 88,89,91,92,93 (все на ЩПР). Клиним КМ-43 (обратная сторона блока 12) и включаем SF91. Проверяем KV-14 (блок N 1), если включено - схема должна работать даже при погасшем дисплее. Если KV-14 выключено, отключаем SF91 и клиним KV-63 (КМ-63), включаем SF92, переключаем SF85 (SF86). Если после заклинивания КМ-43 выбивает SF85, отключаем SF87,88,89,91,92,93. Взводим SF85, включаем SF91. Выбило SF85 - клиним KV-63 (КМ-63), взводим SF85 и SF92. Выбило SF85 - заказываем вспомогательный локомотив."
;;;
