к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ25КМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
;Низкое давление масла в системе смазки.;Пропуск масла по соединениям трубопровода.;Устранить утечки масла в трубопроводе масляной системы. При уровне масла ниже минимальной отметки остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду.
;;Недостаточное количество масла в картере дизеля;Проверить уровень масла в картере дизеля. При уровне масла ниже минимальной отметки остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду.
10;Появление давления в картере (показания дифманометра, дымление из заливной горловины, повышенная течь масла по местам соединений и люкам).;Неисправен поршень (имеется трещина или прогар, разрушение уплотнительных колец);Немедленно остановить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду.
11;Посторонний стук, внезапно возникший при работе дизеля.;Неисправность шатунно-поршневой группы.;Немедленно остановить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду.
12;Дизель-генератор не запускается, в процессе запуска, вал силового сервомотора регулятора дизеля не перемещается на подачу топлива;Нарушена связь УОИ и электронного регулятора частоты вращения дизеля или нет питания на регулятор.;Проверить кабель связи УОИ и ЭРЧМ30Т.
13;Неустойчивая работа дизеля на холостом ходу.;Тугой ход привода к топливным насосам, заедание рейки ТНВД.;Отключить неисправный ТНВД.
14;Частота вращения коленчатого вала дизеля по позициям не соответствует номинальной.;Возможно нарушение контакта в фишке объединенного регулятора.;Проверить крепление разъема фишки объединенного регулятора.
;;Неисправность ТНВД.;Отключить неисправные ТНВД, но не более двух.
15;Повышенная течь топлива из сливной трубки форсунки или топливного насоса.;Неисправность ТНВД или форсунки.;Отключить неисправный ТНВД, но не более двух.
16;Невозможность продолжения движения из-за низкого давления топлива на 15 позиции контроллера машиниста.;Загрязнение топливных фильтров.;Включить виртуальным тумблером топливоподкачивающий агрегат в постоянный режим работы. После прибытия в депо необходимо промыть топливные фильтра.
17;В отдельном цилиндре понизилась температура выпускных газов и давление сгорания.;Неисправность ТНВД или форсунки.;Отключить неисправный ТНВД.
18;Дизель идет в разнос.;Нарушен привод регулятора дизеля.;Заглушить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду.
19;Снижение уровня воды в расширительном баке.;Утечка воды из системы охлаждения.;Немедленно снять нагрузку и остановить дизель. Выяснить причину утечки, при возможности устранить. При невозможности, при отрицательной температуре наружного воздуха, слить охлаждающую воду.
20;Снимается нагрузка, появляется тревожное сообщение о сбросе нагрузки. Сработали термореле воды или масла.;Перегрев воды охлаждения дизеля или масла.;Проверить работу вентиляторов и открытие жалюзи холодильной камеры. Если жалюзи не открываются автоматически, открыть их вручную.
;;;Проверить уровень воды в расширительном баке. При отрицательной температуре наружного воздуха и отсутствия требуемого уровня охлаждающей жидкости в расширительном баке, охлаждающую жидкость слить.
21;"При следовании тепловоза произошел сброс нагрузки с появлением тревожного сообщения ""Срыв шестерни ТЭД""";Проворот малой шестерни на валу ТЭД, излом зубьев шестерен зубчатой передачи.;Отключить неисправный ТЭД выключателем ОМ-1...ОМ-6.
Электрооборудование;;;
22;Перегорание плавкой вставки предохранителя ПР4 в цепи масляного насоса или ПР5 в цепи топливного насоса;Заклинивание вала насоса или короткое замыкание;Устранить заклинивание, причину короткого замыкания, заменить плавкую вставку ПР4 или ПР5
23;"При включении виртуального тумблера ""Топливный насос"" не работает топливный насос.";Перегорел предохранитель ПР5 (вставка 25А);Заменить предохранитель
;;Заедание щеток в щеткодержателях электродвигателя топливоподкачивающего насоса;"Устранить ""заедание"" щеток"
24;"При нажатии на кнопку ""Пуск дизеля"" маслопрокачивающий насос не работает";Перегорел предохранитель ПР4 (вставка 125 А);Заменить предохранитель
;;Заедание щеток в щеткодержателях электродвигателя маслопрокачивающего насоса;"Устранить ""заедание"" щеток"
25;"Произошел сброс нагрузки и тревожного сообщения ""Пробой силовой цепи (РЗ)""";Пробой изоляции силовой цепи;"Выявить неисправный ТЭД.
Отключить соответствующий."
26;При автоматическом управлении холодильной камерой не включается: боковые жалюзи верхние жалюзи);"Обрыв цепей электропневматических вентилей; Нарушение работы механизма открытия жалюзи или магистрали подвода воздуха";Устранить обрыв. Откройте жалюзи ручным приводом. Контролировать температуру теплоносителей по показаниям на дисплее.
;Электродвигатели вентиляторов;Отключились автоматические выключатели QF1-QF4.;Необходимо повторно включить автоматические выключатели.
;При ручном (дистанционном) управлении холодильной камерой не включаются жалюзи и электродвигатели вентиляторов;"Нарушен контакт тумблера ""УПРАВЛЕНИЕ ХОЛОДИЛЬНИКОМ"" в положении ""ручное"";
Нарушен контакт в тумблере Т1 - Т4 или в штепсельном разъеме.";Открыть жалюзи ручным приводом. Восстановить контакт. Проверить правильность включения автоматических выключателей QF1-QF4.
27;Компрессор не запускается при низком давлении в питательной магистрали;Не работает датчик давления питательной магистрали ВР18.;Проверить датчик. В случае его поломки возможно производить пуск компрессора вручную.
;;Отсутствует сигнал готовности компрессора;В случае пропадания сигнала из-за перегрева масла отключить компрессор (при помощи автоматического выключателя АМК) дождитесь остывания масла (восстановиться сигнал готовности компрессора) и повторно включить компрессор в работу (автоматом АМК). После запуска компрессора проверьте работу вентилятора охлаждения.
;;"Появление тревожного сообщения ""Ток мотор-компрессора > max! Компрессор выключен""";Большой ток приводного электродвигателя компрессора. Осмотреть компрессор на отсутствие повреждений. Перезапустить компрессор путем отключения и последующего включения автоматических выключателей SF20 и АМК. При повторении данной ошибки отключить компрессор.
28;"Отсутствует заряд аккумуляторной батареи:
1) не включается контактор КРН
2) контактор КРН включается";Подгорел главный замыкающий контакт контактора КРН;"Восстановить контакт, зачистив его ""бархатным"" напильником"
;;Перегорание плавкой вставки предохранителя ПР-2 на 160 А;Замените вставку ПР-2 на 160 А.
"Сообщения МПСУ
* условия возникновения неисправности или действия, вызвавшие ее";;;
В УОИ сигнал о давлении масла с датчика ВР2 меньше 0,65 кг/см2*;;;
29;"Прекращение запуска дизеля.
(Малое давление масла (BP2))";Низкий уровень масла;Проверить уровень масла, при низком уровне долить.
;;Неисправность масляной системы;
;;Неисправен датчик;
Автоматически не запустился дизель;;;
30;"Отключение режима Автопрогрева
(АВАРИЯ АВТОПРОГРЕВа)";Не выполнены все условия для запуска дизеля;Определить причину отсутствия запуска дизеля.
;;Неисправность дизеля или системы впрыска;
"В режиме ""Тяги/ЭДТ"" в УОИ сигнал о включении/выключении ОМ";;;
31;"Сброс нагрузки
(Переключение ОМ1)
(Переключение ОМ2)
(Переключение ОМ3)
(Переключение ОМ4)
(Переключение ОМ5)
(Переключение ОМ6)";ОМ переключен;"Переключение тумблера ОМ нужно производить только в режиме ""Холостого хода""."
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
"В режиме ""ЭДТ"" в УОИ сигнал о давлении воздуха в ТЦ более 0,5 атм.";;;
32;"Разбор схемы ЭДТ
(Включен пневмотормоз при работе ЭДТ)";Есть давление в ТЦ;В режиме ЭДТ использование крана машиниста (условный 215) запрещено.
;;Неисправность цепей датчиков давления;
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
В режиме тяги на ведомой секции присутствует сигнал от БУ;;;
33;"Запрет сбора схемы тяги
(Проблемы с блокировками пневмотормоза)";БУ на 2-ой секции включена;Проверить отключение БУ на 2-ой секции. Включить блокировку управления и отключить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Наличие +110В на проводе от БУ к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В режиме тяги на ведущей секции отсутствует сигнал от БУ в УОИ;;;
34;"Запрет сбора схемы тяги
(Заблокирован пневмотормоз)";БУ отключена;Проверить включение БУ. Отключить блокировку управления и включить заново. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Нет +110В или обрыв провода от БУ к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В режиме тяги при отключении одного ТЭД;;;
35;"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 13.
(Ограничение позиции отключен один ТЭД)";Отключены два ТЭД;Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на четырех ТЭД ограничение не выше 13ПК).
;;Неисправность ОМ;
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В режиме тяги при отключении двух ТЭД;;;
36;"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 11.
(Ограничение позиции отключено два ТЭД)";Отключены два ТЭД;Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на пяти ТЭД ограничение не выше 11ПК).
;;Неисправность ОМ;
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В режиме тяги при отключении трёх ТЭД;;;
37;"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 8.
(Ограничение позиции отключено три ТЭД)";Отключены два ТЭД;Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на трех ТЭД ограничение не выше 8ПК).
;;Неисправность ОМ;
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В режиме тяги при отключении четырёх ТЭД;;;
38;"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 5.
(Ограничение позиции отключено три ТЭД)";Отключены два ТЭД;Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на двух ТЭД ограничение не выше 5ПК).
;;Неисправность ОМ;
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В режиме тяги при отключении пяти ТЭД;;;
39;"Предупреждение!
УОИ устанавливает максимальную позицию контроллера равную 3.
(Ограничение позиции отключено три ТЭД)";Отключены два ТЭД;Обратить внимание. Проверить состояние тумблеров, при необходимости включить, продолжить движение (на одном ТЭД ограничение не выше 3ПК).
;;Неисправность ОМ;
;;Обрыв/неисправность проводов к ОМ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В ручном режиме САРТ при температуре окружающего воздуха меньше 0°С и температуре воды горячего контура меньше 40°С, неисправность датчиков воды;;;
40;"Предупреждение!
(Внимание! Возможно переохлаждение дизеля)";Неисправны датчики воды в ручном режиме САРТ;Обратить внимание. Предпринять меры по предотвращению переохлаждения дизеля.
;;Температура окружающего воздуха < 0°С и температура воды горячего контура < 40°С в ручном режиме САРТ;
В УОИ неверный сигнал с дискретного датчика тормозного переключателя;;;
41;"Разбор тяги/тормоза или предупреждение в режиме х/х
(Авария тормозного переключателя (ТП))";Ложный сигнал от дискретного датчика тормозного переключателя;Проверить состояние блок-контактов тормозного переключателя. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает - вызовите вспомогательный локомотив.
;;Неисправность блок-контакта;
;;Наличие +110В в проводе от блок-контакта к УОИ в режиме тяги;
;;Отсутствие +110В в проводе от блок-контакта к УОИ в режиме тормоза;
;;Неисправность платы БОДД (ПВДД) УОИ;
"В УОИ одновременный сигнал с дискретных датчиков реверсора ""Вперед"" и ""Назад""";;;
42;"Разбор тяги или предупреждение в режиме х/х
(Авария реверсора (Р))";Неисправность блок-контакта;Проверить состояние блок-контактов переключателя реверсора. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает - вызовите вспомогательный локомотив.
;;Наличие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В УОИ отсутствует сигнал о включении QF1, QF2, QF3, QF4, QF8, QF9 или QF10;;;
43;"Предупреждение!
(Откл. автомат 1МВ (QF1))";Автомат отключен;Проверить состояние автомата QF1. Включить автомат QF1. При отключенном автомате QF1 мотор-вентилятор МВ1 не работает.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УО;
;"Предупреждение!
(Откл. автомат 4МВ QF2)";Автомат отключен;Проверить состояние автомата QF2. Включить автомат QF2. При отключенном автомате QF2 мотор-вентилятор МВ4 не работает.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УО;
;"Предупреждение!
(Откл. автомат 2МВ QF3)";Автомат отключен;Проверить состояние автомата QF3. Включить автомат QF3. При отключенном автомате QF3 мотор-вентилятор МВ2 не работает.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УО;
;"Предупреждение!
(Откл. автомат 3МВ QF4)";Автомат отключен;Проверить состояние автомата QF4. Включить автомат QF4. При отключенном автомате QF4 мотор-вентилятор МВ3 не работает.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УО;
;"Предупреждение!
(Откл. авт. отсоса пыли генератора (QF8))";Отключен автомат QF8;Включить автомат QF8.
;"Предупреждение!
(Откл. авт. отсоса пыли ТЭД1-3 (QF9))";Отключен автомат QF9;Включить автомат QF9.
;"Предупреждение!
(Откл. авт. отсоса пыли ТЭД4-6 (QF10))";Отключен автомат QF10;Включить автомат QF10.
В УОИ поступил сигнал от блокировки валоповоротного устройства;;;
44;"Снятие/запрет схемы тяги. Останов дизеля. Запуск дизеля заблокирован
(Опущено валоповоротное устройство (105))";Опущено валоповоротное устройство.;Проверить положение валоповоротного устройства и состояние контактной группы блокировки 105.
;;Неисправен датчик.;
В УОИ поступил сигнал от реле уровня воды (ДРУ1);;;
45;"Останов дизеля
(Аварийно низкий уровень воды в расш.баке (ДРУ1))";Аварийно низкий уровень воды в расширительном баке.;Проверить уровень воды в расширительном баке, состояние разъема на датчике уровня.
;;Неисправен датчик.;
В УОИ поступил соответствующий сигнал от системы управления компрессором;;;
46;"Предупреждение! Запрет запуска компрессора
(Нет готовности компрессора)";Компрессор не готов к работе;Компрессор на данной секции не работает. Дождаться сигнала готовности к работе и повторить попытку запуска компрессора.
В УОИ сигнал о 6 положении рукоятки тормоза 130 крана;;;
47;"Сброс нагрузки. При скорости > 10 км/ч включение вентилей подачи песка и тифона
(Экстренное торможение)";Кран в 6 положении;Проверить положение ручки крана условный номер 395, а также положение кнопки КАЭТ.
;;+110В от 130 крана к УОИ;
;;Неисправность платы БОДД (ПВДД) данной УОИ;
"В УОИ сигнал о включении тумблера управления компрессором в режим ""ручной откл."" или ""ручной вкл.""";;;
48;"Предупреждение!
(Компрессор включен в ручном режиме)";"Тумблер включен в ""ручной""";Проверить состояние тумблера. Контролировать давление в питательной магистрали по манометру.
;;"Нет +110В от тумблера ""автомат"" к УОИ";
;;Обрыв провода от тумблера до УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
В УОИ сигнал о давлении в питательной магистрали менее 7,2 атм при ручном управлении компрессора;;;
49;"Предупреждение!
(Давление в питательной магистрали менее 7.2 Атм)";Давление ниже 7,2 атм.;Компрессор в ручном режиме управления и отключен! Проверить состояние тумблера. Контролировать давление в питательной магистрали по манометру. Не забыть включить компрессор!
;;Неисправность датчика давления;
;;Неисправность платы БОАД УОИ;
В УОИ сигнал о давлении в тормозных цилиндрах (датчик ВР6) больше 0,1 кг/см2 дольше 80 сек.;;;
50;"Сброс нагрузки
(Заторможена 1 тележка (ВР6))
(Заторможена 2 тележка (ВР7))";Давление в ТЦ больше порога;Проверить воздух в тормозных цилиндрах по манометру. Проверить режим включения воздухораспределителя, при повторном срабатывании перевести на равнинный режим, выпустить воздух выпускным клапаном.
;;Неисправность проводов к датчику давления;
;;Неисправен датчик давления;
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
"В УОИ сигнал о давлении масла с датчика ВР меньше 0,25 кг/см2 в течении 60 секунд с начала прокачки масла (после нажатия кнопки ""Пуск"")";;;
51;"Запрет запуска, нет отсчета времени прокачки
(Нет начального давления масла)
(Нет начального давления масла (BP2))";Давление меньше нормы;"Проверить уровень масла, работу насоса прокачки масла (если не работает - проверить предохранитель и контактор КМН) сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).
При неисправности датчика давления масла допускается заменить на датчик давления топлива."
;;Обрыв проводов к датчику;
;;Неисправен датчик;
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
В УОИ сигнал о давлении масла с датчика ВР2 меньше 0,7 кг/см2;;;
52;"Останов дизеля
(Стоп дизеля - мало давление МАСЛА (BP2))";Давление меньше нормы;"Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр ""Дизель"", ""Масляная система""). Проверить состояние разъема датчика.
Допускается запуск дизеля, при повторном срабатывании защиты перевести секцию в ""Холостой ход""."
;;Обрыв проводов к датчику;
;;Неисправен датчик;
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
"В УОИ сигнал о давлении масла с датчика ВР2 меньше 2,5 кг/см2 в режиме ""Тяги"" при оборотах дизеля более 910 об/мин";;;
53;"Сброс нагрузки
(Сброс нагрузки - мало давление МАСЛА (BP2))";Давление меньше нормы;"Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система). Проверить состояние разъема датчика.
При неисправности датчика давления масла допускается заменить на датчик давления топлива"
;;Обрыв проводов к датчику;
;;Неисправен датчик;
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
В УОИ сигнал о давлении топлива с датчика ВР4 меньше 0,5 кг/см2;;;
54;"Предупреждение!
(Малое давление ТОПЛИВА (BP4))";Малое количество топлива;Проверить уровень топлива в баке.
;;Неисправность топливной системы;
;;Неисправен датчик;
"В УОИ сигнал о двух одновременно нажатых кнопках реверсора ""Вперед"" и ""Назад""";;;
55;"Разбор тяги или предупреждение в режиме х/х

(Неверно задано направление движения)";Две кнопки нажаты одновременно;"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад"". Проверить состояние контактных групп кнопок (одновременное нажатие ""Вперед"" и ""Назад"") при ложном срабатывании."
;;+110 в УОИ из-за неисправности проводов или сбоях в цепях управления;
;;Неисправность платы БОДД (ПВДД) УОИ;
В УОИ сигнал о токе возбуждения тягового генератора более 195 А;;;
56;"Сброс нагрузки
(Ток возбуждения тягового генератора > max)";Неисправна система возбуждения;"Следовать на более низких позициях или перевести секцию в ""Холостой ход""."
;;Неисправность проводов к датчику тока (ПИНТ);
;;Неисправен датчик тока (ПИНТ);
;;Неисправна плата БОАД УОИ;
В УОИ сигнал о токе возбуждения тягового генератора менее 10 А;;;
57;"Предупреждение! (Тяги не будет)
(Нет тока возбуждения тягового генератора)";Неисправна система возбуждения;"Повторно поставить 1 позицию тяги или переключить автомат ""Возбуждение"". По кадру ""электрооборудование/Возбуждение"" контролировать включение контактора КМ2.
Осмотреть целостность проводов на блоке шунте RS2 и датчике U18."
;;Обрыв/неисправность проводов к датчику тока (ПИНТ);
;;Неисправен датчик тока (ПИНТ);
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
В УОИ сигнал от ЭРД о низком давлении масла;;;
58;"Предупреждение!
(Внимание! Малое давление масла (ЭРД))";Масляный фильтр засорен;Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).
;;Неисправность ЭРД;
В УОИ сигнал от ЭРД об остановке дизеля из-за низкого давления масла;;;
59;"Переход в ""Останов""
(Стоп дизеля малое давление масла (ЭРД))";Было низкое давление;"Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).
Допускается запуск дизеля, при повторном срабатывании защиты перевести секцию в ""Холостой ход""."
;;Неисправность ЭРД;
В УОИ сигнал от ЭРД об остановке дизеля из-за превышения оборотов;;;
60;"Переход в ""Останов""
(Стоп дизеля превышение оборотов (ЭРД))";Было превышение оборотов;"Проверить состояние механического предельного выключателя дизеля и воздушной захлопки. Допускается запуск дизеля, при повторном срабатывании защиты перевести секцию в ""Холостой ход""."
;;Неисправность ЭРД;
Давление воздуха в ТМ меньше 4.5 кг/см2;;;
61;"Снятие/запрет схемы тяги
(Давление воздуха в ТМ < 4.5 кг/см2 (ВР8))";Малое давление воздуха;Включить компрессор в автоматический режим или в ручном режиме.
;;Компрессор отключен;
;;Неисправен датчик;
Напряжение БС меньше 30В или больше 130В;;;
62;"Предупреждение!
(Неисправен датчик напряжения бортовой сети)";Неисправен стартер-генератор или РНВГ;"Проверить зарядку АБ по вольтметру.
Внимание! При отсутствии заряда аккумуляторной батареи не работает компрессор. Отключить лишние потребители!"
;;Обрыв/неисправность проводов к датчику напряжения (ПИНТ);
;;Неисправен датчик напряжения (ПИНТ);
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
Если напряжение бортовой сети больше 107В, а ток зарядки меньше 0.2А;;;
63;"Предупреждение!
(Нет заряда аккумуляторной батареи)";Неисправна система заряда (СГ, РНВГ, КРН...);"Проверить зарядку АБ по вольтметру и автомат блока РНВГ.
Внимание! При отсутствии заряда аккумуляторной батареи не работает компрессор. Отключить лишние потребители!"
;;Обрыв/неисправность проводов к датчику тока (ПИНТ);
;;Неисправен датчик тока (ПИНТ);
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
Значение температуры воздуха на выходе выпрямителя на 15°С больше чем не входе;;;
64;"Запрет режима тяги/ЭДТ
(Перегрев тягового выпрямителя (А1))";Не работает вентилятор охлаждения ВВУ;Проверить целостность воздушных каналов охлаждения тягового выпрямителя.
"Наличие в УОИ сигнала о положении ""0"" КМ";;;
65;"Нет набора позиций
(Набор позиций заблокирован положением ""0"" КМ)";"+110В от КМ ""0"" к УОИ";"Выполнить несколько переключений контроллера при выключенном тумблере ""Управление тепловозом"". Заменить контроллер на контроллер с задней секции."
;;Неисправность платы БОДД (ПВДД) УОИ;
Наличие в УОИ сигнала о нарушении целостности тормозной магистрали;;;
66;"Разбор схемы тяги / ЭДТ
(Обрыв тормозной магистрали)";Было падение давления в ТМ;Контролировать давление в тормозной магистрали по манометру.
;;Неисправно реле;
;;+110В от реле к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Наличие в УОИ сигнала от аналогово датчика давлении газов в картере более 580 Па;;;
67;"Останов дизеля
(Высокое давление в картере)";Высокое давление газов в картере дизеля;Повторно запустить дизель. Проверить показания дифманометр. При повторном сообщении вызвать вспомогательный локомотив.
;;Неисправен датчик;
Наличие в УОИ сигнала от аналогово датчика давлении газов в картере от 435 до 580 Па;;;
68;"Предупреждение!
(Повышенное Давление в картере)";Повышенное давление газов в картере дизеля;Обратить внимание, проверить показания дифманометра и продолжить движение.
;;Неисправность датчика;
Наличие в УОИ сигнала от датчика температуры воды более 100°С;;;
69;"Сброс нагрузки
(Сброс нагрузки по перегреву воды)";Температура больше указанного значения;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4).
При повышенной температуре перевести тепловоз на холостой ход и выполнить охлаждение в ручном режиме (кадр 4), останов при этом не допускается. Режимы тяги и ЭДТ возможны после охлаждения дизеля"
;;Неисправен датчик;
;;Неисправен ТИ;
Наличие в УОИ сигнала от датчика температуры воды более 85°C в режиме ручного управления холодильником дизеля;;;
70;"Предупреждение!
(Недостаточное охлаждение дизеля (вода более 85°C))";Температура больше указанного значения;Принять меры для охлаждения теплоносителей дизеля или включить автоматическое управление охлаждением дизеля.
;;Неисправен датчик;
;;Неисправен ТИ;
Наличие в УОИ сигнала от датчика температуры воды о температуре воды более 95°C;;;
71;"Предупреждение!
(Температура воды более 95°C)";Температура больше указанного значения;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4)."
;;Неисправен датчик;
;;Неисправен ТИ;
Наличие в УОИ сигнала от датчика температуры масла о температуре масла более 87°C;;;
72;"Сброс нагрузки
(Сброс нагрузки по перегреву масла)";Температура больше указанного значения;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4).
При повышенной температуре перевести тепловоз на холостой ход и выполнить охлаждение в ручном режиме (кадр 4), останов при этом не допускается. Нагружение возможно после охлаждение дизеля."
;;Неисправен датчик;
;;Неисправен ТИ;
Наличие в УОИ сигнала от КДМ о давлении газов в картере;;;
73;"Останов дизеля. Запуск дизеля заблокирован
(Давление газов в картере дизеля (КДМ))";Давление газов больше нормы;Проверить уровень жидкости в дифманомере. При отсутствии жидкости запуск дизеля запрещен.
;;+110В от КДМ к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Наличие в УОИ сигнала от ТИ о температуре масла более 85°C;;;
74;"Предупреждение!
(Температура масла более 85°C)";Температура больше указанного значения;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4)."
;;Неисправен датчик;
;;Неисправен ТИ;
