к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на электровозах ВЛ11К;;;
;;;
N;Признаки неисправности;Вероятная причина;Метод устранения
;;- напряжение в контактной сети менее 2200В или более 4000В;- сбор схемы тягового режима при напряжении контактной сети в пределах 2200 - 4000В
19;"После постановки джойстика SA45 в положение ""+1"" набор позиций происходит, но через 2-5 секунды происходит разбор тяги";"- не включился контактор К25;";- если не включился контактор К25 необходимо по монитору проверить состояние линий связи и БУК, для работы схемы переключателем SA28 вывести любую пару двигателей головной секции.
;;"- не включился контактор К45;";-если не включился контактор К45 необходимо по монитору проверить состояние линий связи и БУК, отключить тяговые двигатели неисправной секции, дальнейшее следование на исправных секциях.
20;При переходе с С на СП через 2-5 секунд происходит разбор тяги;Задержка по времени включения или не включение контактора К39 на .какой-либо секции.;По мониторам в обеих кабинах проверить состояние линий связи и БУК, проверить включение контактора К39 на обеих секциях. Если контактор на включается следование на последовательном соединении всеми двигателями, при необходимости перехода на высшее соединение ТЭД переключателем SA28 отключить двигатели неисправной секции.
21;При переходе с СП на П через 2-5 секунд происходит разбор тяги;Задержка по времени включения или не включение контактора К36;По мониторам в обеих кабинах проверить состояние линий связи и БУК, проверить включение контактора К36 на обеих секциях. Если контактор не включается дальнейшее следование на С и СП соединениях ТЭД.
Короткое замыкание в цепи питания цепей управления и приводов аппаратов;;;
22;"После включения отключается автомат ""АБ"" или происходит значительная просадка напряжения цепей управления и отключатся монитор и БИ МСУЛ.";Короткое замыкание в элементах АБ;"Автомат ""АБ"" не включать, запустить электровоз, используя АБ исправной секции."
23;"Срабатывание автомата SF16
""Приборы безопасности""";"Короткое замыкание в цепи источника питания G1 ""системы безопасности"".";Автомат не восстанавливать, питание приборов безопасности по резервному каналу через МКС.
24;"Срабатывание автомата SF17
""ИП МСУЛ-1к""";Короткое замыкание в цепи источника питания G2;Автомат не восстанавливать, питание систем МСУЛ по I каналу в кабине управления работает монитор, БИ МСУЛ и система ПБЗ не работают.
25;"Срабатывание автомата SF15
""ИП МСУЛ-2к""";Короткое замыкание в цепи источника питания G3;Автомат не восстанавливать, питание системы МСУЛ по II каналу, в кабине управления работает БИ МСУЛ, монитор и электрическое торможение не работает.
26;"Срабатывание автомата SF1
""Управление""";Короткое замыкание в цепи включения реверсоров, режимных переключателей и включения линейных контакторов, провод 320.;"Автомат не восстанавливать, переключателем SA28 отключить двигатели секции, тумблер SA32 в положение ""прицепная"". Дальнейшее следование на исправных секциях."
;;;
