к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на тепловозах серии ТЭМ18Д, ДМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
3;Топливоподкачивающий насос не создает нормального давления от 0,18 до 0,3 МПа (от1,8 до 3 кгс/см2).;"Попадание воздуха в топливную систему.
Выход из строя топливоподкачивающего насоса (заело валик, заклинило шестерни).";"Откройте кран на нагнетательной трубке и выпустите воздух. Если устранить неисправность невозможно, разрешается работа и следование с поездом до основного депо при питании секции топливных насосов за счет разряжения, создаваемого секциями топливного насоса дизеля с помощью аварийной системы. Для этого выключите автомат ""Топливный насос"", снимите пломбу с крана 26, откройте кран и запустите дизель. О снятии пломбы сделайте запись в журнал ТУ 152. Остановку дизеля произведите выключением тумблера ""Пуск-остановка дизеля"". По прибытии в депо неисправность устраните, кран 26 закройте и опломбируйте."
4;"При включенных автомате и тумблере ""Топливный насос"" вал топливоподкачивающего насоса не вращается или вращается с перебоями.";Перегорел предохранитель цепи питания от аккумуляторной батареи.;Замените предохранитель на 80 А в аппаратной камере.
;;Произошло заедание щеток в обоймах щеткодержателей, неприлегание щеток к коллектору электродвигателя (после установки новых).;Устраните заедание щеток в обоймах.
5;При запуске дизеля не включается электромагнит регулятора частоты вращения.;Отсутствует контакт у замыкающих контактов вспомогательной цепи пускового контактора Д1;Устранить неисправность
;;Выход из строя катушки электромагнита (обрыв, межвитковое замыкание);Смените электромагнит
;;Отсутствует контакт в штепсельном разъеме.;"Восстановите контакт
Закрутить винт для механического зажатия катушки"
6;Вал дизеля проворачивается с недостаточной частотой, дизель не запускается;Недостаточная емкость аккумуляторной батареи или короткое замыкание в одном из ее элементов;"Отключите неисправный элемент аккумуляторной батареи перестановкой перемычек
Разрешается одновременно отключение не более двух-трех элементов.
По прибытии в депо неисправные элементы замените."
7;При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.;Выключены секции топливного насоса.;Включите секции.
;;Попадание воздуха в топливную систему.;Удалите воздух
;;Засорены топливные фильтры.;Промойте фильтры
8;"Дизель-генератор пускается с трудом или после пуска останавливается.
После достижения рабочей температуры нагрева масла, дизель глохнет";Шток сервомотора перемещает рейки на выключение подачи топлива.;Устраните разрыв цепи питания электромагнита.
;;Тугой ход реек топливного насоса или поршня масляного сервомотора регулятора.;Устраните тугой ход реек поршня сервомотора.
;;Малая частота вращения на холостом ходу.;Отрегулируйте работу регулятора на нормальную частоту вращения на холостом ходу регулировочной тягой.
;;Нарушена регулировка клапанов масляной системы (перепускного или на насосе дизеля), Открыты перепускные краны.;Проверить положение перепускных кранов в дизельном помещении (на тепловозах с трехсотого номера их 2) и в шахте холодильника.
9;При отключении пусковых контакторов дизель останавливается (при запуске электромагнит регулятора включается нормально, а после отключения пусковых контакторов отключается).;Не работает реле давления масла из-за обрыва провода у контактов или неудовлетворительного контакта.;"Отсоединить разъём и поставить перемычку между 1 и 2 убедиться в достаточном давлении масла в системе по дисплею машиниста.
Снимите пломбу, откройте крышку реле давления масла, устраните обрыв провода или зачистите контакт блокировки. при этом следите за давлением масла по дисплею машиниста.
По прибытии в депо немедленно доложите о снятии пломбы с крышки реле давления масла."
10;Дизель не запускается при исправной работе электрической аппаратуры;Тугой ход реек топливных насосов;Расходите рейки топливных насосов
;;Не включен предельный выключатель частоты вращения коленвала дизеля;Включите предельный выключатель
;;Недостаточное количество масла в ванне регулятора частоты вращения, низкая или завышенная вязкость масла.;"Заполните ванну регулятора маслом до середины масломерного стекла.
Замените масло в регуляторе."
11;Дизель заглох под нагрузкой.;Не запускается.;"Нажать на кнопку ""Остановка дизеля"", после этого повторить запуск."
12;Дизель работает с дымным выхлопом.;Зависает игла форсунки или засорены отверстия распылителя;Отключить топливный насос неисправной форсунки.
;;Уровень масла в раме дизеля выше нормы.;Проверить, не пропадает ли топливо или вода в масло.
;;Неисправен турбо-компрессор, недостаточная подача воздуха в цилиндры.;Следовать до основного депо на пониженной мощности.
13;Дизель стучит.;Зависание иглы, недостаточная затяжка пружины у форсунки.;Отключить топливный насос.
14;Внезапный сильный стук в одном из цилиндров дизеля.;Произошло воспламенение баббитовой заливки или разрушены вкладыши шатунного подшипника коленчатого вала.;"Дизель немедленно остановить. До замены вкладышей запуск дизеля категорически воспрещается.
В зимнее время слить воду, открыть второй и третий кран для слива масла в картер."
15;Дизель останавливается при наборе позиций контроллером машиниста.;Тугой ход реек топливных насосов.;Устранить тугой или неравномерный ход рейки.
;;Попадание топлива в картер дизеля.;Открыть клапанные коробки дизеля, осмотреть состояние топливопроводов к форсункам, при неисправности отключить топливный насос данного цилиндра.
16;"Дизель ""глохнет"" при нормальном давлении масла.";Неисправен РДМ или БМ.;Вывернуть фишку у РДМ и поставить перемычку между клеммами N 1и N 2 разъёма, либо заклинить БМ регулировочным винтом, сделать запись в ТУ-152. В процессе работы наблюдать за параметрами давления масла. При снижении ниже 1,5-1,7кг/см2 заглушить ДГУ.
17;Не включается блокмагнит;;"Поставить перемычку с клеммы 1/9 на клемму 5/6. Включить тумблер ""Освещение машинного отделения""."
18;Не работает задатчик или БЭЛ для тепловозов от N 161.;;"Для запуска дизеля поставить перемычку с 14/2 на 14/4, затем снять перемычку.
Перевод реверсора осуществлять тумблером ""Буферный фонарь задний левый"".
""Вперед"" - белый - перемычка с клеммы 2/3 на клемму 3/9.
""Назад"" - красный - перемычка с клеммы 2/4 на клемму 3/10.
Сбор схемы тяги осуществлять тумблером ""Освещение подрамное"" - поставить перемычку с клеммы 15/2 на клемму 14/3.
Увеличение числа оборотов дизеля производить:
ВТ-2 - поставить перемычку с клеммы 1/9 на клемму 5/2 - ""Освещение машинного отделения"".
ВТ-3 - поставить перемычку с клеммы 2/10 на клемму 5/3 - ""Освещение АБ"".
ВТ-4 - поставить перемычку с клеммы 6/3 на клемму 5/4 - ""Освещение ВВК"".
Ш-1 - поставить перемычку с клеммы 5/4 на клемму 3/1 или ""+"" Ш-1."
19;Не включается КБУ или нет питания в ЦУ.;;Для запуска дизеля поставить перемычку с 14/2 на 14/4 на от N 161 и выше, с 14/2 на 11/8 на тепловозах до N 124.
20;При постановке первой позиции дизель останавливается.;Не включено КУ-17.;Проверить включение КУ-17.
;;Нет контакта у КУ-17 между проводами 1503-305.;Восстановить контакт или поставить перемычку с клеммы 11/2 на клемму 11/8 (питание на РУ-12).
21;Отсутствует зарядка аккумуляторной батареи.;Перегорел предохранитель на 80 А зарядки АБ от Блока МУВ.;Замените предохранитель.
;;Недостаточная частота вращения коленчатого вала дизеля на нулевой позиции задатчика.;"Увеличьте частоту вращения до
5+0,25с-1 (об/мин)."
;;Не срабатывает один из контакторов КМ1, КУ2, ВВ.;Проверьте правильность работы элементов цепи возбудителя ВСТ.
;;Вышел из строя преобразователь ДНБС.;Проверьте показания ДНБС.
;;Нарушено соединение в кабеле между УСТА и МУВ.;Восстановите соединение в кабеле.
;Отсутствует зарядка аккумуляторной батареи.;Нарушена работа МУВ;Проверьте цепи подходящие к МУВ.
;;Нарушение работы РН в блоке уста;"Перейти на аварийное возбуждение. Выключаем АВ ""Возбуждение"" и АВ ""УСТА"", переводим переключатель возбуждения в положение ""Аварийное"" после этого через 30 сек включаем АВ ""Возбуждение"" и АВ ""УСТА"" с последующим переходом на нормальное возбуждение в том же порядке. Если не получилось работать на аварийном возбуждении"
22;Нет зарядки АБ в рабочем и аварийном режимах.;;"Проверить предохранитель 80А, РМК1, РВ1, диод (отгорают провода) в ВВК внизу.
Включить муфту ГВ, если не включается - перегорела плавкая вставка."
23;"Нет зарядки АБ на рабочем и аварийном возбуждении, показывает на дисплее напряжение и ток ""0"".";Не реагирует на переключения автоматов и тумблера аварийного возбуждения.;"Короткое замыкание в цепях зарядки или датчиков (давления, температуры воды, масла, топлива) в районе ФНД, где стекло уровня смазки с правой стороны дизеля.
Снять фишку с неисправного датчика и работать до устранения, контроль за параметрами отключенного датчика (например, САВП)."
24;Нет зарядки АБ, не включается РУ12, КУ17, РУ-4.;;Подать питание на 112 провод катушки КУ17.
25;Отсутствует зарядка АБ в режиме рабочего возбуждения.;;"Проверить целостность предохранителей на 80А, 250А (второй слева от ножа АБ), отключить автоматы ""Возбуждение"" и ""Питание УСТА"", через 2-3 секунды включить. Если зарядка батареи не восстанавливается, отключить автомат ""Питание УСТА"", набрать 4 позиции и включить автомат ""Питание УСТА"". Если зарядка не восстанавливается, перейти на аварийное возбуждение."
26;Недостаточная частота вращения коленчатого вала дизеля на нулевой позиции задатчика.;Нарушение работы РН в блоке УСТА.;"Перейти на аварийное возбуждение. Выключаем АВ ""Возбуждения"" и АВ ""УСТА"", переводим переключатель возбуждения в положение ""Аварийное"", после этого через 30 сек включаем АВ ""Возбуждение"" и АВ ""УСТА"" с последующем переходом на нормальное возбуждение в том же порядке."
27;Не срабатывает один из контакторов КМ1, КУ2, ВВ.;Нарушена электрическая цепь.;Вышел из строя преобразователь ДНБС, нарушено соединение в кабеле между УСТА и МУВ, нарушена работа МУВ. Отсутствует зарядка аккумуляторной батареи. Проверьте правильность работы элементов цепи возбудителя ВСТ, проверьте показания ДНБС, восстановите соединение в кабеле проверьте цепи подходящие к МУВ.
28;Нет нагрузки на ДГУ.;;Проверить автоматы, КУ17, РВ4, блокировки, КЛУБ, предохранитель 80А.
29;Частота вращения коленчатого вала не увеличивается на 3, 4, 6, 8 позициях.;Неисправен ВТ 1.;"Сменить вентиль ВТ на ВТ 4
И работать до 6 позиции."
30;Частота вращения вала не увеличивается на 4, 5, 8 позициях.;Неисправен ВТ 2.;"Сменить вентиль на ВТ 4
И работать до 6 позиции."
31;Частота вращения коленчатого вала не увеличивается на 5, 7, 8 позициях.;Неисправен ВТ 3.;"Сменить вентиль на ВТ 4
И работать до 6 позиции."
32;Частота вращения коленчатого вала не увеличивается на 6, 7,8 позициях.;Неисправность электрической цепи.;Неисправен ВТ 4. Работать до 6 позиции.
33;При переводе контроллера машиниста на 2 последующие позиции нет роста оборотов дизеля.;Неисправность регулятора оборотов.;Провернулся ролик элекропневматического привода регулятора оборотов дизеля. Установить ролик в нормальное положение.
34;При переводе рукоятки задатчика машиниста на первую позицию тепловоз не трогается с места.;Нарушена электрическая цепь.;"Не включается РВ 4.
Сгорела одна из катушек.
Включено реле ""РЗ"".
Давление воздуха в тормозной магистрали менее 0,32 МПа.
Ввыключен ЭПК.
Неисправна блокировка К."
35;Не включаются поездные (П1,П2);;Проверить работу задатчика, или сделать переход, проверить в ручную РКВ. Если не включилась КВ неисправность КУ-15 в размыкающих блокировках поставить перемычку на колодке КУ-15 в проводах 1966-180 (1963-180) блокировка в минусовой цепи.
36;При включении КВ, РВ4, П1, П2, ВВ, нет возбуждения.;;Смотри РТ-1 РТ6 размыкающие блокировки и подводящие провода к ним (ТЭМ-18Д).
37;Нет схемы тяги.;;Не получает питание РВ-4, П1, П2, КВ, ВВ, РММ1 блокировочные контакты до клеммой рейки 14/3 на провод 187 плюсовое питание на КВ. Смотреть блокировочные контакты РММ-1 нижние в проводах 899-2591 цепь от ЭПК-150 до тумблера управления машинами.
38;При постановке первой позиции не включились контакторы РВ-4, ВВ, КВ, П-1, П-2, при этом лампа Л-1 (сброс нагрузки) не горит.;"Не развернулся реверсор.
Нет контакта в пальцах реверсивного барабана КМ.
Нет контакта у РТ-9, и РУ-10.
При развороте вала реверсора ""Назад"" не получила питание катушка РУ-10.Нет минусовой цепи ЭПВ реверсора ""Вперёд"" или ""Назад"".";Проверить положение реверсора.
39;При постановке первой позиции не включились контакторы РВ-4, ВВ, КВ, П-1, П-2, при этом горит лампа Л-1 (сброс нагрузки).;"Это означает, что электрическая цепь сбора первой позиции исправна до блокировок дверей БД 1 - 4.
Проверить БД-1 - 4 и контакт КУ-2 между проводами N 181-1603.";"При не выявлении неисправности поставить перемычку от (+) КБУ на провод N 168 (РВ-4).и провод N 179 (ВВ). В обоих случаях включить тумблер освещения машинного отделения. При сбросе позиций выключать. Контактор КВ включать постановкой перемычки с клеммы 1/9 на провод 187 при этом после набора первой позиции включить тумблер ""Освещение машинного отделения"". При сбросе позиций тумблер обязательно выключать. Применять реостатный тормоз в этих случаях запрещается."
40;Не включаются контакторы П-1 и П-2. Контактор ВВ включен.;"Не включилось РВ-4.
РВ-4 включено П-1 и П-2 не
включаются.";"Проверить включение.
Поставить перемычку с (+) КБУ на провод (РВ - 4).
Нет контакта между проводами 197 и 193 РВ-4."
41;Не включается КВ;;"Поставить перемычку с клеммы 11/5 или 14/3 (для N от 161) на пр. 187 ""+"" КВ.
Проверить минусовую цепь питания КВ (РЗ, РУ-15"
42;Не включаются Ш-1 и Ш-2;;"Ш-1 - поставить перемычку с клеммы 1/9 на клемму 3/1 - ""Освещение машинного отделения"".
Ш-2 - поставить перемычку с клеммы 2/10 на клемму 3/2 - ""Освещение АБ""."
43;Не работает УСТА;;Перейти на аварийное возбуждение.
44;"В ТП1 нет U от автомата ""Управление общее"".";Напряжения нет.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
Проверить автомат ""Управление общее"", разъемы на ТП. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя."
45;"В ТП1 отключены автоматы ""Вентиляторов"".";Неисправны блокировки и отключены автоматы.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
Проверить состояние автоматов вентиляторов
охлаждения ТП и самих мотор-вентиляторов. При неисправности мотора выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3)."
46;В ТП2 не включен размыкатель.;Неисправны блокировки.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3). Если размыкатель не отключился - перевести секцию в ""Холостой ход""."
47;В ТП2 не включился размыкатель.;Неисправны блокировки.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3). Если размыкатель не отключился -перевести секцию в ""Холостой ход""."
48;В ТП2 не отключен размыкатель.;Неисправны блокировки.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
По кадру 3 контролировать состояние разъединителя. Если разъединитель не отключается - перевести секцию в ""Холостой ход""."
49;В ТП2 не отключился размыкатель.;Неисправны блокировки.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
По кадру 3 контролировать состояние разъединителя. Если разъединитель не отключается - перевести секцию в ""Холостой ход""."
50;"В ТП2 нет U от автомата ""Управление общее"".";Нет напряжения на ТП2.;"Несправна внутренняя проводка или плата ПДВВ САУ ТП.
Проверить автомат ""Управление общее"", разъемы на ТП. Если не помогает, выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя."
51;В ТП2 отключены автоматы вентиляторов.;Неисправны блокировки.;"Неисправна внутренняя проводка или плата ПДВВ САУ ТП.
Проверить состояние автоматов вентиляторов охлаждения ТП и самих мотор-вентиляторов. При неисправности мотора выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3)."
52;Включен пневмотормоз.;Неисправность цепей датчиков давления.;"Неисправна плата БОАД/ ПВАД/ БПД1 УОИ.
В режиме ЭДТ использование крана машиниста (условный 215) запрещено."
53;Включено управление двух кабин.;Неисправность БУ.;"Неисправность платы БОДД (ПВДД) данной УОИ.
Проверить правильность включения блокировок управления (ВЦУ)."
54;Включены не все ТЭД.;Обрыв/неисправность проводов к ОМ.;"Неисправность платы БОДД (ПВДД) УОИ. Режим ""ЭДТ"" возможен только при включении всех ТЭД."
55;Включите блокировку управления.;Нет +110В или обрыв провода от БУ к УОИ.;"Неисправность платы БОДД (ПВДД) УОИ.
Выберите главную кабину, включив блок управления (ВЦУ)."
56;Д1 не включился, не отключился, самопроизвольно отключился.;Обрыв провода к катушке контактора или отсутствие +110В.;Неисправность платы БОДД (ПВДД) УОИ Проверить контактор и его блок-контакты.
57;Д1 самопроизвольно включился.;Неисправность контактора.;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
58;Д2 не включился, не отключился, самопроизвольно отключился.;Неисправность контактора.;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
59;Давление в питательной магистрали менее 0,72МПа.;Компрессор в ручном режиме управления и отключен.;Проверить состояние тумблера. Контролировать давление в питательной магистрали по манометру. Не забыть включить компрессор.
60;Давление газов в картере дизеля.;Пробой газов в картер дизеля.;Проверить уровень жидкости в дифманомере. При отсутствии жидкости запуск дизеля запрещен.
61;Неисправность блокировки ВВК.;;"Для тепловозов с номерами до 124:
Для быстрого вывода локомотива с перегона поставить перемычку с ""+"" КТН на ""+"" ВВ - сразу произойдет сбор первой позиции, поэтому время от постановки перемычки до начала движения не должно превышать 10 секунд.
Для тепловозов с номерами от 161:
Поставить перемычку с 14/3 на провод 181 контактора КВ (слева нижний контакт)."
62;В случае неисправности ВЦУ (выключатель цепей управления) или пневмомодуля на КМ N 395.;;"Подать питание на ""+"" РММ-1 (или заклинить) - для питания основного пульта управления, подать питание на ""+"" РУ-31 (или заклинить) - для питания тормозного оборудования."
Диагностические сообщения;;;
63;Задайте направление движения.;;"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад""."
64;"Запуск заблокирован кнопкой ""Стоп 1"", ""Стоп 2"".";;"Проверить состояние контактной группы кнопки ""Стоп дизеля 1"", ""Стоп дизеля 2""."
65;Защита по ТЭД6 [Отключи ОМ6].;;Повторно собрать схему тяги. При повторном срабатывании выключить ОМ1, ОМ6.
66;Защита резисторов ЭДТ (1 тележка).;;"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяга"", то отключить ОМ1, ОМ2, ОМ3."
67;Защита резисторов ЭДТ (2 тележка).;;"Проверить наличие тока через мотор-вентиляторы и резисторы ЭДТ. Если есть неисправность, то не пользоваться ЭДТ. Если возникает в режиме ""Тяга"", то отключить ОМ1, ОМ2, ОМ3."
68;Защита ЭДТ 1-ой тележки.;;"Запрет пользования ЭДТ. При срабатывании в режиме ""Тяги"" выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП."
69;Защита ЭДТ 2-ой тележки.;;"Запрет пользования ЭДТ. При срабатывании в режиме ""Тяги"" выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП."
70;КМ1 не отключился.;;"Проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
71;КМ1 самопроизвольно включился.;;"Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
72;КМ8 не включился, не отключился, самопроизвольно отключился.;;Проверить контактор и его блок-контакты.
73;КМ8 самопроизвольно включился.;;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
74;КДК не включился.;;Проверить контактор и его блок - контакты. (Внимание! Компрессор на данной секции не работает).
75;КДК не отключился, самопроизвольно включился, не включился.;;Проверить контактор и его блок - контакты. (Внимание! Компрессор на данной секции не работает).
76;КМ1 не включился, самопроизвольно отключился.;;"проверить контактор и его блок-контакты. Если неисправность обнаружить не удалось - возбуждения не будет! Перевести секцию в режим ""Холостой ход"". Контролировать температуру теплоносителей дизеля."
77;КМ7 не включился, отключился.;;Проверить контактор и его блок-контакты.
78;КМ7 самопроизвольно включился.;;Проверить контактор и его блок - контакты. Проверить наличие земли в цепях управления.
79;КМН не включился, не отключился.;;Проверить контактор и его блок - контакты.
80;КМН самопроизвольно включился.;;Проверить контактор и его блок - контакты. Проверить наличие земли в цепях управления.
81;Компрессор включен в ручном режиме.;;Проверить состояние тумблера. Контролировать давление в питательной магистрали по манометру.
82;КРН не включился, не отключился, самопроизвольно включился, отключился.;;Проверить контактор и его блок - контакты. (Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители).
83;КУДК не включился, включился самопроизвольно, самопроизвольно отключился.;;Проверить контактор и его блок - контакты. (Внимание! Компрессор на данной секции не работает).
Диагностические сообщения в цепях управления тепловозом;;;
84;"Набор позиций заблокирован положением ""0"" КМ.";;"Выполнить несколько переключений контроллера при выключенном тумблере ""Управление тепловозом"". Заменить контроллер на контроллер с задней секции."
85;Нагружение ДГ на тормозные резисторы.;;"Включен режим реостатных испытаний (Кадр 2, тумблер ""Реостат"")."
86;"Напряжение 1-ой звезды
ТГ < min.";;"Контролировать работу системы возбуждения ТГ на кадре ""Электрооборудование/Возбуждение"". Если система возбуждения неисправна, то перевести секцию в ""Холостой ход""."
87;"Напряжение 1-ой звезды
ТГ > max.";;Повторно собрать схему тяги. При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
88;"Напряжение 2-ой звезды
ТГ < min.";;"Контролировать работу системы возбуждения ТГ на кадре ""Электрооборудование/Возбуждение"". Если система возбуждения неисправна, то перевести секцию в ""Холостой ход"", если возбуждение исправно (есть напряжение с обеих звезд ТГ)."
89;"Напряжение 2-ой звезды
ТГ > max.";;Повторно собрать схему тяги. При повторном срабатывании выключить все. три ОМ данной тележки, проверить отключение размыкателя в ТП.
90;Неверно включены автоматы в силовой цепи преобразователя А18.;;"Проверить правильность включения автоматов QF16, QF18, QF17 в тамбуре. (Кадр ""Вспомогательное оборудование/ Охлаждение ТА и ТЭД"")."
91;Неверно включены автоматы в силовой цепи преобразователя А5.;;Проверить правильность включения автоматов QF2, QF7, QF3 в тамбуре.
92;Неверно включены автоматы в силовой цепи преобразователя А6.;;"Проверить правильность включения автоматов
QF4, QF8, QF5 в тамбуре."
93;Неверно включены автоматы в силовой цепи преобразователя А7.;;"Проверить правильность включения автоматов QF9, QF12, QF10 в тамбуре (Кадр ""Вспомогательное оборудование/ Охлаждение ТА и ТЭД"")."
94;Неверно задано направление движение.;;"Выбрать направление движения нажатием кнопки ""Вперед"" или ""Назад"". Проверить состояние контактных групп кнопок при ложном срабатывании."
95;Неисправен датчик напряжения бортовой сети.;;Проверить зарядку АБ по вольтметру. (Внимание! При отсутствии заряда аккумуляторной батареи не работает компрессор. Отключить лишние потребители!).
96;Неисправен ДЧВ ТЭД1 [Отключи ОМ1].;;Повторно собрать схему тяги. При повторном срабатывании выключить ОМ1.
97;Неисправен преобразователь А18.;;"Переключить тумблер ""Возбуждение"", автомат SF21 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему."
98;Неисправен преобразователь А5.;;"Переключить тумблер ""Возбуждение"", автомат SF16 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему."
99;Неисправен преобразователь А6.;;"Переключить тумблер ""Возбуждение"", автомат SF17 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему."
100;Неисправен преобразователь А7.;;"Переключить тумблер ""Возбуждение"", автомат SF18 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему."
101;Неисправна плата БОДД.;;Неисправно УОИ. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает вызовите вспомогательный локомотив.
102;Нет воды в расширительном баке.;;Проверить уровень воды в расширительном баке, состояние разъема на датчике уровня.
103;Нет заряда аккумуляторной батареи.;;Проверить зарядку АБ по вольтметру и автомат блока РНВГ. (Внимание! При отсутствии заряда аккумуляторной батареи не работает компрессор.Отключить лишние потребители).
104;Нет напряжения вспомогательного генератора.;;"Повторно поставить 1 позицию тяги или переключить тумблер ""Возбуждение"". По кадру ""электрооборудование/Возбуждение"" контролировать включение контактора КМ1, появление тока и напряжения вспомогательного генератора."
105;Нет начального давления масла.;;Проверить уровень масла, работу насоса прокачки масла (если не работает - проверить предохранитель и контактор КМН) сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).
106;Нет передачи на вторую секцию.;;Проверить работу УОИ второй секции и разъемы межсекционного соединения, перезагрузить МПСУ.
107;Нет приема со второй секции.;;Проверить работу УОИ второй секции и разъемы межсекционного соединения, перезагрузить МПСУ.
108;Нет связи со вторым тяговым преобразователем.;;Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
109;Нет связи с первым тяговым преобразователем.;;Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
110;Нет связи с преобразователем A18.;;Проверить работу автомата питания преобразователя (SF21), проверить разъем на преобразователе. Если связь не восстановлена, перейти на резервную схему.
111;Нет связи с преобразователем A5.;;Проверить работу автомата питания преобразователя (SF16), проверить разъем на преобразователе. Если связь не восстановлена, перейти на резервную схему.
112;Нет связи с преобразователем A6.;;Проверить работу автомата питания преобразователя (SF17), проверить разъем на преобразователе. Если связь не восстановлена перейти на резервную схему.
113;Нет связи с преобразователем A7.;;Проверить работу автомата питания преобразователя (SF18), проверить разъем на преобразователе. Если связь не восстановлена, перейти на резервную схему.
114;Нет связи с системой управления подачей топлива.;;Остановить дизель, перезагрузить МПСУ.
115;Нет связи с температурным измерителем. ИТ1, ИТ2.;;Запуск дизеля возможен, режим тяги возможен только при наличии связи. Остановить дизель, перезагрузить МПСУ.
