к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии 2ЭС10;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
4;"При следовании по участку или после ""загрузки"" тягового преобразователя происходит отключение БВ одной из секций.";"На мониторе в режиме ""Машинист"" загорается информация ""ТП1"", ""ТП2"", ""СФ1"" или ""СФ2"", в режиме ""Состояние"". Требование разгруппировки одного из преобразователей.";Восстановить БВ, в ШНА отключить АЗВ (SF31 или SF32) неисправного преобразователя, дождаться загрузки исправных преобразователей. Дальнейшее следование на трех исправных преобразователях и шести тяговых двигателях.
5;При следовании в режиме тяги наблюдается снижение тока одного из преобразователей и тягового момента секции, возможно с отключением БВ на одной из секций.;"На мониторе в режиме ""Машинист"" загорается информация ""ТП1"" или ""ТП2"".";"В случаях снижения тока и тягового момента одного из преобразователей поочередным отключением переключателей SA11, SA12, SA13 выявить неисправный двигатель. Дальнейшее следование с выведенным двигателем.
Если произошло отключение БВ с разгруппировкой преобразователя в ШНА отключить АЗВ (SF31 или SF32) неисправного преобразователя и следовать на шести тяговых двигателях."
6;Ограничение либо снижение вращающего момента, мощности тягового преобразователя или тягового привода.;Неисправность тягового преобразователя.;По диагностическим сообщениям выявить неисправный тяговый преобразователь. В ШНА отключить АЗВ (SF31 или SF32) неисправного преобразователя и следовать на шести тяговых двигателях. На стоянке определиться в причине снижения вращающего момента, при состоянии хладагента в допустимых пределах, перегрузить систему управления преобразователем, дальнейшее следование обычным порядком.
7;Разгруппировка тягового преобразователя.;Аппаратный дефект.;В ШНА отключить АЗВ (SF31 или SF32) неисправного преобразователя, перезагрузить систему управления. Дальнейшее следование осуществлять на шести тяговых двигателях.
Примечание: отключение БВ с последующим разрешением на его включениет после получения разрешения включить БВ, неисправный преобразователь не загрузится. Дальнейшее следование осуществлять на шести тяговых двигателях.;;;
Диагностические сообщения МПСУ и Д;;;
8;Заблокирована кнопка ТКП-1(2);;"Выключить оба ключа ВЦУ и включить ВЦУ в рабочей кабине;
выключить и вновь включить переключатель ""Токоприемники""."
9;"Не поднимаются токоприемники при постановке переключателя SA23, SA24 в положение ""Токоприемники"".";Не выключаются заземлители, не включаются разъединители, не поднимаются ТКП-1(2), не включаются заземлители - не выключен БВ.;Выключить БВ, включить переключатели SA43 или SA44, токоприемники поднимать установленным порядком.
10;"Не поднимаются токоприемники при постановке переключателя SA23, SA24 в положение ""Токоприемники"", краны КН29, КН30 и КН31 открыты.";Не выключаются заземлители.;Не закрыты ШВА электровоза 1 (2) закрыть ШВА.
;;Не поднимаются ТКП.;"Режим ""Ввод в депо"",""Обточка"": нажать кнопку ""Выбег"" и установить переключатель SA25 ""Эксплуатация"" в положение ""Нормальная эксплуатация""."
;;Не включаются разъединители.;"Нет сигнала выкл. заземлителей секции 1 (2, 3, 4) на секции 1 (2, 3, 4)
перекрыть соответствующий кран к приводу аппарата и вручную отключить крышевой заземлитель QS3 и включить разъединитель."
;;Не поднимается ТКП-1.;Рцу < 0,35 МПа или нет сигнала включения разъединителя 1 (2, 3, 4) секции, если Рцу <0,35 МПа, то включить вспомогательный компрессор.
;;Не поднимается ТКП-2.;Рцу < 0,35 МПа или нет сигнала вкл. разъединителя 1 (2, 3, 4) секции, если Рцу >0,35 МПа то поднять ТКП-2.
;"Не поднимаются токоприемники при постановке переключателя SA23, SA24 в положение ""Токоприемники"", краны КН29, КН30 и КН31 открыты.";Не поднимается ТКП-1.;Нет команды включения разъединителя 1(2) поднять ТКП-2 (1).
;;Не включаются заземлители.;Нет команды выключения разъединителей нет сигнала выкл. разъединителей секции 1 (2, 3, 4). Перекрыть соответствующий кран к приводу аппарата и вручную отключить разъединители и включить заземлитель QS3.
;;Не включаются заземлители Uks  200В.;"Визуально убедиться в опущенном положении токоприемника. Если токоприемник поднят, то для снятия постороннего напряжения с вентиля токоприемника отключить тумблер SA1 для ТКП-1, SA2 для ТКП-2.
Если токоприемник опущен, то сделать запись в журнал ТУ-152 о неисправности датчика напряжения, вручную перевести заземлитель QS3."
11;После отключения переключателей SA23, SA24, токоприемники не опускаются.;Токоприемник не опускается.;Визуально убедиться в опущенном положении токоприемника. Если токоприемник поднят, отключить тумблер SA1 для ТКП-1, SA2 для ТКП-2. Если токоприемник опущен, то сделать запись в журнал о неисправности датчика напряжения.
12;После включения переключателей SA23, SA24 и подъема токоприемника, нет напряжения контактной сети.;Нет напряжения контактной сети при подъеме токоприемника 1(2).;"Визуально убедиться в поднятии и касании контактного провода токоприемником, а так же в замыкании разъединителя. При обнаружении признаков механической неисправности на аварийной секции в шкафу МПСУ и Д переключить тумблер SA1 или SA2 положение ""выключено"". Поднять исправный токоприемник."
13;Неисправность крышевого оборудования до БВ.;;Действовать как при возникновении неисправности в участке I силовой цепи электровоза.
14;Недостоверная информация о напряжении контактной сети от ПНКВ - UZ1.;;Визуально убедиться в поднятии и касании контактного провода токоприемником.
Диагностические сообщения при нарушениях в работе быстродействующего выключателя;;;
15;Заблокирована кнопка БВ.;;"Выключить оба ключа ВЦУ и включить ВЦУ в рабочей кабине. Выключить и вновь включить переключатель ""БВ""."
16;При включении переключателя SA26, БВ не включается.;;"Не включается БВ - не выключены ТЭД. Нажать кнопку ""Выбег"" SB10."
17;Не включается БВ - не выключены вспомогательные машины.;;Выключить все переключатели вспомогательных машин, повторно включить БВ.
18;Выключен БВ опускание токоприемников.;;Выключить переключатель БВ, вновь поднять токоприемники и включить БВ.
19;Выключен БВ - Uks >4100В.;;Включить БВ после снижения напряжения контактной сети менее 4100В.
20;Выключен БВ - Uks <2100.;;Включить БВ после повышения напряжения контактной сети более 2100В.
21;Выключен БВ - запрет ASG1 (ASG2).;;Выключить и вновь включить ВЦУ, повторно включить БВ.
22;Выключен БВ - по требованию ASG1(ASG2), выключен БВ - по разгруппировке ASG1(ASG2).;;Переключить ВЦУ в 3 положение и перезагрузить МПСУ и Д, поднять токоприемники, включить БВ.
23;Выключен БВ - отключены оба ТП.;;Включить автоматические выключатели SF31, SF32 и SF33.
24;Блокировка БВ ложно разомкнута, замкнута.;;Продолжать движение на одной секции.
25;Нет питания катушки БВ.;;Произвести отключение питания ТП1(2) с помощью автоматических выключателей SF31 (SF32), дальнейшее следование на шести двигателях.
26;Не включен БВ, отключен БВ.;;Однократно произвести повторное включение БВ. Произвести отключение питания ТП1(2) с помощью автоматических выключателей SF31(SF32), дальнейшее следование на шести двигателях.
Диагностические сообщения при нарушениях в работе тягового преобразователя;;;
27;ТП1(2) отключен.;Нет контроля питания.;Перезагрузить МПСУ и Д (переводом ВЦУ в 3 положение и переключением автоматических выключателей SF17 и SF18) и переключить автоматические выключатели SF31 и SF32.
28;ТП1(2) отключен.;Авария сетевого фильтра.;"Выключить, и вновь включить
переключатель БВ. Если
преобразователь не запустится,
дальнейшее следование осуществлять на шести тяговых двигателях."
29;ТП1(2) отключен.;Нет связи.;"Перезагрузить ASG и МПСУ и Д путем
отключения ВЦУ и автоматических
выключателей SF17, SF18, SF31 и SF32.
Если преобразователь не запустится,
дальнейшее следование осуществлять на шести тяговых двигателях."
30;ТП1(2) отключен по требованию ТП без разрядки СФ1(2).;;Дальнейшее следование осуществлять на шести тяговых двигателях.
31;ТП1 (2) зарезервирован по запросу ТП1(2), ТП1(2) зарезервирован.;Нет готовности БПСН - 5 сек.;"Перезагрузить МПСУ и Д (переводом ВЦУ
в 3 положение и переключением
автоматических выключателей SF17 и
SF18). Неисправный тяговый
преобразователь не запустится,
следовать на шести тяговых
двигателях."
32;ТП1(2) зарезервирован.;Не включился насос СФ1 (2), ТП1(2), ТП1(2) зарезервирован.;"Данных реле в ШВА не включился ВО ТП1(2), ТП1(2) зарезервирован не открылись жалюзи ТП1(2), ТП1 зарезервирован не включился К7(УО1), ТП2 зарезервирован не включился К8(УО2):
при срабатывании тепловых реле контакторов К12, К13, К14, К15, К16 и К17, необходимо произвести восстановление данных реле в ШВА."
;;Низкий уровень ОЖ1 (2).;Для включения БВ необходимо выключить и вновь включить переключатель SA26, при этом не запустится тяговый преобразователь со сработавшим реле, следовать на шести тяговых двигателях.
Диагностические сообщения при нарушениях в работе вспомогательных машин.;;;
33;Не включается К18 (К21) (ВО-БВТ).;;Продолжить движение. На стоянке, при наличии времени, при срабатывании теплового реле, восстановить их положение в ШВА.
34;Не включается К5 (ВО-ТЭД1-2), К6 (ВО-ТЭД3-4).;;При срабатывании теплового реле, восстановить их положение в ШВА. Если тепловое реле не сработало - продолжить движение на 6-ти двигателях.
35;Не включается К9 или А7 (ВО-ТР).;;продолжить движение на пневматических тормозах. На стоянке, при наличии времени, при срабатывании теплового реле, восстановить их положение в ШВА.
36;Нет сигнала воздушного потока ВО-ТР1, ВО-ТР2.;;Продолжить движение на пневматических тормозах. На стоянке, при наличии времени, проверить состояние тепловых реле в ШВА, и если необходимо восстановить их положение.
37;Не открываются жалюзи ТР.;;При условии запуска вентиляторов охлаждения ТР, произвести открытие жалюзи вручную.
38;Не включается К19 (ВО - Надд) или К22 (ВО - Надд).;;Продолжить движение. На стоянке, при наличии времени, при срабатывании теплового реле, восстановить их положение в ШВА.
Диагностические сообщения при нарушениях в работе линий связи МСУЛ;;;
39;Нет связи по обеим линия связи.;;Перезагрузить МПСУ и Д (переводом ВЦУ в 3 положение и переключением автоматических выключателей SF17 и SF18).
40;Нет связи с джойстиком силы.;;"Задать силу с помощью кнопок ""Тяга+"" и ""Тяга-""."
Примечание: во всех остальных случаях, при поступлении диагностического сообщения об отсутствии связи с БУК, БСП, БЗС, БС-ДД или БС-СИ по одной из линий, продолжить управление электровозом используя исправный канал.;;;
Диагностические сообщения при нарушениях в работе источников питания (АБ и ПЦУ).;;;
41;Сильный разряд батареи.;;Уменьшить нагрузку отключить не используемые в работе потребители.
42;Отключает автомат АБ.;;Отключить автоматический выключатель SF20 АБ на неисправной секции.
43;АБ близка к разряду.;;Произвести подъем токоприемников и включить БВ.
44;Нет заряда АБ.;;Не опускать токоприемник и не отключать БВ до окончания зарядки АБ. При необходимости отключить автоматический выключатель SF20 АБ на неисправной секции.
45;Высокий ток потребления в цепях управления.;;Отключить не используемые в работе потребители - уменьшить нагрузку на АБ.
46;Отказ источников пропадающего питания.;;Выключить БВ. Выключить входной автомат SA1 в шкафу ППЦУ. Убедиться во включении К24 (питание цепей управления с ППЦУ исправной секции).
Диагностические сообщения при нарушениях в работе пневматического оборудования;;;
47;Давление ТМ выше допустимого.;;Проверить регулировку редуктора КМ N 130. При неисправности редуктора заменить редуктор с задней секции.
48;Давление в ГР ниже нормы.;;"Включить компрессор: включить переключатель SA28 ""Компрессор"". Перейти на ручное управление компрессором с помощью переключателя SB8 ""Принудительное включение компрессора"" до создания давления в ГР 0,9 МПа."
49;Давление в ГР выше предельного.;;"Выключить переключатель SB8 ""Принудительное включение компрессора""."
50;Низкое давление в цепях управления.;;Проверить регулировку и исправность редуктора цепей управления. Отрегулировать или заменить при необходимости.
Неисправности пневматического оборудования;;;
Внимание: при неисправности тормозного оборудования необходимо проверить открытое положение разобщительных кранов КН1, КН2, КН3, КН5, КН6, КН7, КН8. Проверить отрытое положение кранов в шкафу УКТОЛ - КрРШ1, КрРШ2, КрРШ3, КрРШ7 и КрРФ.;;;
51;Недостаточная производительность компрессорных установок.;Сброс воздуха из главных резервуаров после остановки компрессора.;По манометру компрессора убедиться в падении давления в магистрали компрессора до 0МПа, если не падает засорение или перемерзание обратного клапана электровоза в открытом положении.
52;Срабатывание предохранительного клапана компрессора.;Неисправность пневматической сети компрессора.;Отключить компрессор кнопкой аварийной остановки.
53;Перегрев масла.;Неисправность термостатического клапана компрессора или низкий уровень масла в маслоотделителе.;Отключить компрессор кнопкой аварийной остановки.
;;Воспламенение масла в винтовом модуле.;Следы нагара на сепараторе компрессора и почернение масла в маслоотделителе, отключить компрессор кнопкой аварийной остановки.
54;При работе компрессорных установок срабатывание предохранительных клапанов на одной из секций;"Перемерзание обратного клапана.
Неисправность датчика давления питательной магистрали.";"Выключить компрессор нажатием кнопки аварийной остановки, дальнейшее следование осуществляется на одном компрессоре.
Сравнить давления воздуха по манометру в кабине управления, по мониторам в кабине управления и при работающих компрессорах на манометрах блоках управления компрессором. При низком показании давления (меньше чем показания манометра в кабине управления) или отсутствии показаний на мониторах перейти на ручное управления компрессорами."
;Срабатывание первого от компрессора предохранительного клапана;Перемерзание влагомаслотделителя под кузовом электровоза;Выключить компрессор нажатием кнопки аварийной остановки, дальнейшее следование осуществляется на одном компрессоре.
;Срабатывании второго от компрессора предохранительного клапана.;Перемерзание крана КН8 под кузовом электровоза.;При перекрытии крана КН8 на исправной секции наблюдается большое падение давления в питательной магистрали. На стоянке отогреть трубопровод и кран КН8.
55;Отсутствие или заниженное давление в магистрали цепей управления.;Засорение или западание питательного клапана редуктора.;"Закрутить регулировочный винт редуктора цепей управления, если не поможет на стоянке перекрыть краны КН8 на обеих секциях, выпустить воздух из питательной магистрали и
извлечь питательный клапан редуктора. Открыть краны КН8, перейти на управление компрессорам через кнопки принудительного пуска с поддержанием давления в главных резервуарах в пределах 0,70-0,75 МПа."
56;Разрыв межсекционных рукавов.;Питательной и тормозной магистрали.;Использовать резервные рукава питательной и тормозной магистралей.
57;Повреждение питательной магистрали;Повреждение предохранительных клапанов, обратного клапана, главных резервуаров, влагомаслоотделителя.;Отключить компрессор неисправной секции кнопкой аварийной остановки на блоке управления компрессором, перекрыть кран КН24 под кузовом электровоза. Дальнейшее следование с работающим компрессором и главными резервуарами одной секции.
;;Повреждение воздухопроводов цепей управления электровоза.;Отключить КР25 на неисправной секции. При давлении воздуха ниже 0,35 МПа на неисправной секции использовать токоприемник над кабиной, БВ включить при работающем вспомогательном компрессоре, разъединитель и заземлитель развернуть вручную.
;;"Повреждение приводов жалюзи
тормозных резисторов";Перекрыть кран КН26, жалюзи ТР открыть принудительно.
;;Повреждение приводов токоприемника.;Отключить неисправный блок управления разобщительным краном, следовать на исправных токоприемниках.
;;Повреждение приводов разъединителя.;Перекрыть кран КН29 или КН30, включение и выключение аппарата вручную.
;;Повреждение приводов заземлителя.;Перекрыть кран КН31, включение и выключение аппарата вручную.
;;Обрыв воздухопровода тормозных цилиндров.;Выявить на какой тележке произошел разрыв и кранами КН5 или КН6 отключить тормозные цилиндры секции. Если разрыв произошел от блока тормозного оборудования до кранов КН5 или КН6 отключить реле давления тележки, для чего перекрыть краны КрРШ1 для первой тележки, КрРШ2 для второй тележки.
Неисправности тормозных приборов;;;
При снятии тормозных приборов в шкафу УКТОЛ необходимо разрядить тормозную магистраль, выключить устройство блокировки тормозов и перекрыть краны КН, КН3.;;;
58;Нет отпуска тормозов одной секции локомотива.;;На блоке тормозного оборудования секции перекрыть кран КрРШ7, будет происходить выпуск воздуха через атмосферное отверстие крана, для полного отпуска использовать кнопку отпуска тормозов локомотива SA47 в кабине управления.
59;Наполнение тормозных цилиндров секции до давления 0,35-0,37 МПа.;;Перекрыть кран КрРФ, выпустить воздух из запасного резервуара через отпускной клапан главной части крана машиниста, для полного отпуска использовать кнопку отпуска тормозов локомотива SA47 в кабине управления.
60;Нет отпуска тормозов одной тележки локомотива.;;Под плитой БТО перекрыть соответствующий кран КН5 или КН6 от реле давления к тормозным цилиндрам тележки.
61;Самопроизвольное наполнение тормозных цилиндров секции.;;Давление в тормозных цилиндрах в пределах 0,13-0,18 МПа. На БТО перекрыть кран КрРШ3 и ослабить крепление вентиля ЭПВН. Помнить, что при срыве электрического торможения не будет наполнения тормозных цилиндров секции.
62;"При постановке ключа ВЦУ в положение ""1"" не включается блокировка тормозов.";;"В шкафу УКТОЛ проверить поступление питания на блок управления БЭПП (при положениях ""1"" и ""2"" ключа ВЦУ горит четыре светодиода) нажать на грибок вентиля В1 (принудительно включить устройство блокировки тормозов)."
63;Занижение давления в уравнительном резервуаре при 2-ом положении ручки крана машиниста усл. N 130.;;Убедиться в поступлении питания на вентили УКТОЛ в соответствии с положением ручки крана машиниста усл. N 130.
64;"При постановке ручки крана машиниста усл. N 130 в ""1"" положение нет сверхзарядки уравнительного резервуара и тормозной магистрали.";;"В шкафу УТОЛ проверить наличие питания на вентиле В4, при отсутствии питания использовать вентиль с нерабочего БЭПП или перейти на управление КРУ. Использовать отпуск ""2"" положением ручки крана машиниста усл. N 130 при наличии времени переставить вентиль с питательным клапаном с нерабочей плиты."
65;"Завышение давления в тормозной магистрали при ""2"" положении ручки крана машиниста усл. N 130.";;"Если после постановки ручки крана машиниста усл. N 130 в ""4"" положение завышение прекратилось, неисправен редуктор, если завышение продолжается пропуск питательного клапана. При неисправности редуктора использовать редуктор с нерабочей плиты, аналогично поступают с питательным клапаном."
66;При завышении давления в уравнительном резервуаре нет завышения в тормозной магистрали. При ступени торможения нет разрядки тормозной магистрали.;;Заменить на реле давления с нерабочей плиты БЭПП. Если после постановки ручки крана машиниста усл. N 130 в положение служебного торможения нет разрядки уравнительного резервуара в шкафу УКТОЛ кран переключения режимов (КПР) установлен в положение КРУ.
67;При постановке ручки крана машиниста усл. N 130 в одно из отпускных положений при наличии питания на вентилях БЭПП уравнительный резервуар заряжается до 0,20 МПа, а тормозная магистраль не заряжается.;;Заменить срывной клапан в сборе с вентилем с нерабочей плиты БЭПП.
68;Показания манометров в кабине управления не соответствуют ступени торможения.;;Отключить тормозные цилиндры тележки перекрытием кранов КН5 для первой тележки или КН6 второй тележки, у неисправного цилиндра закручиванием винта распустить тормозную рычажную передачу. Отключить тормозные цилиндры тележки перекрытием кранов КН5 для первой тележки или КН6 для второй тележки, снять неисправную продольную тягу.
;;;
