к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ116;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
;При наличии ВРЗ1, ВРЗ2;В силовой цепи имеется пробой на корпус.;"После переключения А4 ""Управление возбуждением"", отключить ВРЗ2.
Если при наборе тяги РЗ не срабатывает, то пробой в минусовых цепях - произвести осмотр силовой цепи для выявления неисправности. При не выявлении неисправности - продолжить движение с выключенным ВРЗ2.
Если при наборе тяги РЗ срабатывает - при включенных ВРЗ1, ВРЗ2 определить неисправную цепь тяговых электродвигателей (отключением ОМ1-ОМ6) и асинхронных электродвигателей охлаждения (отключением соответствующих автоматов).
При невозможности устранить нарушение изоляции или отключить неисправный участок цепи и при отсутствии серьёзных повреждений - отключить ВРЗ1 и продолжить движение."
24;"При следовании тепловоза произошел сброс нагрузки, загорается лампочка ""Сброс нагрузки"", подается сигнал зуммера боксования";Проворот малой шестерни на валу ТЭД, излом зубьев шестерен зубчатой передачи.;Отключить неисправный ТЭД выключателем (ОМ-1----ОМ-6)
25;"Произошёл ""Сброс нагрузки"" на одной из секций.
Если ХХ нет";"Включилось РЗ, РОП, РМ2, открылись двери ВВК, ВУ. Сработал автомат А4 ""Управление возбуждением"", автомат А12 ""БУВ"", автомат А1 ""Возбудитель""";"Включить автомат А4 ""Управление возбуждением"", автомат А1 ""Возбудитель"", автомат А12 ""БУВ"", проверить блокировки закрытия дверей ВВК, снять с защелки РЗ, РОП РМ2, (переключить автомат А4 ""Управление возбуждением"")."
;Если ХХ есть;Сработали ТРМ, ТРВ, РДВ, автоматы АВУ, 1АТ, 2АТ;Включить автоматы АВУ, 1АТ, 2АТ, АВУ, контролировать температуру охлаждения дизеля. При повышении температуры воды, масла проверить работу вентиляторов охлаждения, перейти на низшие позиции КМ.
26;При следовании тепловоза произошел сброс нагрузки, сработало реле максимального тока РМ2;Короткое замыкание в цепях тягового генератора или выпрямительной установки;"При не выявлении замыкания в тяговом генераторе или выпрямительной установке продолжить движение.
При повторном срабатывании РМ2 работа под нагрузкой запрещена."
27;При следовании тепловоза произошел сброс нагрузки, сработало реле максимального тока РМ1;Превышение тока в цепях тягового генератора более допустимых;Перейти на низшие позиции.
28;При следовании тепловоза произошел сброс нагрузки, сработало реле обрыва полюсов РОП;Обрыв или неисправность цепи возбуждения ТЭД;Отключить неисправный участок цепи возбуждения ТЭД выключателем (ОМ-1----ОМ-6)
29;Х.Х. нет, КВ и ВВ не включены;"Включилось РЗ, РОП, РМ2, открылись двери ВВК, ВУ. Сработал автомат А4 ""Управление возбуждением"", автомат А12 ""БУВ"".";"Включить автомат А4 ""Управление возбуждением"", автомат А12 ""БУВ"", проверить блокировки закрытия дверей ВВК, снять с защелки РЗ, РОП РМ2, (переключить автомат А4 ""Управление возбуждением"")."
30;"Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения возбудителя (проверить по отсутствию дуги между гл.к. ВВ при их размыкании. Блокировки дверей ВВК при проверке
должны быть замкнуты).";"Сработал автомат А1 Возбудитель""";"Включить автомат А1 Возбудитель"""
;;"Не включен ПВА ""Аварийный переключатель""";"Включить ПВА ""Аварийный переключатель"""
;;Не включен гл.к. ВВ, нарушена цепь сопротивлений САВ, СВВ;Проверить гл.к. ВВ, цепь сопротивлений САВ, СВВ
31;"Х.Х. нет, КВ и ВВ включены.
Если при этом нет возбуждения Г.Г. (проверяется по отсутствию дуги между гл.к. КВ при их размыкании. Блокировки дверей ВВК при проверке должны быть замкнуты).";Перегорел ПР1 (160А);Заменить предохранитель ПР1 (160А)
;;"Не включен ПВА ""Аварийный переключатель""";"Включить ПВА ""Аварийный переключатель"""
;;Неисправность в цепи БУВ;"Переключить ПВА ""Аварийный переключатель"" на аварийное возбуждение."
;;Неисправность возбудителя;Проверить контактные кольца возбудителя и щётки
;;;
